Vendor Name,Species Common Name,Species Latin Name,Contact / URL,Lead Time (days),MOQ,Unit Price (low),Unit Price (high),Quantity Needed,Order Date,Expected Arrival,CITES / Regulatory Note,Photography Use,Fallback If Delayed
Strictly Medicinal Seeds,Goldenseal (seeds),Hydrastis canadensis,strictlymedicinalseeds.com,8–12,1 packet,$20.00,$20.00,1 packet,May 10,May 18–22,CITES Appendix II (cultivated seed unrestricted — wild roots only require permit),Seed flat-lay and seed-pod identification shots,Prairie Moon Nursery goldenseal seed or dried root from Mountain Rose Herbs
Strictly Medicinal Seeds,Black Cohosh (live plant),Actaea racemosa,strictlymedicinalseeds.com,8–12,1 pot,$8.00,$12.00,1 small pot,May 10,May 18–22,Not CITES; UpS At-Risk; no restriction on cultivated plants,Full-plant composition and leaf-detail shots (best prop for this species),Prairie Moon Nursery 3-pack seedlings; or local garden center native Actaea specimen
Strictly Medicinal Seeds,Black Cohosh (seeds — alternate),Actaea racemosa,strictlymedicinalseeds.com,8–12,1 packet,$6.00,$12.00,1 packet,May 10,May 18–22,Not CITES; cultivated seed unrestricted,Seed flat-lay shots (if live plant unavailable),iNaturalist CC-BY archive for seed imagery
Mountain Rose Herbs,American Ginseng (dried root),Panax quinquefolius,mountainroseherbs.com,2–3,1 oz,$14.00,$22.00,1 oz,May 11,May 13–14,CITES Appendix II (seeds exempt; dried root = processed plant material — legal to buy and sell domestically; no permit required for domestic retail),Root identification close-up — primary prop for ginseng guide,Local Whole Foods or herb shop (same-day); no fallback risk on dried root
Mountain Rose Herbs,Goldenseal (dried root),Hydrastis canadensis,mountainroseherbs.com,2–3,1 oz,$14.00,$20.00,1 oz,May 11,May 13–14,CITES Appendix II (dried cultivated root; no permit required for domestic retail of cultivated material),Root identification close-up — bright yellow color is the defining visual ID feature,Starwest Botanicals (starwest-botanicals.com) 3–5 day ship; or local herb shop
Prairie Moon Nursery,Ramps (bulblets),Allium tricoccum,prairiemoon.com,7–14,6–10 bulblets per pack,$8.00,$15.00,1 pack,May 10,May 17–24,Not CITES; not ESA-listed nationally; NY var. burdickii state-listed (these are cultivated — unrestricted); Quebec commercial harvest banned (irrelevant — domestic cultivated purchase),Bulb identification shots and seed-analog display,Etsy search "ramps bulbs Appalachian" (cultivated only — verify before ordering); or iNaturalist CC-BY for all ramp imagery
Prairie Moon Nursery,Black Cohosh (seedlings — backup),Actaea racemosa,prairiemoon.com,7,3-pack,$10.00,$15.00,1 pack,May 10 (only if Strictly Medicinal unavailable),May 17,Not CITES; cultivated unrestricted,Full-plant backup if primary vendor misses delivery,Local garden center native Actaea; or indoor shoot with seeds only
Wisconsin Grown Ginseng LLC,American Ginseng (stratified seeds),Panax quinquefolius,wisconsingrownginseng.com,7–14,50-seed packet,$18.00,$28.00,1 packet,May 10,May 17–24,"CITES Appendix II — SEEDS ARE EXPLICITLY EXEMPT from CITES permit requirements (confirmed: FWS ginseng permits page). Cultivated seed; no state harvest permit required. NOTE: spring stratified stock sells out by March–April most years — verify availability May 10 before ordering.",Seed flat-lay and seed-packet display shots (optional upgrade over dried root),Skip entirely — dried ginseng root (Mountain Rose Herbs) is the stronger identification prop; seed prop is supplementary only
Farmers Market / Whole Foods / Co-op (local),Ramps (fresh leaves),Allium tricoccum,Local — no URL; check Whole Foods / Earth Fare / regional co-op,0 (same-day purchase),1 small bunch,$3.00,$8.00,1 bunch,May 18–19,May 18–19,Fresh leaves — no regulatory concern; commercial harvest of fresh ramp leaves from cultivated Appalachian sources is unrestricted,Leaf identification shots — highest-value ramp prop (broad strap leaves are immediately recognizable to buyers); fresh leaves wilt within 48 h — purchase within 48 h of shoot,iNaturalist CC-BY spring archive (2020–2025 observations) — excellent ramp leaf imagery available; no physical prop required for guide production
iNaturalist (CC-BY filter),All 4 species (habitat / flower / colony shots),Panax quinquefolius / Hydrastis canadensis / Actaea racemosa / Allium tricoccum,"inaturalist.org — filter: photo_license=cc-by&quality_grade=research (see species-specific URLs in phase-2-photo-shoot-checklist.md Angle Type 3)",0 (immediate),5–8 Research Grade CC-BY observations per species,$0,$0,5–8 images per species,May 9–11,May 9–11,CC BY 4.0 — commercial use permitted; attribution required: "Photo: [Observer Name], iNaturalist, CC BY 4.0". CRITICAL: default iNaturalist license is CC-BY-NC (prohibits commercial use) — filter explicitly for cc-by before downloading.,Full-plant habitat context / flower / colony views for all guide interior sections; flower photography for all 4 species (spring bloom past) MUST come from this archive,Always available — no fallback needed
Biodiversity Heritage Library,All 4 species (botanical illustrations),Panax quinquefolius / Hydrastis canadensis / Actaea racemosa / Allium tricoccum,"biodiversitylibrary.org + flickr.com/photos/biodivlibrary — search by Latin species name; key resource: BHL item 116021 (Ginseng and Goldenseal Growers Handbook 1912)",0 (immediate),2 illustrations per species (minimum),$0,$0,2 illustrations per species,May 9,May 9,Public domain (pre-1928 works). No attribution legally required; citing BHL is good practice. Highest-resolution available — download at source resolution.,Heritage botanical illustration props (in-frame with fresh specimens); Canva guide interior decorative element; guaranteed fallback if all other photo sources fail,Always available — no fallback needed
