product_line,keyword,keyword_monthly_searches_est,competition_level,approx_competing_listings,saturation_pct,competitor_name,competitor_price_usd,competitor_reviews,competitor_stars,competitor_key_strength,competitor_gap,modrun_differentiation,modrun_target_price,modrun_title_position,modrun_tag_priority,seasonal_peak_months,cpc_proxy,notes
cable_management_clips,cable management clips,1500-3000,Medium,1200-1800,50-80%,Robbosales,$10.99,500+,4.8,High volume + fast shipping,No rail system + no modular expansion,Parametric design + rail system integration,$12.99-16.99,PRIMARY (chars 1-40),P1,Jan/Aug/Nov,Med-High,Primary keyword — must be in every clip listing title
cable_management_clips,3D printed cable clips,300-600,Low,150-250,30-50%,ViliusPrintShop,unknown,early-stage,N/A,Magnetic mechanism differentiator,Low LQS — beatable with faster review accumulation,Original parametric design + modular architecture,$12.99-16.99,PRIMARY (chars 1-40),P1,Jan/Aug,Low,Low competition + high intent = best ROI keyword for new shop
cable_management_clips,desk cable organizer,3000-6000,Medium,1500-2500,25-55%,Infinaprint3d,$14.98,200+,4.9,Professional positioning + spool design,Different product type (spool vs clip),ModRun rail+clip = system vs single component,$21.99 bundle,SECONDARY (chars 41-70),P1,Jan/Aug,Med-High,Volume keyword — needed in title but won't win alone
cable_management_clips,modular cable management,300-500,Low,80-150,16-50%,SimRig Cable Mgmt,$14.00-99.99,80+,4.6,Heavy-duty sim rig positioning,Only for sim rigs — not desk/office,ModRun explicitly for desk; parametric = modular by definition,$38.99 system bundle,PRIMARY for rail listing,P1,Jan/Mar,Low,Near-zero competition — ModRun should own this term immediately
cable_management_clips,under desk cable management,1000-2000,Medium,600-1000,30-60%,Generic wooden cable boxes,$20-60,1000-5000,4.6-4.8,Beautiful photography + established reviews,Solves different problem (box) vs clips,Clips solve individual cable routing not box containment,$12.99-16.99,SECONDARY,P2,Jan/Mar/Aug,Medium,High-intent placement-specific query
cable_management_clips,standing desk cable organizer,300-500,Low-Med,120-200,25-65%,Flexispot-compatible sellers,Variable,Variable,Variable,Desk-brand specificity — high conversion,Limited to one brand; no parametric sizing,ModRun's parametric design works on any desk frame,$12.99-16.99,Tag slot,P2,Jan/Mar/Aug,Low-Med,Create brand-specific listing variant for Flexispot/Uplift — almost zero competition
cable_management_clips,gaming desk cable organizer,400-800,Medium,350-600,45-75%,PETG Premium (unnamed),$18.50-22.50,150+,4.7,Premium materials + color sorting,No rail system + no gaming-specific positioning,ModRun rail system = complete gaming desk cable management,$16.99-19.99,Tag slot,P2,Jan/Aug,Med-High,High-spend buyer segment — include gaming desk photo in listing
cable_management_clips,magnetic cable clips,200-400,Low,40-80,10-35%,ViliusPrintShop,unknown,70 favs,N/A,Magnetic mechanism — unique differentiator,Low LQS; small shop,If ModRun uses magnetic mechanism: powerful differentiator,$12.99-16.99,Tag slot,P3,Jan/Aug,Low,Only include if magnetic mechanism is actually used
cable_management_clips,cable management gift,150-300,Low,80-150,27-100%,Generic sellers (gift intent),Various,Various,Various,Gift packaging + fast shipping,No system story,ModRun gift bundle listing Q4,Bundle $21.99,Tag slot (Oct 1 only),P3,Nov/Dec,Low,Seasonal tag only — add October 1 remove January 1
cable_management_clips,3D printed cable management,400-800,Low-Med,200-400,25-100%,CineLabAUS (camera rigs),$12-18,931 sales,4.7,High review base in camera niche,Camera rig only — not desk/office,ModRun owns desk/office positioning,$12.99-16.99,Tag slot,P2,Jan/Aug,Low,Self-selects informed buyers; excellent conversion despite low volume
headphone_hooks,headphone hook,2000-4000,High,1500-2500,40-125%,Top clamp seller (unnamed),$14.99,1254,5.0,Dominant LQS + highest review count in category,No cable-wrap post — the single biggest gap,ModRun cable-wrap post = direct feature differentiation,$16.99,PRIMARY (chars 1-15),P1,Jan/Aug/Nov,Med-High,Must be in first 15 chars of title; the market-defining keyword
headphone_hooks,under desk headphone hook,800-1500,Medium,400-700,27-88%,Second-ranked seller,$12-16,264,4.9,Strong review base + clean photography,No cable-wrap post integration,ModRun's cable-wrap post + desk-system coherence,$16.99,PRIMARY (chars 41-60),P1,Jan/Aug,Medium,High-intent placement-specific — buyers know exactly what they want
headphone_hooks,3D printed headphone hook,300-600,Low-Med,120-200,20-67%,3DWiseSolutions,$14-18,12 favs (Apr 2026),N/A,Original design signal + recent listing,Early stage — no LQS built,ModRun can outcompete with faster launch + better photography,$16.99,PRIMARY — must include,P1,Jan/Aug,Low,Original design differentiator — low competition + high purchase intent
headphone_hooks,gaming headset hook,800-1500,Medium,600-1000,40-125%,ThinkableCreations,$18-28,2356 favs,N/A (novelty),Novelty/gaming theming + massive favorites,Novelty vs. functional positioning — different buyer,ModRun: functional utility for gamers who want clean desk,$16.99-19.99,Tag slot,P1,Jan/Nov/Dec,Med-High,High-spend gaming segment — gift season critical window
headphone_hooks,desk headphone hanger,600-1200,Medium,500-800,42-133%,Customisable hanger (BadgeScout),$15-25,76 favs,N/A,Customization angle + headband width options,Shelf peg not desk clamp — different install method,ModRun clamp = no shelf required; clamps to any desk,$16.99,Tag slot,P2,Jan/Aug,Medium,Synonym for headphone hook — good tag to widen query surface
headphone_hooks,monitor headphone hook,300-500,Low,60-120,12-40%,Generic sellers,Various,Various,Various,Volume,No specific monitor-mount design,ModRun could add monitor-clip variant (VESA compatible),Future variant,Tag slot,P2,Jan,Low,Near-zero competition; very high intent; consider monitor-clip variant listing
headphone_hooks,headset stand 3D printed,300-600,Low-Med,100-180,17-60%,Generic 3D printed stands,Various,Various,Various,Various,Stand vs. clamp (desk footprint concern),ModRun clamp = no desk footprint; hook stores headphone not displays it,$16.99,Tag slot,P2,Jan/Aug,Low,Original design signal — attracts buyers who value 3D printed quality
headphone_hooks,cable wrap headphone hook,100-200,Very Low,5-20,3-20%,None (unoccupied),N/A,N/A,N/A,N/A,No competitor owns this keyword,ModRun is the only seller with cable-wrap post = owns this query,$16.99,Tag slot,P1 (for conversion),Year-round,Very Low,Low volume but extreme conversion — buyer who finds this listing is already sold; must be in tags
headphone_hooks,gaming room accessories,1000-2000,High,2000-3500,100-350%,Multiple high-volume sellers,$10-50,Various,Various,Established shop-level signals — hard to beat,Too broad — competes against everything,ModRun tag supplement only — do not use as primary,$16.99,Tag slot only,P3,Jan/Nov/Dec,High,Broadness hurts more than it helps as primary; only use as supplementary tag
headphone_hooks,desk headphone hook premium materials,100-200,Very Low,5-15,3-15%,CtrlBase,$18-28,7 favs (Jun 2026),N/A early stage,Aluminum + beech wood accent — premium material story,Very low LQS; early-stage listing; premium price but no reviews,ModRun's 3D-printed-original + cable-wrap post = functional utility vs. CtrlBase's aesthetic angle; faster launch + lower price wins,$16.99,Tag slot,P2,Year-round,Low,CtrlBase confirmed as new entrant June 2026; easy to outcompete with faster review accumulation; add to monitoring list
magnetic_bin_labels,magnetic toolbox labels,800-1500,Medium,300-600,20-75%,BendPrinting (Bend3DP),$14.99-19.99,1500+ 10500 sales,4.9,Volume + brand recognition + fast shipping + Star Seller,Magnets are 8x3mm neodymium (not N52); confirmed customer complaints about magnet strength; no desk-system cross-sell,N52 neodymium spec (confirmed stronger than Bend3DP) + custom text field + ModRun cross-sell,$12.99 (10-pack),PRIMARY (chars 1-30),P1,Jan/Jul/Aug,Medium,Dominant player validates market at $14.99; Bend3DP magnet weakness = explicit N52 differentiator in ModRun description; confirmed June 2026
magnetic_bin_labels,custom magnetic labels,600-1200,Medium,400-700,33-117%,S3C Printing,$27.99 (raised from $19.99 as of June 2026),Growing,Star Seller,Multiple listing variants + new font options + professional framing,Overpriced at $27.99; no desk-system cross-sell; magnet spec unstated,ModRun at $12.99 undercuts S3C by $15 — largest price gap in category; mention N52 spec vs. S3C's unnamed magnets,$12.99-19.99,PRIMARY (chars 1-40),P1,Jan/Jul,Medium,S3C price jump to $27.99 has opened a major price gap; ModRun $12.99 is now clearly cheapest quality option; S3C gap is larger than previously modeled
magnetic_bin_labels,3D printed toolbox labels,200-400,Low,60-120,15-60%,Various small sellers,$12-18,Various (small),Various,Price-competitive,Low LQS — vulnerable to displacement,ModRun original parametric design + N52 spec + custom text,$12.99,PRIMARY — must include,P1,Jan/Jul,Low,Self-selects quality-aware buyer; low competition = immediate ranking opportunity
magnetic_bin_labels,workshop bin labels,150-300,Low,40-100,13-67%,DailyUse3D,$12-18,166 favs,N/A,Price-competitive + FL shipping,Generic magnet strength,ModRun N52 neodymium = technical differentiator vs. generic magnets,$12.99,Title or tag,P1,Jun/Jul,Low,Low competition; niche-specific term for workshop/garage buyers specifically
magnetic_bin_labels,garage organization labels,400-800,Medium,300-600,38-150%,Multiple sellers,$8-20,Various,Various,Price range wide,Mostly paper/vinyl labels not 3D printed,ModRun 3D printed = permanent; no-fade; magnetic repositionable,$12.99-19.99,Tag slot,P2,Jan/Mar/Jul,Medium,Spring garage season (March-May) + summer workshop season (July-Aug)
magnetic_bin_labels,neodymium magnet labels,100-200,Very Low,10-30,5-30%,Essentially no competitors,N/A,N/A,N/A,N/A,No seller explicitly markets N52 magnet spec,ModRun can own this query entirely with N52 specification in title/tags/description,$12.99,Tag slot,P1 (for conversion),Year-round,Very Low,Technical buyer segment — searches for magnet spec = highest quality intent in the category
magnetic_bin_labels,personalized garage labels,200-400,Low,100-200,25-100%,Various vinyl/paper sellers,$6-14,Various,Various,Low price (vinyl),Non-permanent; fade in UV; can't reposition,ModRun 3D printed + magnetic = permanent + repositionable + UV-stable PETG,$12.99-19.99,Tag slot,P2,Mar/May/Nov,Low,Personalization angle triggers Etsy's "custom order" workflow — direct buyer communication increases NPS
magnetic_bin_labels,magnetic bin organizer,300-600,Low,100-200,17-67%,Generic sellers,$8-16,Various,Various,Low price entry,Generic quality,ModRun parametric label + N52 pocket = superior retention and finish,$12.99,Tag slot,P2,Jan/Jul,Low,Broader intent (organizer vs label) — use to widen query surface
magnetic_bin_labels,workshop gift for him,300-600,Low-Med,150-300,25-100%,Seasonal gift sellers,$12-30,Various,Various,Gift packaging + gifting context,Generic gifts not workspace-specific,ModRun positions as practical functional gift for shop owners,$12.99-19.99,Tag slot (seasonal),P3,Oct/Nov/Dec,Low-Med,Add October 1 for Q4 gift season; remove January 1
