tier,subtier,phase,target_launch_offset_days,target_launch_offset_label,organizations,org_count,expected_response_rate_pct,success_criterion,gate_required,notes
0,setup,Pre-launch preparation,-7,Week -1 (1 week before Day 1),"Anya internal setup only",0,N/A,All 8 pre-launch tasks checked (Gist verified; Bitly configured; Gmail labels created; response templates saved; tracking spreadsheet pre-populated; contact list built; deliverability tested; send-from address confirmed),Gate 1 decision,Hard gate — do not send any emails until all 8 tasks are complete
1,1A,Active outreach wave 1,0,Day 1 (Week 1),"NILC; CLINIC; RAICES; ILRC; National Lawyers Guild",5,20-30%,All 5 Day-1 named organizations contacted; personalized opening in each email; Bitly click on at least 1 by Day 7,Gate 1,Highest-confidence contact info; send first to establish baseline deliverability signal
1,1A,Active outreach wave 1,1,Day 2 (Week 1),"5 regional immigration legal aid organizations (research using [city] immigration legal aid)",5,10-20%,At least 3 of 5 confirmed delivered (no bounce); 1+ click by Day 7,Gate 1,"Research contacts the Sunday before Week 1; pre-populate spreadsheet. Rotate to email variant B (different subject line)"
1,1A,Active outreach wave 1,2,Day 3 (Week 1),"5 more regional immigration legal aid organizations",5,10-20%,At least 3 of 5 confirmed delivered; track open signals vs. clicks,Gate 1,Use email variant C (third subject line); compare click rates to Days 1 and 2 variants
1,1A,Active outreach wave 1,3,Day 4 (Week 1),"5 law school immigration clinics (university-based)",5,10-15%,At least 2 of 5 confirmed delivered; at least 1 engagement or acknowledgment response by Day 14,Gate 1,Lead with primary-source citeability and client intake supplement use case for law school framing
1,1A,Active outreach wave 1,4,Day 5 (Week 1),"5 public defender offices with immigration units",5,5-15%,At least 3 of 5 confirmed delivered; Day 7 check for bounce pattern before Week 2,Gate 1,"Research: [city] public defender immigration; confirm office-level contact rather than general office number"
1,1A+1B,Week 1 mid-course correction,7,Day 7 (end of Week 1),"All Week 1 sends",25,Review only,Classify all 25 contacts by score 0-5; resolve bounces; send subject-line follow-up to Score 2 contacts who opened but did not click,Gate 1 (ongoing),This is the most important mid-campaign review. Low response at Day 7 triggers a framing adjustment before Week 2 sends.
1,1B,Active outreach wave 2,8,Day 8 (Week 2),"CASA (casaforall.org); Make the Road America; United We Dream; Centro de los Derechos del Migrante; 1 local interfaith sanctuary network",5,15-25%,At least 3 of 5 confirmed delivered; at least 1 engagement or acknowledgment by Day 14,Gate 1,Named national organizations — higher response rate expected. Switch to Template 1B framing (accessibility-forward; no tech jargon in opening).
1,1B,Active outreach wave 2,9,Day 9 (Week 2),"5 local interfaith sanctuary networks (research using [city] sanctuary network)",5,10-20%,At least 3 of 5 confirmed delivered; track response type,Gate 1,Sanctuary networks often have Signal-based channels; note in tracking spreadsheet if Signal is the better channel for follow-up
1,1B,Active outreach wave 2,10,Day 10 (Week 2),"5 community legal education programs (embedded in churches; community centers; immigrant service agencies)",5,10-15%,At least 2 of 5 confirmed delivered,Gate 1,Harder to find direct contact for these; web forms are common — note as web form sends in tracking spreadsheet
