org_name,contact_person,tier,date_contacted,30day_followup_date,90day_followup_date,180day_followup_date,ack_received,stage,implementation_attempted,implementation_detail,feedback_summary,referral_generated,policy_impact,gist_views_at_contact,notes
Access Now,Carol (Digital Security Helpline),1,2026-05-15,2026-06-14,2026-08-13,2026-11-11,Y,1,N,,"Forwarded to legal team for review",N,TBD,,Awaiting 30-day follow-up; security@accessnow.org is the digital security helpline contact
National Immigration Law Center (NILC),info@nilc.org (general),1,2026-05-15,2026-06-14,2026-08-13,2026-11-11,N,0,N,,,,TBD,,No reply yet; secondary contact: web form at nilc.org/about-us/contact-us/
CLINIC — Catholic Legal Immigration Network,,1,2026-05-15,2026-06-14,2026-08-13,2026-11-11,N,0,N,,,,TBD,,400+ affiliated programs; route to national office first
RAICES (Texas),,1,2026-05-15,2026-06-14,2026-08-13,2026-11-11,N,0,N,,,,TBD,,communications@raicestexas.org; high-volume client base
Immigrant Legal Resource Center (ILRC),,1,2026-05-15,2026-06-14,2026-08-13,2026-11-11,N,0,N,,,,TBD,,Publications channel; may host as resource
National Lawyers Guild (NLG),,1,2026-05-15,2026-06-14,2026-08-13,2026-11-11,N,0,N,,,,TBD,,Tech & law committee; Signal expertise
CASA (casaforall.org),,1B,2026-05-15,2026-06-14,2026-08-13,2026-11-11,N,0,N,,,,TBD,,Mid-Atlantic; community education infrastructure
Make the Road Network,,1B,2026-05-15,2026-06-14,2026-08-13,2026-11-11,N,0,N,,,,TBD,,State chapters; community education programs
United We Dream,,1B,2026-05-15,2026-06-14,2026-08-13,2026-11-11,N,0,N,,,,TBD,,National DACA-focused; comms infrastructure
Electronic Frontier Foundation (EFF),,2A,2026-06-12,2026-07-12,2026-09-10,2026-12-09,N,0,N,,,,TBD,,press@eff.org; Rebecca Jeschke listed press contact
Center for Democracy & Technology (CDT),,2A,2026-06-12,2026-07-12,2026-09-10,2026-12-09,N,0,N,,,,TBD,,press@cdt.org; privacy & data team
Access Now (policy/press),,(2A),2026-06-12,2026-07-12,2026-09-10,2026-12-09,N,0,N,,,,TBD,,press@accessnow.org; separate from Tier 1 digital security helpline contact
Privacy International,,2A,2026-06-12,2026-07-12,2026-09-10,2026-12-09,N,0,N,,,,TBD,,London-based; data broker campaigns
Tor Project,,2A,2026-06-12,2026-07-12,2026-09-10,2026-12-09,N,0,N,,,,TBD,,press@torproject.org; corpus recommends Tor
STOP (Surveillance Technology Oversight Project),,2A,2026-06-12,2026-07-12,2026-09-10,2026-12-09,N,0,N,,,,TBD,,Albert Fox Cahn; ICE surveillance NYC focus
EPIC,,2A,2026-06-12,2026-07-12,2026-09-10,2026-12-09,N,0,N,,,,TBD,,FOIA-intensive; corpus cites FOIA-sourced contracts
Carnegie Mellon CyLab (Lorrie Cranor),,2B,2026-06-12,2026-07-12,2026-09-10,2026-12-09,N,0,N,,,,TBD,,Academic; slow conversion cycle — mark hold-September if no reply
UC Berkeley CLTC (Ann Cleaveland),,2B,2026-06-12,2026-07-12,2026-09-10,2026-12-09,N,0,N,,,,TBD,,Academic; 6-18 month conversion timeline
Freedom of the Press Foundation (FPF),,2D,2026-06-12,2026-07-12,2026-09-10,2026-12-09,N,0,N,,,,TBD,,Training integration primary target; high personalization needed
Investigative Reporters and Editors (IRE),,2D,2026-06-12,2026-07-12,2026-09-10,2026-12-09,N,0,N,,,,TBD,,conference@ire.org; training channel
