task,start,duration,dependencies,float
[DECISION] Sprint scope — Option A / B / C confirmed in WORKLOG.md,2026-05-30,1,,0
[DECISION] Goldenseal sourcing path — Path 1 (live order June 8) or Path 2 (Wikimedia CC) confirmed,2026-05-30,1,Sprint scope decision,0
[DECISION] Canva palette — confirm 6 hex codes OR accept June 15 auto-lock,2026-05-30,1,Sprint scope decision,16
Supplier outreach — email Strictly Medicinal Seeds (Goldenseal + Black Cohosh summer availability),2026-06-01,1,,7
Props acquisition — kraft paper / linen / mortar+pestle / glass jars / wooden tray / reflector,2026-06-03,7,,12
Seedling photography — Calendula / Red Clover / Lemon Balm / Thyme / Lavender starts,2026-06-03,7,Props acquisition,10
[HARD DEADLINE] AHG peer reviewer outreach — 5–8 RH practitioners Women's Health specialty,2026-06-08,1,,0
[HARD DEADLINE] Goldenseal order placed (NWF $4.99) OR Wikimedia CC path confirmed in WORKLOG.md,2026-06-08,1,Goldenseal sourcing path decision,0
Mature/flowering specimen photography — Black Cohosh + Elderberry + Echinacea as specimens arrive,2026-06-10,7,Goldenseal hard deadline,5
[HARD DEADLINE] Elderberry order placed — local nursery 2-gal potted (4-week lead),2026-06-15,1,Supplier outreach,0
[HARD DEADLINE] Mountain Rose Herbs dried herb order placed — 11 species 1 oz each ($73–107),2026-06-15,1,,5
[PALETTE DEADLINE] Canva palette auto-lock — 6 hex codes finalized,2026-06-15,1,Canva palette decision,0
AHG outreach follow-up wave — non-respondents + UpS practitioner network,2026-06-15,1,AHG peer reviewer outreach,6
Dried herb studio photography session — Mountain Rose Herbs material (5 bundle flat-lays),2026-06-17,5,Mountain Rose Herbs order placed,1
Photo editing — cull to 50–60 keepers; warm preset; export 2400×2400px; create PHOTO_MANIFEST.csv,2026-06-19,3,Dried herb studio session,1
[GATE CHECK] Phase 2 forager cohort > 20% and native plants conversion > 1.5% confirmed GO,2026-06-20,1,,1
[ZERO FLOAT] Attribution logging — all Wikimedia CC + iNaturalist sources in PHOTO_ATTRIBUTION_LOG.md,2026-06-21,1,Photo editing complete,0
[ZERO FLOAT] Canva Brand Kit Phase 3 palette loaded + zone card test export passed,2026-06-21,1,Palette auto-lock,0
AHG peer reviewer written confirmation — revenue ceiling gate (not sprint blocker),2026-06-21,1,AHG outreach follow-up,0
[D1] WH: front matter + intro + Black Cohosh (700w — conservation sidebar / cultivation / contraindications),2026-06-22,1,Attribution logging; Brand Kit loaded,1
[D1] Tier 3 plant orders placed — Echinacea / Ashwagandha / Passionflower / Valerian / Ginger / Vitex,2026-06-22,1,,10
[D2] WH: Vitex (600w — invasive note TN/NC / dopaminergic framing / pregnancy contraindication) + Red Clover (400w),2026-06-23,1,WH Day 1,1
WH Canva cover — Black Cohosh or Calendula hero; Deep Burgundy #8B3E3E,2026-06-23,1,WH Day 1,4
Sprint studio session 1 — Calendula + Red Clover seedlings flat-lay,2026-06-23,1,,2
[D3 — PACE GATE] WH: Calendula (400w) + Lavender (400w — 3 cultivars) + prep methods + WH self-edit — 2500+ words required EOD,2026-06-24,1,WH Day 2,0
Resp Canva cover — Elderberry berry cluster hero; Sage Green #6B8E6F,2026-06-24,1,WH cover,4
Sprint studio session 2 — Lavender + Lemon Balm + Thyme nursery starts,2026-06-24,1,,3
[D4] Resp: front matter + intro + Elderberry (800w — raw berry toxicity / sambunigrin / elderflower forager crossover),2026-06-25,1,WH Day 3 pace gate,1
Sprint studio session 3 — Immunity dried herb props (mortar/pestle / glass jars / flat-lay),2026-06-25,1,Mountain Rose Herbs delivered,1
[D5] Resp: Mullein (600w — biennial lifecycle / ear oil) + Echinacea two-species (600w — UpS At-Risk sidebar MANDATORY),2026-06-26,1,Resp Day 1,1
Sprint studio session 4 — photo edit + cull sessions 1–3; export 2400×2400px for Canva,2026-06-26,1,Studio sessions 1–3 complete,2
[D6] Resp: Thyme (500w — thymol / pregnancy caution) + shared sections + WH final self-edit pass,2026-06-27,1,Resp Day 2,2
[D7] Resp self-edit + WH PDF export QA (5MB / no placeholder text / attribution confirmed / 170×135px crop),2026-06-28,1,Resp Day 3; WH self-edit complete,2
[CHECKPOINT 1] WH writing complete 3800w + export-ready / Resp writing complete 3600w / June 29 upload ready,2026-06-28,1,WH + Resp Days 1–7,0
[MILESTONE 1] UPLOAD Women's Health ($22) + practitioner 10-pack ($120–150) — 9–10am ET,2026-06-29,1,WH PDF export QA complete,0
[D8] WH upload AM (2 hrs) + Immunity: intro + Echinacea condensed (immunity framing 600w),2026-06-29,1,Women's Health upload,1
Immunity Canva cover — Goldenseal root or Ashwagandha hero; Deep Burgundy #8B3E3E,2026-06-29,1,WH upload,4
[D9] Immunity: Ashwagandha complete (900w — Rasayana context / withanolide RCTs / MANDATORY thyroid + pregnancy warning),2026-06-30,1,Immunity Day 1,1
Sleep Canva cover — Passionflower flower hero; Muted Lavender #9B8BA0,2026-06-30,1,Immunity cover,3
[D10] Immunity: Elderberry condensed (fermentation / immunity framing) + Goldenseal intro + CITES Appendix II sidebar (200w MANDATORY verbatim),2026-07-01,1,Immunity Day 2,1
Women's Health zone card — 4-field template fill (bundle name / primary species / cultivation zone / harvest timing),2026-07-01,1,WH cover,4
[D11] Immunity: Goldenseal cultivation (forest farming / FGV sourcing) + berberine constituents + shared sections + self-edit,2026-07-02,1,Immunity Day 3,1
Respiratory zone card — 4-field template fill,2026-07-02,1,Resp cover,4
