Domain #,Title,Core Thesis (one sentence),Primary Constituency,Key Organizations,Adoption Likelihood (1-5),Movement Integration Depth (1-5),Cross-Domain Leverage (1-5),Timing Urgency (1-5),Unique Contribution (1-5),Priority Rank,Estimated Production Time (hours)
36,Reproductive Freedom as Democratic Architecture,Restrictions on reproductive autonomy function as civic and economic exclusion mechanisms — suppressing voter registration and turnout for the single largest constituency whose participation determines 2026 midterm outcomes.,Reproductive justice and women's rights organizations; ballot initiative campaign networks,Center for Reproductive Rights; SisterSong; National Network of Abortion Funds; Reproductive Freedom for All; NARAL; Planned Parenthood Action Fund (51 affiliates),5,4,5,5,5,1,8-12
37,Criminal Justice Abolitionism and the Architecture of Democratic Exclusion,Mass incarceration is a systematic civic exclusion architecture — 4.4 million disenfranchised Americans; 1 in 13 Black adults unable to vote; jury exclusion; employment bars; housing discrimination — and the M4BL ecosystem is the highest-leverage distribution broker in Phase 2.,Abolitionist and criminal justice reform organizations; formerly incarcerated communities,Critical Resistance; M4BL Policy Table; Brennan Center Justice Program; Worth Rises; Sentencing Project; Prison Policy Initiative,4,5,5,4,5,2,12-18
38,Environmental Justice and Community Democratic Participation in Environmental Decision-Making,NEPA's elimination on January 8 2026 removed the primary mechanism through which low-income and minority communities could contest pollution-burden decisions — making environmental justice a democratic participation crisis not merely a regulatory policy question.,Environmental justice frontline communities; indigenous environmental organizations,Climate Justice Alliance; WE ACT for Environmental Justice; Deep South Center for Environmental Justice; Earthjustice; Indigenous Environmental Network,4,5,5,4,5,3,12-18
39,LGBTQ+ Rights and Trans Liberation Under Systematic Legal Attack,The 740 anti-LGBTQ+ bills in 42 states in 2026 share a common legal author — Alliance Defending Freedom — whose template infrastructure is identical to the architecture attacking reproductive rights (D36) and ballot initiatives (D33 Phase 1) making LGBTQ+ rights a structural convergence point with multiple Phase 1 threats.,LGBTQ+ and trans rights organizations; movement infrastructure connected to reproductive justice,Advocates for Trans Equality; Lambda Legal; National LGBTQ Task Force; GLAAD; GLSEN,4,4,4,5,4,4,8-12
40,Tenant Rights Housing Justice and Democratic Exclusion,Eviction is a voter suppression mechanism — Slee and Desmond (2023) establish a causal link between eviction rates and voter turnout suppression — and the OBBBA's rescission of the 30-day eviction notice rule in February 2026 is a direct attack on the democratic participation infrastructure of America's 44 million renter households.,Tenant organizing federations; homeless coalition staffers; housing court advocates,National Tenant Union Federation; Right to the City Alliance; National Low Income Housing Coalition; National Housing Law Project; Legal Aid organizations,4,4,4,4,4,5,12-18
41,Labor Rights NLRB Capture and Worker Power as Democratic Infrastructure,The Fifth Circuit's August 2025 ruling that the NLRB's structure is likely unconstitutional uses the same removal-power constitutional mechanism that destroyed independent regulatory authority across Phase 1 — making the labor rights crisis a democracy crisis with AFL-CIO's 12.5 million members as the framework's largest potential constituency.,Labor unions; worker center movement; economic justice organizations,AFL-CIO Research Department; SEIU Legislative Affairs; CWA; Economic Policy Institute; Labor Notes,5,5,4,4,4,6,12-18
42,Campaign Finance Dark Money and Corporate Capture of Democratic Institutions,Dark money at $1.9 billion in 2024 (a new record) is the structural mechanism connecting Citizens United to every sector-specific corporate capture documented in Phase 1 — crypto-PAC financial regulation; pharma lobbying; anti-union corporate campaigns; ballot initiative suppression — making this the meta-domain that names the connective tissue.,Campaign finance reform organizations; cross-partisan good-government networks,Campaign Legal Center; Common Cause; Brennan Center; Issue One; End Citizens United,4,4,4,4,5,7,8-12
43,Migrant and Refugee Rights Beyond Detention — Civic Participation and the Chilling Effect of Mass Enforcement,Mass deportation enforcement and community surveillance suppress the civic participation of both undocumented immigrants and their US citizen family members and neighbors — a democratic chilling effect that Phase 1's detention coverage does not address and that affects 12.2 million undocumented people plus 5.5 million mixed-status households.,Immigrant rights and legal services organizations; mixed-status community networks,National Immigration Law Center; United We Dream; RAICES; Centro de los Derechos del Migrante; ACLU Immigrants' Rights Project,4,4,3,5,3,8,12-18
44,Digital Justice Algorithmic Discrimination Broadband Equity and Platform Accountability,Private-sector algorithmic discrimination in hiring credit housing and insurance operates as structurally invisible civic exclusion — and the OBBBA's gutting of BEAD broadband funding (from $42.5B to $14B) removes the infrastructure prerequisite for participation in the digital civic space where democratic organizing increasingly occurs.,Digital rights organizations; civil rights organizations addressing algorithmic bias; rural broadband advocates,Lawyers' Committee for Civil Rights Digital Justice Initiative; Color of Change; National Digital Inclusion Alliance; Electronic Frontier Foundation,4,4,4,3,4,9,8-12
45,Youth Civic Power Student Organizing Voter Access and Civic Education Under Attack,Campus polling place closures; student ID restrictions; SAVE America Act barriers; OBBBA restrictions on Department of Education voter registration; and 6000+ student visa revocations with documented chilling effect constitute a coordinated structural attack on the voting cohort whose turnout volatility most affects competitive federal elections.,Student organizing networks; campus civic engagement organizations; youth civic power groups,Campus Vote Project; Students Learn Students Vote; NextGen America; Young Invincibles; CIRCLE (Tufts University),4,4,4,4,4,10,8-12
