Program,Type,Commission Rate,Cookie Window,Payment Terms,Minimum Payout,Setup Cost,Setup Effort (1-5),Audience Fit (1-5),Expected Monthly Revenue Potential,Notes,Phase 3 Priority
Amazon Associates,External Network,3% (Lawn & Garden; Home & Garden),24 hours,Monthly (60-day hold),$10 direct deposit,Free,$2,2,"$5–$30 (low — digital guides not sold via Amazon; can use for herb book cross-sell only)","3% on gardening/plants category. 24-hr cookie is very short — low conversion for discovery traffic. Only viable as supplemental cross-sell for physical herb books or tools; NOT for Seedwarden digital PDFs (Etsy-hosted). Low priority.",Low
Etsy Affiliate (Awin network),External Network (own store),4% (standard); up to 8% (select categories),30 days,Monthly ($20 minimum via Awin),Awin $20 minimum,Free to apply via Awin,$2,5,"$40–$200 (medium — direct link to Seedwarden Etsy listings; high audience fit)","4% commission on qualifying Etsy sales. Apply via Awin (ui.awin.com/merchant-profile/6220). 30-day cookie. Sellers CAN earn affiliate commission on their own Etsy shop purchases by driving traffic through their own affiliate link — verified via Joyfully Treasured guide. This means Seedwarden can also earn Etsy referral credit on influencer-driven traffic. Not a custom program — all Etsy sellers qualify through the same Awin application. Audience fit is perfect because all traffic lands directly on Seedwarden listings.",High
Mountain Rose Herbs (cross-promo),External Network (partner program),10% on referral revenue,Not publicly disclosed,Monthly ($50 minimum),$50,$Free to apply,$3,4,"$20–$100 (medium-low for Seedwarden as REFERRER; high value as CO-PROMOTION PARTNER)","Seedwarden can apply AS an affiliate promoting Mountain Rose Herbs products (bulk herbs, seeds) and earn 10% per referred sale. More importantly: Mountain Rose Herbs is itself an affiliate relationship target where THEY promote Seedwarden guides to their 431K IG + 100K email audience. That co-promotion conversation is separate from Seedwarden joining their affiliate program. Minimum 1,000 followers and 12 sales + 120 clicks/year to maintain status. Requirements: 1,000 cumulative followers across social channels.",Medium
Herbal Academy Affiliate,External Network (affiliate promotes HA courses),15% on course sales,21 days,Monthly PayPal ($50 minimum),$50,Free,$2,4,"$30–$150/month if actively promoting (one course sale = $59–$97 commission)","Seedwarden applies as an AFFILIATE promoting Herbal Academy courses. Earns 15% on subtotals. Course prices up to $647 — $97 commission per sale. 21-day cookie. Payouts monthly via PayPal. High audience alignment: HA students are the same herbalism learner audience who buys Seedwarden guides. Useful as supplemental income stream AND as credibility signal (being an HA affiliate partner signals legitimacy to HA alumni who see affiliate disclosure).",Medium
Payhip Built-in Affiliate (if migrating from Etsy),Native Platform Affiliate,Custom (seller-set); typical 20–50% for digital goods,30 days (last-touch attribution),Monthly PayPal,None specified,Free plan: 5% transaction fee; Plus: $29/mo (2% fee); Pro: $99/mo (0% fee),$1,4,"$100–$400/month if migrated and affiliate program activated with 5+ active affiliates","Best option IF Seedwarden ever migrates from Etsy to a direct storefront. Built-in affiliate dashboard — no third-party network fees. Set custom commission rates per product. 30-day cookie. Trusted by 130K+ creators. For Phase 3 timing (June 22 launch on Etsy), Payhip migration is not recommended — Etsy SEO and existing traffic momentum should not be interrupted. Note for Phase 4 planning: Payhip Pro ($99/mo) eliminates transaction fees and enables a full custom affiliate program with 0% platform fee overhead.",Low (Phase 3); High (Phase 4+ if direct store)
Gumroad Affiliate (if migrating),Native Platform Affiliate,Custom (seller-set); varies,30 days,7 days after purchase ($10 minimum per payout),Varies,10% transaction fee (free plan),$2,3,"$50–$200/month if migrated with active affiliate roster","Similar to Payhip but 10% platform transaction fee is higher than Payhip's 5% (free plan). Less favorable for digital goods with high affiliate commission rates. Gumroad is better suited for creators with large existing audiences who drive affiliate sales directly. Not recommended over Payhip if custom affiliate setup is the goal.",Low
Custom Affiliate (ShareASale merchant),External Network,Custom (seller-set),Custom,Net-30 after threshold,Affiliate $50 minimum,Merchant: $550 one-time + $100 deposit + 20% transaction fee on commissions,$4,3,"$150–$500/month at scale (3–5 active affiliates generating consistent sales)","ShareASale is a mature US affiliate network with thousands of publishers. As a merchant (Seedwarden running its own program), the one-time $550 network access fee plus 20% transaction fee on commissions makes this expensive for early-stage. Best suited once Phase 3 revenue is established and a systematic affiliate program is warranted. For Phase 3 launch, do NOT set this up — too high setup overhead vs. return. Revisit at Phase 4 when $1K+/month is established and CAC reduction via affiliate traffic is a strategic priority.",Low (Phase 3); Medium (Phase 4)
Seedwarden Native Affiliate (manual tracking via Etsy coupon codes),DIY Affiliate (Etsy coupon codes as proxy),0% platform fee — all revenue stays with seller,N/A (manual coupon code tracking),Manual PayPal or Venmo transfer; negotiated case-by-case,None,Free,$1,5,"$50–$300/month from 3–8 active affiliate partners (herbalist influencers)","The current Phase 3 approach: assign each influencer a unique 15% discount coupon code (e.g., ROSALEE15) as an Etsy coupon. Track sales via Etsy coupon redemption reports. Pay affiliates monthly via PayPal at agreed rate (10–20% of sale price). No software required. No network fees. Limitation: manual tracking; no automated commission calculation. Viable for up to ~15 active affiliates before spreadsheet management becomes burdensome. This is the recommended Phase 3 implementation — zero setup cost, launches with first influencer agreement.",High (Phase 3 — start here)
LearningHerbs (HerbMentor) Partner,Direct Partnership,Negotiated — likely 15–20% given existing affiliate ecosystem,Negotiated,Negotiated monthly,Negotiated,"Free to negotiate; relationship-dependent",$3,5,"$100–$500/month if partnership active (audience: tens of thousands of active herbalism learners)","John Gallagher operates an active affiliate and partnership ecosystem via LearningHerbs.com. This is not an application-based program — it is a direct relationship negotiation. Outreach via customer@learningherbs.com. Commission rate likely aligns with their existing affiliate rate (Herbal Academy offers 15%; LearningHerbs likely 15–20% for complementary products). Audience is the highest-fit in the herbalism space: intermediate to practitioner level, active buyers. Phase 3 highest-priority partnership conversation.",High
Ferry-Morse Seeds Affiliate,External Network,6% on seeds and gardening products,Not specified,Standard network terms,Varies,Free to apply,$2,3,"$10–$60/month as supplemental cross-sell","6% commission on seed and gardening products. Higher than Amazon's 3% for the category. Useful if Seedwarden content features specific seed purchase recommendations and wants to monetize those referrals. Secondary revenue stream only — not the primary affiliate play.",Low
Nature Hills Nursery Affiliate,External Network,12% on nursery products,Not specified,Standard network terms,Varies,Free to apply,$2,3,"$20–$80/month as supplemental cross-sell","12% commission — highest in the gardening/plants category identified in research. Nursery products (live plants) have high average order values, making the 12% meaningful. Cross-sell angle: practitioners buying medicinal herb starts to grow species covered in Seedwarden guides. Secondary stream only.",Low
