task,duration_days,depends_on,owner,blocker
Germination tray start,0,,user,Must happen by May 3 at absolute latest; April 30 preferred — miss this and May 10 shoot is at risk
Location confirmation,0,,user,East or south-facing window needed for Cluster A morning light; must be unobstructed May 10–11 9am–2pm
Crew coordination,0,,user,2–3 person team; confirm backup window May 17–18 in case primary dates slip
Print shop run for PDF props,1,,user,24-hr turnaround; submit by May 8 EOD for May 9 pickup; color prints of 3–5 product pages
Props sourcing — physical items,3,,user,Seeds / pots / mason jars / linen / peppers / trowel; most likely on hand — verify by May 7
Props assembly and shoot-day prep,0,"Print shop run for PDF props,Props sourcing — physical items",user,All props staged by cluster the evening of May 9; tablet charged; PDF covers loaded in shoot folder
Photo shoot Day 1 — Clusters A and B,1,"Germination tray start,Location confirmation,Crew coordination,Props assembly and shoot-day prep",user,Window light 9am–2pm is hard constraint for Cluster A; shoot cannot start late
Photo shoot Day 2 — Cluster C,1,Photo shoot Day 1 — Clusters A and B,user,Kitchen counter shoot — less light-sensitive than Clusters A and B; solo-executable if crew unavailable Day 2
Image culling,1,"Photo shoot Day 1 — Clusters A and B,Photo shoot Day 2 — Cluster C",user,80–100 RAW captures narrowed to 30 selects; flag any reshoot candidates same day
Image retouching and color grading,2,Image culling,user or autonomous,Lightroom preset workflow per LIFESTYLE_PHOTOGRAPHY_STRATEGY.md; Fiverr outsource option at $150–250 if user time is constrained
Social variant crop generation,1,Image retouching and color grading,user,60 crops: 1:1 Etsy + 4:5 Instagram + 16:9 Pinterest for each of 30 finals
Photos available for email and social,0,"Image retouching and color grading,Social variant crop generation",autonomous,Export to /marketing/lifestyle-photos/etsy-ready/; no action needed — this is a milestone checkpoint
Canva Brand Kit setup,0,,user,Lock brand colors and fonts before any card build; 30 min; must precede master template build
Canva master template and Zones 5–6,2,Canva Brand Kit setup,user,Three-column layout + spotlight band + footer; first two cards establish the duplication pattern; budget 4 hrs
Canva Zones 3 4 7 8,6,"Canva master template and Zones 5–6",user,Template duplication with zone-specific content substitution; 60–90 min each after pattern is established
Canva Zones 9 10,2,"Canva Zones 3 4 7 8",user,Lowest-traffic zones; same duplication process; 60–90 min each
Zone card full-set QA review,1,"Canva Zones 9 10",user,Visual check all 8 cards: placeholder URLs replaced / color bands correct / footer links live
Zone card PDF export and Kit upload,1,Zone card full-set QA review,user,PDF Print quality export; upload to Kit Content > Files; log each download URL in WORKLOG.md immediately
Zone card delivery test,0,Zone card PDF export and Kit upload,user,Subscribe with test address in each zone segment; confirm correct card delivered; verify PDF opens
Kit account and sender authentication,1,,user,SPF and DKIM DNS records must propagate before send; 24–48 hr DNS propagation is the hidden blocker — do this first
Subscriber segmentation rules,1,Kit account and sender authentication,user,Create zone tags 3–10; create cohort tags seed-saver / city-grower / preservationist; behavioral tag logic per PHASE_2_EMAIL_STRATEGY.md
Welcome sequence automation build,3,Subscriber segmentation rules,user,5-email sequence; 8 variants of Email 1 (one per zone); copy from marketing/email-and-launch-plan.md; zone routing conditional logic
Post-purchase sequence automation build,2,Welcome sequence automation build,user,3-email sequence triggered by Etsy purchase tag; requires Phase 1 Etsy listings live to test post-purchase trigger fully
Email template design,2,Welcome sequence automation build,user,Apply brand colors and fonts to Kit templates; add landing page hero image after Cluster A photos are available
Test sends — all automation sequences,2,"Post-purchase sequence automation build,Email template design",user,Minimum 3 test subscriber accounts; verify delivery timing + link functionality + mobile rendering for each automation
Email automation live,0,Test sends — all automation sequences,autonomous,All Priority 1 and 2 automations active; funnel accepting new subscribers — milestone only
Social content image selection,1,Photos available for email and social,user,Select 10 best lifestyle images from 30 finals for launch week social content
Social caption writing,2,Social content image selection,user,5 Instagram captions + 3 Pinterest descriptions + 2 Facebook posts; voice per PHASE_2_EMAIL_STRATEGY.md
Social posts scheduled,1,"Social content image selection,Social caption writing",user,Schedule in Buffer or Later for May 30 launch post + 3 days post-launch; 2-hr gap between platforms
Etsy coupon code activation,0,,user,SEEDWARDEN15 coupon must be active in Etsy before Email 5 reaches any subscriber on Day 10; create in Etsy Shop Manager before Kit automation goes live
Etsy lifestyle image upload — all 21 listings,1,"Image retouching and color grading,Social variant crop generation",user,Upload slots 4–5 for all 21 listings; images go live immediately on upload — do at 10am launch day
Launch email broadcast send,0,"Email automation live,Etsy lifestyle image upload — all 21 listings",user,Send at 12pm May 30; confirm welcome automation is not paused during broadcast; new subscribers that day should still receive welcome sequence
Social posts go live,0,"Social posts scheduled,Launch email broadcast send",autonomous,Posts release at 2pm–4pm staggered; 2-hr gap between platforms prevents same-audience reach overlap
Phase 2 launch complete,0,"Zone card delivery test,Launch email broadcast send,Social posts go live",autonomous,All 21 listings at 5-image status; email funnel live; zone cards in Kit delivery; social queue active
