Week,Period,Phase,Track,Task,Start Date,End Date,Duration (days),Dependencies,Float Days,Critical Path Y/N,Resource (Hours),Resource Notes,Status,Notes
PRE-SPRINT,2026-05-20,Pre-Sprint Decision,Decision,"[DECISION GATE] Scope selection: Option A (5 bundles / single writer) / Option B (5 bundles / 2 writers) / Option C (3-bundle priority)",2026-05-20,2026-05-30,10,Phase 2 metrics confirmed,0,YES,1,User decision only,PENDING,"Must be resolved by May 30 before Phase 2 Track B launches. Blocks all downstream resource allocation."
PRE-SPRINT,2026-05-20,Pre-Sprint Decision,Decision,"[DECISION GATE] Goldenseal path: order live specimen by June 8 OR confirm Wikimedia CC + botanical garden outreach (recommended)",2026-05-20,2026-05-30,10,Scope decision,0,YES,0.5,User decision only,PENDING,"Path 2 (Wikimedia CC) recommended: zero cost / zero schedule risk. If Path 1: must order by June 8 hard deadline."
PRE-SPRINT,2026-05-20,Pre-Sprint Decision,Design,"[DECISION GATE] Palette finalization: confirm 6 Phase 3 hex codes by June 15 or default to production-ready codes in critical path doc",2026-05-20,2026-06-15,26,Scope decision,16,NO,0.5,User decision only,PENDING,"Default: Burgundy #8B3E3E / Sage #6B8E6F / Gold #D4AF37 / Cream #F9F5F0 / Lavender #9B8BA0 / Charcoal #2C2C2C. Post-production change = 6 hrs rework."
PRE-SPRINT,2026-05-26,Pre-Sprint Photography,Photography,Props acquisition (kraft paper / mortar-pestle / glass jars / linen / wooden tray / reflector),2026-05-26,2026-06-02,7,Budget confirmed ($60–100),14,NO,2,"Photography: User",PENDING,"Budget $60–100. 14-day float — can compress to 1 order day by June 8 without impacting sprint."
PRE-SPRINT,2026-06-03,Pre-Sprint Photography,Photography,"Seedling photography: Calendula / Red Clover / Lemon Balm / Thyme / Lavender starts (start seeds by May 15)",2026-06-03,2026-06-09,7,Props acquired; seeds started,10,NO,4,"Photography: User",PENDING,"Annual seeds germinate in 2–4 weeks. 10-day float. Flexible window."
PRE-SPRINT,2026-06-08,Pre-Sprint Supplier,Supplier,"[HARD DEADLINE] Goldenseal + Black Cohosh order OR Wikimedia CC path confirmed in writing",2026-06-08,2026-06-08,1,Goldenseal decision,0,YES,0.5,"Supplier orders: User",PENDING,"Zero-float deadline. Prairie Moon $35–50 (Goldenseal) / Strictly Medicinal $25–35 (Black Cohosh). Expected arrival Jul 13–20."
PRE-SPRINT,2026-06-10,Pre-Sprint Photography,Photography,"Mature/flowering photography: Black Cohosh + Elderberry + Echinacea rosette (shoot within 3 days of arrival)",2026-06-10,2026-06-16,7,Tier 1 plants arrived,5,NO,5,"Photography: User",PENDING,"5-day float. Most Tier 1 specimens arrive Jul 13–20 — these are early-order shots. CC fallback ready for sprint."
PRE-SPRINT,2026-06-15,Pre-Sprint Supplier,Supplier,"[HARD DEADLINE] Elderberry order placed (Prairie Moon bare-root $30–45; local nursery potted backup)",2026-06-15,2026-06-15,1,Goldenseal order complete,0,YES,0.5,"Supplier orders: User",PENDING,"Zero-float deadline. Local nursery potted elderberry valid contingency (2-week lead; order by June 22)."
PRE-SPRINT,2026-06-15,Pre-Sprint Supplier,Supplier,"Mountain Rose Herbs dried herbs ordered (all 12 active species; 1 oz each; $80–120)",2026-06-15,2026-06-15,1,Budget confirmed,5,NO,0.5,"Supplier orders: User",PENDING,"Frontier Co-op emergency backup (3–5 business day ship). Must arrive by June 17 for studio session."
PRE-SPRINT,2026-06-15,Pre-Sprint Design,Design,"[PALETTE DECISION DEADLINE] Confirm or approve 6 hex codes for Phase 3 Medicinal palette",2026-06-15,2026-06-15,1,Palette decision,6,NO,0.25,"Design: User",PENDING,"6-day float before June 21 brand kit load. If undecided: default to production-ready hex codes."
