task_name,category,duration_hours,start_date,end_date,float_days,dependencies,owner,critical_path,notes
"Sprint scope decision (Option A/B/C)",decision,0.5,2026-05-30,2026-05-30,0,"none","user",YES,"Logged in WORKLOG.md. Option C recommended (3-bundle, 36–44 hrs writing)."
"Goldenseal path decision (Path 1 NWF order or Path 2 CC)",decision,0.5,2026-05-30,2026-05-30,0,"none","user",YES,"Path 2 (Wikimedia CC) recommended under all options. Log decision in WORKLOG.md."
"Canva palette decision (confirm or defer to June 15 auto-lock)",decision,0.25,2026-05-30,2026-06-15,16,"none","user",NO,"If no decision by June 15: hex codes auto-lock (see PHASE_3_CANVA_WORKFLOW_OPTIMIZATION.md)"
"Email Strictly Medicinal Seeds: summer transplant shipping confirmation",sourcing,0.25,2026-06-01,2026-06-01,7,"none","user",NO,"Ask: will Echinacea purpurea + Passionflower + Valerian transplants ship late June?"
"Prairie Moon website check: Elderberry + Echinacea + Passionflower stock",sourcing,0.25,2026-06-01,2026-06-01,7,"none","user",NO,"Check prairiemoon.com for potted stock status. Elderberry primary = local nursery."
"Props acquisition for studio shoot",photography,2,2026-06-03,2026-06-09,12,"none","user",NO,"Kraft paper, linen, ceramic jars, mortar/pestle, reflector. Budget $58–$101."
"Seedling photography window (Calendula, Red Clover, Lemon Balm, Thyme, Lavender starts)",photography,4,2026-06-03,2026-06-09,10,"props acquisition","user",NO,"30–40 images; cull to 20–30 keepers. Use potted starts from local nursery."
"AHG peer reviewer outreach — 5–8 RH practitioners (Women's Health specialty)",admin,1,2026-06-08,2026-06-08,0,"none","user",YES,"Revenue ceiling gate. 2–3 week response cycle. Subject: Seedwarden peer review request."
"Goldenseal order (NWF $4.99) OR Path 2 CC images confirmed in WORKLOG.md",sourcing,0.5,2026-06-08,2026-06-08,0,"Goldenseal path decision","user",YES,"HARD DEADLINE. If Path 2: log 3 Wikimedia CC-BY-SA Goldenseal filenames in attribution log."
"Mountain Rose Herbs: phone/email verify all 11 species in stock",sourcing,0.5,2026-06-10,2026-06-10,3,"none","user",NO,"Verify before placing order. Key risk skus: Passionflower aerial herb, Echinacea angustifolia root."
"Kit automation tagging setup (7 custom tags + Zapier trigger test)",admin,2.5,2026-06-10,2026-06-10,12,"none","user",NO,"Create: herbalist, practitioner-segment, student-segment, lead-magnet-black-cohosh, lead-magnet-curriculum, lead-magnet-sample-pack, herbalist-vip."
"Mountain Rose Herbs 11-species dried herb order placed (recommended date)",sourcing,0.5,2026-06-13,2026-06-13,2,"MRH stock verification","user",YES,"Order 1 oz each: Elderberry berries + Echinacea purpurea root + Lavender flowers + Lemon Balm leaf + Mullein leaf + Passionflower aerial + Valerian root + Ashwagandha root + Calendula flowers + Dandelion root + Thyme leaf. Est. $73–$107."
