Task,Start,End,Duration (days),Predecessors,Float (days),Critical Path?,Notes
"Herb selection finalization (all 5 bundles mapped to suppliers)","2026-05-19","2026-05-25",7,"—",7,"No","User decision on scope (5 bundles vs 3) must be made by May 25; supplier list in phase-3-medicinal-herbs-sourcing-guide.md"
"Plant sourcing: Goldenseal order (5-6 week lead)","2026-06-08","2026-06-08",1,"Herb selection",0,"YES","HARD DEADLINE — order by June 8 or commit entirely to Wikimedia CC photos; Prairie Moon or Strictly Medicinal Seeds"
"Plant sourcing: Black Cohosh + Elderberry (4-week lead)","2026-06-15","2026-06-15",1,"Herb selection",0,"YES","Prairie Moon Nursery primary; Strictly Medicinal Seeds contingency; must arrive by July 13"
"Plant sourcing: remaining species (2-3 week lead)","2026-06-22","2026-06-22",1,"Herb selection",7,"No","Echinacea, Ashwagandha, Passionflower, Valerian, Ginger, Vitex; order on sprint start day"
"Photo location scout + indoor studio setup","2026-05-26","2026-06-02",8,"Herb selection",7,"No","Scout north-facing window location; gather props ($60-100); indoor studio is primary plan; outdoor is supplement only"
"Fresh herb photography: seedling/juvenile states","2026-06-03","2026-06-09",7,"Photo location scout + indoor studio setup",0,"YES","30-40 images; Calendula/Red Clover/Lemon Balm/Thyme from seed; Lavender starts; studio flat-lays"
"Fresh herb photography: mature/flowering states","2026-06-10","2026-06-16",7,"Fresh herb photography: seedling/juvenile states | Plant sourcing: Black Cohosh + Elderberry (4-week lead)",0,"YES","Black Cohosh habit; Elderberry shrub; Echinacea; Passionflower on trellis; 8-10 images per species target"
"Dry herb photography + preparations","2026-06-17","2026-06-21",5,"Fresh herb photography: mature/flowering states",0,"YES","Dried roots; flat-lays with mortar/pestle; jars; styled preparations per bundle; purchase dried herbs from Mountain Rose Herbs by June 15 ($80-120)"
"Photo editing + culling to 50-60 keepers","2026-06-17","2026-06-21",5,"Dry herb photography + preparations",0,"YES","Parallel with dry herb photography; Lightroom Mobile batch preset; warm tone +0.2 exposure -20 highlights +15 shadows; attribution logging in WORKLOG.md"
"Canva brand kit pre-test (one zone card)","2026-06-21","2026-06-21",1,"Photo editing + culling to 50-60 keepers",1,"No","MUST complete before sprint begins; confirm colors/fonts/export; document any limitations in WORKLOG.md"
"Writing: Women's Health bundle (14-16 hrs)","2026-06-22","2026-06-24",3,"Photo editing + culling to 50-60 keepers",0,"YES","Black Cohosh (700w incl conservation sidebar) + Vitex (600w) + Red Clover (400w) + Calendula (400w) + Lavender (400w) + shared sections; ~5 hrs/day"
"Writing: Respiratory Health bundle (12-14 hrs)","2026-06-25","2026-06-28",4,"Photo editing + culling to 50-60 keepers",0,"YES","Elderberry (800w most complex) + Mullein (600w) + Echinacea two-species (600w) + Thyme (500w) + shared sections; parallel with WH cover design"
"Writing: Immunity bundle (14-16 hrs)","2026-06-29","2026-07-02",4,"Writing: Respiratory Health bundle (12-14 hrs)",0,"YES","Echinacea condensed (600w) + Ashwagandha (900w largest section) + Elderberry condensed + Goldenseal (900w CITES sidebar critical); 5 hrs/day"
"Writing: Sleep and Nervines bundle (12-14 hrs)","2026-07-03","2026-07-05",3,"Writing: Immunity bundle (14-16 hrs)",0,"YES","Valerian (800w) + Passionflower (700w maypop crossover) + Lemon Balm (500w) + Lavender condensed (500w) + shared sections"
"Writing: Digestive bundle (12-14 hrs)","2026-07-06","2026-07-08",3,"Writing: Sleep and Nervines bundle (12-14 hrs)",0,"YES","Dandelion (900w bridge species longest) + Calendula condensed (600w digestive framing) + Lemon Balm condensed (500w carminative) + Ginger (700w)"
"Cover design: Women's Health + Respiratory","2026-06-22","2026-06-25",4,"Photo editing + culling to 50-60 keepers",7,"No","1.2 hrs each; parallel with Week 1 writing; requires 1 hero photo per bundle; total 2.4 hrs"
"Cover design: Immunity + Sleep","2026-06-29","2026-07-02",4,"Cover design: Women's Health + Respiratory",7,"No","1.2 hrs each; parallel with Week 2 writing; total 2.4 hrs"
"Cover design: Digestive","2026-07-06","2026-07-07",2,"Cover design: Immunity + Sleep",7,"No","1.2 hrs; parallel with Week 3 writing"
"Zone card design: Women's Health + Respiratory","2026-06-29","2026-07-02",4,"Cover design: Women's Health + Respiratory",5,"No","0.8 hrs each; fill species data into existing zone card template; total 1.6 hrs"
"Zone card design: Immunity + Sleep + Digestive","2026-07-06","2026-07-09",4,"Zone card design: Women's Health + Respiratory",3,"No","0.8 hrs each; total 2.4 hrs; design lock July 3 — no changes after"
