Cohort,Platform,Primary Handle / Reference Account,Follower Range (Reference),Engagement Rate (Benchmark),Post Frequency (Reference),CTR Projection,LTV Projection ($),Budget/Day ($),30-Day Reach Target,Start Date,Observable Signal (Success),Kill Trigger,Notes
Forager/Wildcrafter,TikTok,"@chaoticforager (science-based foraging); @blackforager (4M benchmark)",30K–60K (outreach target); 4M (category benchmark),7–10% nano/micro; 6–8% macro,3–4 videos/week (target creator cadence),3.5–5.5%,$85–120,$5 (Promote — start Day 14),8000–15000 impressions/day,"June 13 (after organic baseline)","Video completion rate >60%; comment-to-view ratio >0.5%; Kit page visits from bio link >5/day by Day 14","Pause if cost-per-click exceeds $3.00 after 7 days","TikTok Interest Graph reaches niche forager audience at zero followers. Grow Forage Cook Ferment (148K Instagram) absent from TikTok — direct opportunity. Science-framed hooks outperform lifestyle framing in this niche."
Forager/Wildcrafter,Instagram,"@wellfedwild (published foraging author); @findersfeeders (23K tight community)",23K–50K,5–7% micro; 2.5–3.8% mid-tier,4–5 posts/week (reference: growforagecookferment),1.8–3.0%,$85–120,$0 (organic only),2000–5000 reach/Reel,Launch Day (May 30 — cross-post only),"Non-follower reach >30% of total profile traffic; Reels saves >30 by Week 2","Not applicable — no paid spend for this cohort on this platform","Secondary platform. Cross-post TikToks as Reels. No paid spend in Phase 2. Forager cohort skews TikTok-native; Instagram provides secondary reach with Homesteader audience crossover."
Forager/Wildcrafter,Pinterest,"@outdoorapothecary (foraging + wildcrafting blog)",35K–45K,3.5–5.5%,3–4 posts/week,0.5–1.2%,$85–120,$0 (organic only),500–1500 monthly pin impressions,Phase 3 only,"Board monthly impressions growing week-over-week; at least 2 saves per product pin","Not applicable — no paid spend","Tertiary. Pin seasonal foraging content to Wild Edibles by Season board. Low velocity but compound. Activate paid in Phase 3 when organic momentum confirmed."
Forager/Wildcrafter,YouTube Shorts,"@wellfedwild (field guide author model)",25K–50K,4–6%,1 Short/week (experimental),0.8–1.5%,$85–120,$0 (organic only),1000–3000 views/Short,"June 2 (first keyword-optimized Short)","Video surfaces in Google search for target keywords within 30 days; channel subscribers >10","Not applicable — no paid","Experimental. 1 Short/week with keyword title. Value is compound search traffic over 90 days, not immediate reach."
Prepper/Survivalist,YouTube Shorts,"@buckskin_revolution (40K — ancestral survival skills); @graybeardedgreenberet (36K — former Ranger)",28K–53K (outreach range),4–6% (survivalist niche — active commenters),3–4 posts/week (reference accounts),1.2–2.5%,$120–180,$0 (organic only),2000–6000 views/Short,"June 2 (first Short posted)","CTR >8% on keyword-optimized titles; listing views from YouTube bio link (UTM) >0 by Day 21","Not applicable — no paid","Primary platform. Keyword-optimized titles for dual-discovery: YouTube search + Google search. Post 1 Short/week. Build library for compound traffic. Do not run paid Shorts — organic authority must precede any promotion."
Prepper/Survivalist,Instagram,"@graybeardedgreenberet (36K); @buckskin_revolution (40K); @naturvival (28K)",10K–53K (outreach range),3.5–6% (prepper niche engagement strong),3–5 posts/week,1.5–2.8%,$120–180,$10 (start Day 21 — after 10+ Etsy reviews),3000–8000 impressions/day,"June 20 (conditional — requires 10+ Etsy reviews)","CPC <$0.90; ROAS ≥2.0 within 14 days of activation; Etsy listing visits from Instagram UTM >5/day","Pause if CPC >$1.20 or click-to-purchase rate <1% after 7 days","Secondary platform. Static image ads with direct copy — no lifestyle softening. Prepper audience responds to authority, depth, and credibility. Hold paid until social proof (reviews) exists — review presence reduces CPA 30–40%."
Prepper/Survivalist,TikTok,"@naturvival (28K — Carry Modern Practice Primitive)",15K–35K,5–8% micro,3–4 posts/week,2.0–4.0%,$120–180,$0 (organic only),3000–10000 impressions/post,"Cross-post from YouTube — continuous","Engagement on survivalist-tagged posts >3% completion; comment mentions of resource-seeking","Not applicable — no paid","Tertiary. Cross-post YouTube Shorts as TikToks. Prepper audience trusts YouTube authority more than TikTok. Do not run TikTok Promote for this cohort."
Prepper/Survivalist,Pinterest,N/A — avoid as primary for Prepper cohort,N/A,N/A,N/A,0.4–0.9%,$120–180,$0,300–900 monthly pin impressions,Phase 3 if justified,"Pin impressions for Survival Garden board growing","Not applicable","Low priority. Pin survival garden content for passive search traffic. Not a primary acquisition channel for this cohort."
Prepper/Survivalist,Facebook,Organic community engagement — prepper Facebook groups,N/A,0.6–1.2%,Organic engagement only (2–3 group comments/week),0.6–1.2%,$120–180,$0,500–2000 organic reach,Continuous,"Direct messages asking where to buy guides; Etsy listing referrals from Facebook","Not applicable — no paid","Supplementary. Engage in prepper and homesteading groups with genuine expertise. No paid Facebook ads — low ROAS for this niche in 2026."
Homesteader/Farmer,Instagram,"@shayeelliott (85K — farm life WA); @michelles_farmstead (35.6K TikTok)",35.6K–85K (outreach range),3–5% mid-tier; 7–9% nano (michelles_farmstead),5–7 posts/week (reference: michelles_farmstead TikTok),2.5–4.0%,$75–110,$10 (start Day 7 — June 6),5000–12000 impressions/day,"June 6","Non-follower reach >40% per Reel; Saves per Reel >50 by Week 2; email sign-ups from IG segment >30 by Day 30","Pause if CPC >$1.20 or email sign-up rate <10% from landing page after 7 days","Primary platform. Instagram Reels reach rate 30.81% — highest of any IG format. Homesteader cohort has best CAC:LTV efficiency (1:9–1:14). Carousel ad: 3–5 slides showing guide pages. Process/transformation content dominates this niche."
