shot_id,cluster,shoot_date,species_common,species_scientific,subject_type,shot_description,surface_or_setting,lighting_condition,scale_reference,prop_source,sequence_position,frame_count_target,frames_captured,keeper_selected,keeper_filename,resolution_px,file_size_kb,license_type,attribution_required,attribution_text,inaturalist_obs_url,bhl_item_id,notes,qa_pass
C1-001,Cluster 1 — Temperate Forest,2026-05-17,Ramps,Allium tricoccum,Habitat context,Wide habitat shot — forest floor composition showing ramps colony or residual site,Temperate forest understory,Natural — overcast preferred,none,Wild — public land,1 of 30,3,,,,,,,,,,,Check for residual ramps colony or seed stalk markers from spring emergence
C1-002,Cluster 1 — Temperate Forest,2026-05-17,Ramps,Allium tricoccum,Habitat context,Mid-range ramps habitat — leaf litter pattern and colony spacing,Temperate forest understory,Natural — overcast,none,Wild — public land,2 of 30,2,,,,,,,,,,,
C1-003,Cluster 1 — Temperate Forest,2026-05-17,Ramps,Allium tricoccum,Habitat context,Ramps seed stalk or post-bloom colony (May-stage phenology),Temperate forest understory,Natural,ruler or hand,Wild — public land,3 of 30,2,,,,,,,,,,,If bloom has passed: document seed umbel for lifecycle content
C1-004,Cluster 1 — Temperate Forest,2026-05-17,Black Cohosh,Actaea racemosa,Habitat context,Emerging compound leaf cluster — mid-range showing plant emergence,Forest understory (open woodland),Natural,ruler,Wild — public land,4 of 30,3,,,,,,,,,,,Pre-bloom (bloom June-August); compound leaf is the May identification feature
C1-005,Cluster 1 — Temperate Forest,2026-05-17,Black Cohosh,Actaea racemosa,Detail,Compound leaf close — showing ternate structure and toothed margin,Forest floor — natural background,Natural,quarter,Wild — public land,5 of 30,3,,,,,,,,,,,
C1-006,Cluster 1 — Temperate Forest,2026-05-17,Black Cohosh,Actaea racemosa,Detail,Stem base detail — showing emerging leaves at ground level,Forest floor,Natural,quarter,Wild — public land,6 of 30,2,,,,,,,,,,,
C1-007,Cluster 1 — Temperate Forest,2026-05-17,Trillium,Trillium grandiflorum,Habitat context,Trillium follicle / seed pod stage — post-bloom May phenology,Forest understory — north-facing slope preferred,Natural,quarter,Wild — public land,7 of 30,3,,,,,,,,,,,Do not pick or disturb any trillium — photograph only
C1-008,Cluster 1 — Temperate Forest,2026-05-17,Trillium,Trillium grandiflorum,Detail,Three-leaf whorl showing whorled arrangement — leaf detail,Forest floor,Natural,quarter,Wild — public land,8 of 30,2,,,,,,,,,,,
C1-009,Cluster 1 — Temperate Forest,2026-05-17,Wild Ginger,Asarum canadense,Habitat context,Wild Ginger colony — low angle showing heart-shaped leaves as lookalike species,Forest floor,Natural,ruler,Wild — public land,9 of 30,3,,,,,,,,,,,Lookalike documentation — Wild Ginger is a common companion and identification teaching point
C1-010,Cluster 1 — Temperate Forest,2026-05-17,Wild Ginger,Asarum canadense,Detail,Leaf detail — showing hairy petiole and heart-shaped form,Forest floor,Natural,quarter,Wild — public land,10 of 30,2,,,,,,,,,,,
C1-011,Cluster 1 — Temperate Forest,2026-05-17,Mixed — multiple species,Multiple,Atmospheric,Canopy light quality — dappled light on forest floor (guide chapter opener use),Forest interior,Natural — dappled,none,none,11 of 30,3,,,,,,,,,,,No species ID required — atmospheric backdrop for guide layout
C1-012,Cluster 1 — Temperate Forest,2026-05-17,Mixed — multiple species,Multiple,Atmospheric,Trail or path context — showing ecosystem access and setting,Forest trail,Natural,none,none,12 of 30,2,,,,,,,,,,,
