keyword,search_volume_estimate,competition_density,commercial_intent,seasonal_pattern,primary_product_fit,secondary_products,notes
cable organizer,15000-25000,very_high,high,Jan/Aug/Nov peaks,cable_clips_individual,cable_rail_system,"Broad category term; 5000+ listings. Must be in title but do not rely on it alone. Combine with modifiers."
desk organizer,30000-50000,extreme,high,Jan/Aug peaks,cable_clips_bundle,headphone_hook,"Too broad alone; 30000+ competing listings. Use only as title supplement with more specific primary keyword."
cable management,8000-15000,high,high,Jan/Aug/Nov peaks,cable_clips_individual,cable_rail_system,"Core category term. 3000+ listings. Essential in title and tags. Worth fighting for with strong LQS."
cord organizer,5000-10000,high,high,Jan/Aug peaks,cable_clips_individual,cable_rail_system,"UK-preferred variant. Use alongside cable organizer. Covers British and Australian search traffic."
wire organizer,4000-8000,medium_high,high,Jan peaks,cable_clips_individual,cable_rail_system,"Less saturated than cable organizer. Good tag candidate. Engineering-adjacent buyers use this term."
desk cable organizer,3000-6000,medium,high,Jan/Aug peaks,cable_clips_bundle,cable_rail_system,"Better signal-to-noise than broad cable organizer. 1000-2000 competing listings. Primary title target."
cable management clips,1500-3000,medium,very_high,Jan/Aug/Nov peaks,cable_clips_individual,cable_clips_bundle,"Direct product match for ModRun. High purchase intent. Use in first 40 chars of title."
cable clip organizer,1000-2500,medium,very_high,Jan/Aug peaks,cable_clips_individual,cable_clips_bundle,"Synonym for cable management clips. Strong tag candidate. Different word order captures different queries."
under desk cable management,1000-2000,medium,very_high,Jan/Mar/Aug peaks,cable_clips_bundle,cable_rail_system,"Placement-specific query. Very high purchase intent. Buyers know exactly what they want."
cord management desk,800-1500,medium,high,Jan/Aug peaks,cable_clips_bundle,cable_rail_system,"Word-order variant. Captures different query formations. Good tag."
home office cable organizer,800-1500,medium,high,Jan/Sep peaks,cable_clips_bundle,headphone_hook,"Use-case modifier. Evergreen WFH demand. Gift intent adjacency."
cable holder desk,600-1200,medium_low,high,Jan/Aug peaks,cable_clips_individual,cable_clips_bundle,"Simpler phrasing; catches less-specific searchers. Lower competition entry point."
wire management desk,500-1000,medium_low,high,Jan peaks,cable_clips_individual,cable_rail_system,"Engineering-adjacent language. Self-selecting informed buyer who wants precise tolerances."
3D printed cable management,400-800,low_medium,very_high,Jan/Aug peaks,cable_clips_individual,cable_clips_bundle,"Self-selects buyers who know 3D printing. Excellent conversion rate. Low listing competition."
3D printed cable clips,300-600,low,very_high,Jan/Aug peaks,cable_clips_individual,cable_clips_bundle,"Highly specific; very strong conversion. ModRun's sweet spot. Virtually no LQS competition."
modular cable management,300-500,low,very_high,Jan/Mar peaks,cable_rail_system,cable_clips_bundle,"Unique differentiator phrase for ModRun. Very low competition. Use in title of rail system listing."
standing desk cable organizer,300-500,low_medium,very_high,Jan/Mar/Aug peaks,cable_clips_bundle,cable_rail_system,"Growing query as sit-stand desks proliferate. Highly specific use case. Almost no dedicated listings."
desk setup cable management,200-400,low,very_high,Jan/Aug peaks,cable_clips_bundle,cable_rail_system,"r/battlestations language. Tech buyer with high spend tolerance. Good tag candidate."
gaming desk cable organizer,400-800,medium,very_high,Jan/Aug peaks,cable_clips_bundle,headphone_hook,"High-spend gaming buyer segment. Repeat purchaser profile. Include gaming desk photo in listing."
magnetic cable clips,200-400,low,very_high,Jan/Aug peaks,cable_clips_individual,cable_clips_bundle,"If ModRun uses magnetic mechanism: powerful differentiator with almost no competition. High conversion."
minimalist cable management,200-400,low,high,Jan peaks,cable_clips_individual,cable_clips_bundle,"Aesthetic buyer. Premium price tolerance. Pinterest and r/minimalism crossover traffic."
cable management gift,150-300,low,very_high,Nov/Dec peaks,cable_clips_bundle,headphone_hook,"Seasonal gift modifier. Spikes Q4. Add to tags starting October 1."
work from home desk organizer,200-400,low_medium,high,Jan/Sep peaks,cable_clips_bundle,headphone_hook,"Evergreen post-pandemic term. Combines WFH with organization intent."
desk accessories gift for him,300-600,medium,very_high,Nov/Dec peaks,cable_clips_bundle,headphone_hook,"Top holiday gift search term for desk products. Critical tag for Q4. Add October 1."
standing desk accessories,300-600,medium,high,Jan/Mar/Aug peaks,cable_clips_bundle,cable_rail_system,"Broad accessory term for sit-stand desk owners. Growing market segment."
cable management system,400-800,medium,very_high,Jan peaks,cable_rail_system,cable_clips_bundle,"Buyers searching for complete solution not just clips. Target with rail+clips bundle listing."
monitor cable management,300-500,low_medium,very_high,Jan/Aug peaks,cable_clips_bundle,cable_rail_system,"Specific placement: cables behind/under monitor. Very high intent."
HDMI cable organizer,200-400,low,very_high,Jan/Aug/Nov peaks,cable_clips_individual,cable_clips_bundle,"Cable-type specific. Low competition. Buyers know exactly what they need."
USB cable organizer,300-500,medium,very_high,Jan/Aug peaks,cable_clips_individual,cable_clips_bundle,"Cable-type specific. Broader than HDMI but still very specific."
charging cable organizer,400-800,medium,high,Nov/Dec peaks,cable_clips_individual,cable_clips_bundle,"Wireless charging accessories often purchased alongside. Gift-adjacent intent Q4."
desk wire clips,300-600,low_medium,very_high,Jan/Aug peaks,cable_clips_individual,cable_clips_bundle,"Wire vs. cable language; covers different buyer vocabulary."
cord clips desk,200-400,low,very_high,Jan/Aug peaks,cable_clips_individual,cable_clips_bundle,"Variation; good tag candidate."
flexispot cable management,200-400,low,very_high,evergreen,cable_clips_bundle,cable_rail_system,"Desk-brand-specific search. Extremely high intent. Almost zero competition. Create brand-specific variant."
uplift desk accessories,150-300,low,very_high,evergreen,cable_clips_bundle,cable_rail_system,"Same strategy as Flexispot. Uplift V2 owners are heavy accessory buyers."
IKEA cable management,400-800,medium,high,Jan/Mar peaks,cable_clips_bundle,cable_rail_system,"IKEA desk owners are large buyer segment. ALEX drawer desk users especially."
headphone stand,5000-10000,very_high,high,Nov/Dec/Jan peaks,headphone_hook,cable_clips_bundle,"Very competitive. 10000+ listings. Compete on price and 3D-printed original design angle."
headphone hook,2000-4000,high,very_high,Jan/Aug/Nov peaks,headphone_hook,cable_clips_bundle,"More specific than stand. Better signal-to-noise ratio. Primary title keyword for hook listing."
under desk headphone hook,800-1500,medium,very_high,Jan/Aug peaks,headphone_hook,cable_clips_bundle,"Highest-intent headphone hook query. Very specific placement."
3D printed headphone hook,300-600,low_medium,very_high,Jan/Aug peaks,headphone_hook,cable_clips_bundle,"Original design differentiator. Low competition. High conversion from informed buyers."
gaming headset hook,800-1500,medium,very_high,Jan/Nov/Dec peaks,headphone_hook,cable_clips_bundle,"High-spend gaming segment. Gift-intent strong Q4."
desk headphone hanger,600-1200,medium,high,Jan/Aug peaks,headphone_hook,cable_clips_bundle,"Synonym variant; good tag."
monitor headphone hook,300-500,low,very_high,Jan peaks,headphone_hook,cable_clips_bundle,"Monitor-mount variant. Almost no competition. Highly specific."
headset stand 3D printed,300-600,low_medium,very_high,Jan/Aug peaks,headphone_hook,cable_clips_bundle,"Material signal. Attracts buyers who value 3D-printed originals."
gaming room accessories,1000-2000,high,high,Jan/Nov/Dec peaks,headphone_hook,cable_clips_bundle,"Broad gaming room term. Use as tag supplement not primary keyword."
