Organization,Category,Contact Person / Entry Point,Wave / Send Date,Decision Window (days to May 24),Decision Criteria,Estimated Response Time,Commitment Pathway,Template,Priority Score (A+R+I),Notes
Drug Policy Alliance,Drug Policy Reform (A),press@drugpolicy.org — Communications/Policy staff,Wave 1 / May 8,16,Prior DEA proceeding history; Domain 42 Section 2 (regulatory capture) extends their existing framing; need to resubmit because 2024 participation notices were voided,3–5 business days,Near-certain filer regardless — goal is to get democratic exclusion framing into their participation notice; offer submission guide immediately on any positive reply,D42-A,8 (Tier 1),DPA filed in 2023–2024 comment period; highest DEA access of any reform org; 350K subscriber network for downstream amplification
NORML,Drug Policy Reform (A),norml@norml.org — Legal committee / Executive Director,Wave 1 / May 8,16,"Prior DEA proceeding history (47-page comment in 2023; filed participation notice in 2024 but was excluded); regulatory capture framing in Section 2.3 is precisely NORML's existing argument",3–5 business days,"Near-certain filer; primary goal is Domain 42 Section 2 entering their testimony; secondary goal: NORML can validate the 2024 exclusion as itself evidence of regulatory capture — mention this in the outreach",D42-A,8 (Tier 1),NORML deputy director has publicly criticized DEA's selection pattern as biased; this organization does not need convincing to file — they need analytical framing support
ACLU Criminal Law Reform Project,Civil Rights (B),nationaloffice@aclu.org routed to Criminal Law Reform Project,Wave 1 / May 8,16,"Internal authorization for new federal proceedings is the decision gate; ACLU has standing before federal agencies; Domain 42 Section 3 (disenfranchisement feedback loop) is directly within their current litigation lane",5–7 business days,"Not a foregone filer — requires internal authorization; highest-impact uncertain outcome; if they request submission guide it is a strong positive signal; offer to walk through filing procedure; frame ask as 'this framing is absent from the anticipated participant pool'",D42-B,8 (Tier 1),ACLU filing on disenfranchisement grounds is analytically unique — no other anticipated participant will make this argument; 1.7M member network for downstream reach
The Sentencing Project,Civil Rights (B),staff@sentencingproject.org — Research Director / Policy staff,Wave 1 / May 8,16,"Domain 42 already cites their own data (Locked Out 2022; Voting Rights in the Era of Mass Incarceration) — lowest cold-briefing friction of any contact; activation barrier is demonstrating that Domain 42 extends their existing framework",3–5 business days,Research staff recognize the argument immediately as a synthesis of their published work; specific ask is bounded and concrete; offer to connect them with ACLU contact if coordination is useful,D42-B,8 (Tier 1),Their own data is already in the domain — they are not receiving an unfamiliar argument; easiest of the four Tier 1 contacts to convert to COM
Law Enforcement Action Partnership (LEAP),Drug Policy Reform (A),info@leap.cc — Executive Director / Communications,Wave 1 / May 8,16,"Smaller organization with limited federal proceeding capacity; law enforcement voice is unusually credible in DEA proceedings; Section 2.4 (four scenario framework) and democratic accountability failure argument is directly in LEAP's rhetorical lane",5–7 business days,"Treat as high-upside contact; primary ask: file a short participation notice; secondary ask: if they cannot file independently can they refer Domain 42 to NORML or DPA federal policy contacts",D42-A,7 (Tier 1B),LEAP's credibility with DEA is disproportionate to its size; a LEAP participation notice framing democratic accountability failure carries different institutional weight than a civil rights org filing the same argument
Students for Sensible Drug Policy (SSDP),Drug Policy Reform (A),ssdp@ssdp.org — Executive Director / National Office,Wave 1 / May 8,16,"Advocacy staff are engaged with the issue; best realistic outcome is referral to larger coalition partners rather than independent filing; Section 3 (felony disenfranchisement and student population) is the direct entry point",3–5 business days,"Primary role: amplifier and referral node; ask them to share Domain 42 through chapter network; ask if they have working relationships with DPA or NORML federal policy staff",D42-A,5 (Tier 2),"Network of 200+ campus chapters; even without filing, SSDP sharing Domain 42 generates downstream contacts who may engage DPA or NORML"
NAACP Legal Defense Fund,Civil Rights (B),naacpldf.org/contact webform — Policy and Advocacy team,Wave 2 / May 10,14,"Longer internal approval process than DPA/NORML/ACLU — 7–10 business days minimum; Domain 42 Section 3.2 (4.5% Black voting-eligible adults disenfranchised) and Section 3.3 (NYC felony arrest disparity data) are the entry points; LDF mandate is voting rights and democratic participation",7–10 business days,"Frame as a voting rights and democratic participation issue — not drug policy; lead with Section 3 not Section 2; if ACLU is reviewing the briefing by May 10 mention this explicitly; their internal authorization path benefits from coalition signal",D42-B,7 (Tier 2),Tier 2 despite high impact because of routing lag; do not push past May 10 — window becomes unworkable
Prison Policy Initiative,Civil Rights (B),info@prisonpolicy.org — Research team,Wave 2 / May 10,14,"Domain 42 already cites PPI's felony disenfranchisement research and their 2026 Winnable Criminal Justice Reforms report; same low-friction dynamic as Sentencing Project; best realistic outcome is research amplification and potential co-filing with Sentencing Project",3–5 business days,"Reach research team; frame as 'your data is already in the domain — you should know this analysis exists'; ask whether they plan to publish on the DEA-1362 hearing; hearing participation is secondary ask",D42-B,6 (Tier 2),High downstream value even without filing — PPI publishing on DEA-1362 using Domain 42 Section 3 framing is a success metric
Marijuana Policy Project (MPP),Drug Policy Reform (A),mpp@mpp.org — Policy team,Wave 2 / May 10,14,"Primarily a state-level organization; federal hearing participation is possible but not their primary lane; Section 4 (SAFER Banking and 280E analysis) and Section 4.2 (eight-introduction-cycle failure) are the relevant entry points",3–5 business days,Forward to MPP federal policy director; primary value is as referral node to their federal policy contacts and congressional allies rather than as independent filer; note May 24 electronic deadline explicitly in subject line,D42-A,6 (Tier 2),Best positioned to pass Domain 42 to congressional contacts working on SAFER Banking — secondary distribution value exceeds direct filing value
Mason Marks — Yale Law School,Academic (C),mason.marks@yale.edu — confirm current institutional email before sending,Wave 2 / May 10,14,"Methodological peer contact; Domain 42 Section 2.3 cites his Yale Law Journal analysis (Separation of Drug Scheduling Powers) and his February 2026 Regulatory Review piece; most likely of all contacts to provide testimony of unique analytical value",5–7 business days,"Lead with academic framing not advocacy; ask whether the domain's regulatory capture analysis extends his Yale Law Journal argument correctly; if he is planning to testify Domain 42's democratic exclusion framing complements his statutory analysis; two specific methodological questions to pose",D42-C,6 (Tier 2 Academic),Verify current institutional email before sending — may have moved from Yale Law; his testimony if selected would be highest-quality contribution to the administrative record among all contacts
