asset_name,location,format,cc_licensed,tested,status,notes
"Wild-Edibles: allium-tricoccum (Ramps) habit photo","assets/wild-edibles/allium-tricoccum-habit.jpg",JPEG 1296x864,"YES — source unknown; WORKLOG entry missing","NO","needs-fix","PASS resolution (1296x864); license not documented in WORKLOG"
"Wild-Edibles: amaranthus-retroflexus (Pigweed) habit photo","assets/wild-edibles/amaranthus-retroflexus-habit.jpg",JPEG 640x480,"YES — source unknown; WORKLOG entry missing","NO","needs-fix","FAIL resolution (640x480 — below 1200x800 minimum); replace with higher-res Wikimedia source"
"Wild-Edibles: arctium-lappa (Burdock) habit photo","assets/wild-edibles/arctium-lappa-habit.jpg",JPEG 2288x1712,"YES — source unknown; WORKLOG entry missing","NO","needs-fix","PASS resolution (2288x1712); license not documented in WORKLOG"
"Wild-Edibles: asclepias-syriaca (Milkweed) habit photo","assets/wild-edibles/asclepias-syriaca-habit.jpg",JPEG 1200x1800,"YES — source unknown; WORKLOG entry missing","NO","needs-fix","PASS resolution (1200x1800); license not documented in WORKLOG"
"Wild-Edibles: chenopodium-album (Lambsquarters) habit photo","assets/wild-edibles/chenopodium-album-habit.jpg",JPEG 1110x1671,"YES — source unknown; WORKLOG entry missing","NO","needs-fix","FAIL resolution (1110px wide — below 1200 threshold); replace with wider-format Wikimedia source"
"Wild-Edibles: cichorium-intybus (Chicory) habit photo","assets/wild-edibles/cichorium-intybus-habit.jpg",JPEG 500x437,"YES — source unknown; WORKLOG entry missing","NO","needs-fix","FAIL resolution (500x437 — well below minimum); replace immediately"
"Wild-Edibles: daucus-carota (Queen Anne's Lace) habit photo","assets/wild-edibles/daucus-carota-habit.jpg",JPEG 500x333,"YES — source unknown; WORKLOG entry missing","NO","needs-fix","FAIL resolution (500x333 — well below minimum); replace immediately"
"Wild-Edibles: epilobium-angustifolium (Fireweed) habit photo","assets/wild-edibles/epilobium-angustifolium-habit.jpg",JPEG 375x500,"YES — source unknown; WORKLOG entry missing","NO","needs-fix","FAIL resolution (375x500 — well below minimum); replace immediately"
"Wild-Edibles: fallopia-japonica (Japanese Knotweed) habit photo","assets/wild-edibles/fallopia-japonica-habit.jpg",JPEG 1200x828,"YES — source unknown; WORKLOG entry missing","NO","needs-fix","PASS resolution (1200x828); license not documented in WORKLOG"
"Wild-Edibles: fragaria-virginiana (Wild Strawberry) habit photo","assets/wild-edibles/fragaria-virginiana-habit.jpg",JPEG 375x500,"YES — source unknown; WORKLOG entry missing","NO","needs-fix","FAIL resolution (375x500 — below minimum); replace immediately"
