Day,Date,Day of Week,Week,Task,Hours,Bundle,Dependencies,Float (days),Notes
1,2026-06-22,Monday,Week 1 (Herb Arrival + Writing Kickoff),"Women's Health bundle — Black Cohosh species page (hook: 95% wild-harvest statistic; cultivation guide; conservation sidebar; FTC disclaimer)",3.5,Women's Health,"May 30 scope decision logged; Canva brand kit loaded June 21; Black Cohosh bareroot potted and establishing",0,"CRITICAL PATH DAY 1. No float on sprint start. Write full Black Cohosh species page: identification overview, cultivation method, harvest timing, traditional use history, conservation story, FTC-compliant use framing, sourcing recommendation (NativeWildflowers.net or SM). Target: 1,600-2,000 words."
1,2026-06-22,Monday,Week 1,"Women's Health bundle — Vitex (*V. agnus-castus*) species page start (traditional use; cultivation in zones 6-10; FTC note: traditional use framing only)",1.5,Women's Health,June 22 Day 1 writing,1,"Canbe started same day or deferred to Day 2 with 1 day float. Target: 800-1,000 words."
2,2026-06-23,Tuesday,Week 1,"Women's Health bundle — Vitex complete + Red Clover (*Trifolium pratense*) species page (nitrogen-fixing cultivation; women's health traditional use; isoflavone FTC note)",3.5,Women's Health,Black Cohosh complete (Day 1),1,"Red Clover is a dual-bundle species. Write standard cultivation page + traditional use section. Target: 1,600 words combined Vitex finish + Red Clover."
2,2026-06-23,Tuesday,Week 1,"Women's Health cover design in Canva — load Deep Burgundy #8B3E3E header; Apothecary Gold #D4AF37 accent; Clinical Cream #F9F5F0 background; insert hero image (Black Cohosh CC-BY-SA)",1.0,Women's Health,Brand kit loaded June 21,4,"Design can be done at any point in Days 1-5 of sprint. 4-day float. Takes approximately 1 hour per cover once template is loaded."
3,2026-06-24,Wednesday,Week 1,"Women's Health bundle — Calendula species page (dual-bundle: Women's Health + Digestive; salve preparation content; menstrual comfort traditional use; topical claims = cosmetic not FTC)",2.5,Women's Health,Days 1-2 complete,0,"PACE GATE: EOD June 24, total Women's Health word count must be at or above 2,500 words. If below: activate Option C (3-bundle scope) immediately. Do not wait."
3,2026-06-24,Wednesday,Week 1,"Women's Health bundle — Lavender species page (cultivation zones 5-9; English vs. French varieties; distillation vs. fresh harvest; Women's Health traditional use note)",2.0,Women's Health,Pace gate cleared,0,"Target: 1,400 words. Lavender is the highest-recognition herb — content writes quickly."
4,2026-06-25,Thursday,Week 1,"Women's Health bundle — Bundle introduction (400 words); FTC disclaimer page; sourcing ethics sidebar; resource page; cross-reference page linking to Respiratory and Sleep bundles",2.5,Women's Health,All species pages drafted,2,"Bundle framework sections. 2-day float — can defer to June 26 without consequence."
4,2026-06-25,Thursday,Week 1,"Respiratory bundle — Elderberry species page start (cultivation; elderflower culinary use; Sambucol RCT framing; S. canadensis native distinction)",2.0,Respiratory,Women's Health Day 1-3 pace established,1,"Begin Respiratory track while Women's Health edits are pending. Target: 1,600-2,000 words for Elderberry."
5,2026-06-26,Friday,Week 1,"Women's Health self-edit pass — full bundle read-through; FTC language review; word count verification (target 5,200-6,000 words for 5 species); fix gaps",2.5,Women's Health,All Women's Health species pages complete,2,"Edit pass. 2-day float — can defer to June 27. Do not skip — FTC language review is non-negotiable before PDF export."
5,2026-06-26,Friday,Week 1,"Respiratory bundle — Echinacea species page (two-species story: E. purpurea vs. E. angustifolia; UpS At-Risk sidebar; conservation framing; immune support FTC note)",2.5,Respiratory,Elderberry Day 4 start,1,"The two-species angle is the differentiation. Write both species in one section. Target: 1,800-2,000 words."
