Date,Platform,Time_EST,Content_Type,Caption_Summary,Full_Caption_Source,Hashtag_Pack,Destination_Link,Image_File,Posting_Notes
2026-06-01,Instagram,10:00 AM,Educational - Single Image,"Real kitchen. Real guide. Harvest Preservation Handbook — 47 recipes for fermenting, canning, and drying your harvest.","phase-2-social-content-calendar-60day.md > June 1 IG","#foodpreservation #harvest #fermentation #canning #growyourown #homesteading #urbanfarming #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Single image — test engagement vs carousel
2026-06-01,TikTok,06:00 PM,Educational Video,"Companion planting combinations that actually work — and 2 that don't.","phase-2-social-content-calendar-60day.md > June 1 TT","#companionplanting #gardeningtips #vegetablegarden #organicgardening #growyourown #seedwarden #gardeningtok",Companion Planting Chart Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-slot4.jpg,Cross-post from IG Reel if filmed — upload natively to TikTok
2026-06-01,Pinterest,08:00 PM,Educational Carousel Pin,"Heirloom vs. hybrid vs. GMO seeds — explained in 3 slides.","phase-2-social-content-calendar-60day.md > June 1 Pin","#heirloomseeds #gardening #growyourown #seedsaving #organicgardening #sustainablegardening",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,3-image carousel pin
2026-06-02,Instagram,10:00 AM,Social Proof - Reel,"Honest answer to: what's different about buying a guide vs. just Googling this?","phase-2-social-content-calendar-60day.md > June 2 IG","#smallbusiness #etsyseller #digitaldownload #growyourown #seedwarden #heirloomseeds",Kit landing page,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Talking head or voiceover B-roll
2026-06-02,Pinterest,08:00 PM,Product Pin,"Zone Quick-Start Card — one page, your zone, what to plant right now. Free.","phase-2-social-content-calendar-60day.md > June 2 Pin","#zonegardening #gardeningcalendar #growyourown #plantingguide #seedwarden #gardening",Kit landing page,assets/zone-cards/zone-5-preview.png,Re-pin with fresh description — Pinterest allows fresh pins of same URL
2026-06-03,Instagram,10:00 AM,Educational - Carousel,"5 vegetables that do well in containers — and 2 that definitely don't. Save for your balcony garden.","phase-2-social-content-calendar-60day.md > June 3 IG","#containergardening #balconygarden #urbangardening #growyourown #apartmentgarden #seedwarden #gardeningtips",Container Growing Blueprint Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-b-slot4.jpg,5-slide carousel: one vegetable per slide
2026-06-03,TikTok,06:00 PM,Educational Video,"Container soil mixing — what I skip at the nursery every time.","phase-2-social-content-calendar-60day.md > June 3 TT","#containergardening #balconygarden #growyourown #gardeningtips #urbangardening #seedwarden #gardeningtok",Container Growing Blueprint Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-b-slot4.jpg,Match IG carousel topic
2026-06-04,Instagram,10:00 AM,Testimonial - Quote Card,"When a guide teaches you something a seed packet never would.","phase-2-social-content-calendar-60day.md > June 4 IG","#seedwarden #heirloomseeds #growyourown #etsyseller #smallbusiness #digitaldownload",Kit landing page,marketing/lifestyle-photos/etsy-ready/quote-card.jpg,Use real message if available; otherwise paraphrased sentiment
2026-06-04,Pinterest,08:00 PM,Educational Pin,"How to thin seedlings without killing your whole row.","phase-2-social-content-calendar-60day.md > June 4 Pin","#seedlings #gardeningtips #growyourown #springgardening #vegetablegarden #seedwarden",Zone Quick-Start Card Etsy listing,assets/zone-cards/zone-5-preview.png,Educational pin — drives saves; no product push
2026-06-05,Instagram,10:00 AM,Behind the Scenes - Story,"How Zone Quick-Start Cards were built: 6 data points per crop × 40 crops × 8 zones.","phase-2-social-content-calendar-60day.md > June 5 IG","#seedwarden #bts #etsyshop #growyourown #zonegardening",Kit landing page,assets/zone-cards/zone-5-preview.png,Story or Reel — show Canva design or research process
