Task ID,Task Name,Phase,Track,Start Date,End Date,Duration (days),Predecessor IDs,Float (days),Critical Path,Milestone,Revenue Gate,Notes
1,[DECISION] Sprint scope confirmed: Option A (all 5 bundles) or Option C (3-bundle priority),PRE-SPRINT,DECISION,2026-05-30,2026-05-30,0,—,0,YES,YES,All production blocked until confirmed,"Option C (WH + Respiratory + Sleep) recommended; 37–43 hrs vs 56–66 hrs for Option A"
2,[DECISION] Goldenseal path: live specimen (Path 1) or Wikimedia CC (Path 2),PRE-SPRINT,DECISION,2026-05-30,2026-05-30,0,1,0,YES,YES,Immunity bundle photography blocked,"Path 2 (Wikimedia CC) recommended; Path 1 order deadline June 8 if chosen"
3,[DECISION] Canva palette: confirm 6 Phase 3 hex codes or request alternatives by June 15,PRE-SPRINT,DESIGN,2026-05-30,2026-06-15,16,1,16,No,No,Cover design cannot finalize until confirmed,"Default palette auto-locks June 15 if no decision; Burgundy #8B3E3E / Sage #6B8E6F / Gold #D4AF37 / Cream #F9F5F0 / Lavender #9B8BA0 / Charcoal #2C2C2C"
4,[DECISION] Option C pre-authorization: approve automatic Option C activation at June 24 pace gate without mid-sprint approval,PRE-SPRINT,DECISION,2026-05-30,2026-05-30,0,1,0,YES,YES,Sprint continuity gate,"Pre-authorization prevents halt at June 24 pace gate; WH below 2500w EOD June 24 triggers automatic Option C"
5,Supplier inquiry: Strictly Medicinal Seeds — Black Cohosh 2-year seedling availability,PRE-SPRINT,SUPPLIER,2026-05-22,2026-05-22,1,1,2,No,No,No,info@strictlymedicinalseeds.com; confirm availability and lead time
6,Supplier inquiry: Prairie Moon Nursery — Goldenseal + Elderberry availability,PRE-SPRINT,SUPPLIER,2026-05-22,2026-05-22,1,1,2,No,No,No,Phone 866-417-8156 or info@prairiemoon.com; confirm cultivated Goldenseal stock for June delivery
7,Evaluate supplier responses: Goldenseal + Black Cohosh — confirm delivery window,PRE-SPRINT,SUPPLIER,2026-05-22,2026-05-25,3,"5,6",0,YES,No,No,"If neither confirms delivery by July 1: activate Path 2 immediately; log in WORKLOG.md"
8,Mountain Rose Herbs inquiry: confirm 12-species dried herb availability for 1 oz each,PRE-SPRINT,SUPPLIER,2026-05-23,2026-05-23,1,7,5,No,No,No,wholesale@mountainroseherbs.com; $80–120 total; confirm East Coast transit window
9,Pre-sprint bundle introductions: draft all 5 bundle introductions (400–500 words each),PRE-SPRINT,WRITE,2026-06-01,2026-06-05,5,1,10,No,No,No,"Eliminates blank-page delay on sprint Day 1 per bundle; all 5 = 2,000–2,500 words; 4–5 hours total"
10,Pre-sprint writing templates: confirm 3 template files ready in phase-3-production-templates/,PRE-SPRINT,WRITE,2026-06-01,2026-06-01,0,1,4,No,No,No,"Files: medicinal-bundle-outline-template.md, species-guide-template.md, practitioner-content-template.md"
11,Pre-sprint sources compilation: build master sources document (all 30+ sources across 5 bundles),PRE-SPRINT,WRITE,2026-06-01,2026-06-10,10,1,14,No,No,No,Per-bundle extraction from master takes 5 minutes each; one-time 1–2 hour investment
12,Photography Week 1: props acquisition + studio location confirmed,PRE-SPRINT,PHOTOGRAPHY,2026-05-26,2026-06-02,7,—,14,No,No,No,"Budget $60–100; kraft paper / mortar+pestle / glass jars / linen / wooden tray; north-facing window confirmed"
13,Photography Week 2: seedling + juvenile state photography (Calendula / Red Clover / Lemon Balm / Thyme / Lavender),PRE-SPRINT,PHOTOGRAPHY,2026-06-03,2026-06-09,7,12,10,No,No,No,"Seeds started May 26; shoot: seedling in tray / pot / leaf close-up; 2–3 hours; cull to 20–30 keepers at 2400×2400px"
14,Wikimedia CC attribution sourcing: download + log CC-BY-SA images for all 14 unique species,PRE-SPRINT,PHOTOGRAPHY,2026-06-01,2026-06-07,7,2,7,No,No,No,"Log in WORKLOG.md: species / source URL / license type / filename / date retrieved; zero-tolerance on unlicensed images"
15,[HARD DEADLINE] Goldenseal path finalized: order placed (Path 1) OR CC image set downloaded and logged (Path 2),PRE-SPRINT,SUPPLIER,2026-06-08,2026-06-08,0,"2,7",0,YES,No,Immunity bundle photography path blocked after this date,"Path 1: Prairie Moon order confirmation number logged; Path 2: Wikimedia CC-BY-SA images downloaded and attributed in WORKLOG.md"
16,[HARD DEADLINE] Black Cohosh order placed: Strictly Medicinal Seeds 2-year seedling ($25–35),PRE-SPRINT,SUPPLIER,2026-06-08,2026-06-08,0,7,0,YES,No,Women's Health photography path for live specimen,"If OOS at Strictly Medicinal: order Prairie Moon potted 3-pack by June 10; Wikimedia CC-BY-SA fallback confirmed"
