Row,Period,Phase,Track,Task,Start Date,End Date,Duration Days,Dependencies,Float Days,Critical Path,Resource Hours,Status,Notes
1,PRE-SPRINT,Pre-Sprint Decision,Decision,[DECISION GATE] Sprint scope: Option A (5 bundles / single writer) / Option B (5 bundles / 2 writers) / Option C (3-bundle priority — recommended),2026-05-21,2026-05-30,10,Phase 2 metrics confirmed,0,YES,1,PENDING,Must be resolved by May 30 before Phase 2 Track B launches. Blocks all downstream resource allocation. Option C recommended.
2,PRE-SPRINT,Pre-Sprint Decision,Decision,[DECISION GATE] Goldenseal path: order live specimen by June 8 OR confirm Wikimedia CC + botanical garden outreach (Path 2 recommended under Option C),2026-05-21,2026-05-30,10,Scope decision,0,YES,0.5,PENDING,Path 2 (Wikimedia CC): zero cost / zero schedule risk. If Path 1: must order by June 8 hard deadline. Under Option C Immunity launches July 20 — Path 2 is launch quality.
3,PRE-SPRINT,Pre-Sprint Decision,Design,[DECISION GATE] Palette finalization: confirm 6 Phase 3 hex codes by June 15 or default to production-ready codes,2026-05-21,2026-06-15,26,Scope decision,16,NO,0.5,PENDING,Default hex codes: Burgundy #8B3E3E / Sage #6B8E6F / Gold #D4AF37 / Cream #F9F5F0 / Lavender #9B8BA0 / Charcoal #2C2C2C. Revision after June 23 = 1.2 hrs rework per cover.
4,PRE-SPRINT,Pre-Sprint Admin,Admin,[PEER REVIEW BLOCKER] AHG directory outreach — 5-8 RH practitioners (Women's Health specialty filter) for peer review of Black Cohosh and Vitex sections,2026-06-08,2026-06-08,1,Scope decision confirmed,13,NO,1,PENDING,Response cycle 2-3 weeks. Must have written confirmation by June 21. Revenue ceiling risk if missed — practitioner-tier cold outreach will not convert without named reviewer on listing.
5,PRE-SPRINT,Pre-Sprint Photography,Photography,Props acquisition: kraft paper / mortar-pestle / glass jars / linen / wooden tray / white reflector 18x24 in,2026-06-03,2026-06-09,7,Budget confirmed ($60-100),12,NO,2,PENDING,14-day float. Budget $60-100. Can compress to 1 order day by June 8 without sprint impact.
6,PRE-SPRINT,Pre-Sprint Photography,Photography,Seedling photography: Calendula / Red Clover / Lemon Balm / Thyme / Lavender starts (seeds sown by May 26),2026-06-03,2026-06-09,7,Props acquired; seeds started,10,NO,4,PENDING,Annual seeds germinate in 2-4 weeks. 10-day float. Target 30-40 images; cull to 20-30 keepers.
7,PRE-SPRINT,Pre-Sprint Supplier,Supplier,[HARD DEADLINE] Goldenseal order OR Wikimedia CC path confirmed in WORKLOG.md — zero-float June 8 deadline,2026-06-08,2026-06-08,1,Goldenseal decision,0,YES,0.5,PENDING,Zero-float deadline. Prairie Moon rhizome $15-22 / Strictly Medicinal Seeds $12-18. If Path 2: email media@ncbg.unc.edu and media@mobot.org. Log in WORKLOG.md.
8,PRE-SPRINT,Pre-Sprint Supplier,Supplier,Black Cohosh order: Strictly Medicinal Seeds 2-year seedling — optimal order date May 25 for June 21-28 arrival within sprint Week 1,2026-05-25,2026-05-25,1,Scope confirmed,27,NO,0.5,PENDING,If ordered May 25: arrives June 21-28 within sprint. If ordered June 8 (latest): arrives July 13-20. iNaturalist CC-BY Appalachian range is automatic photo fallback.
9,PRE-SPRINT,Pre-Sprint Photography,Photography,Mature/flowering specimen photography: Black Cohosh + arriving Tier 1 plants (shoot within 3 days of arrival),2026-06-10,2026-06-16,7,Tier 1 plants arrived,5,NO,5,PENDING,5-day float. Most Tier 1 specimens arrive July 13-20 — CC fallback ready for sprint. iNaturalist CC-BY is automatic fallback for any species not yet arrived.
10,PRE-SPRINT,Pre-Sprint Supplier,Supplier,[HARD DEADLINE] Elderberry order placed: Prairie Moon bare-root $15-25 or local nursery potted backup,2026-06-15,2026-06-15,1,Goldenseal order complete,0,YES,0.5,PENDING,Zero-float deadline. Local nursery potted elderberry valid contingency (2-week lead; order by June 22 if Prairie Moon OOS). Expected arrival July 13-20.
11,PRE-SPRINT,Pre-Sprint Supplier,Supplier,Mountain Rose Herbs dried herbs ordered: all 13 species 1 oz each ($93-141); request Goldenseal cultivated Certificate of Analysis,2026-06-15,2026-06-15,1,Budget confirmed,5,NO,0.5,PENDING,Frontier Co-op emergency backup (3-5 business day ship). Must arrive by June 17 for studio session. Enables dried herb studio session June 17-21.
12,PRE-SPRINT,Pre-Sprint Design,Design,[PALETTE DECISION DEADLINE] Confirm or approve 6 hex codes for Phase 3 Medicinal palette — auto-lock if no decision,2026-06-15,2026-06-15,1,Palette decision,6,NO,0.25,PENDING,6-day float before June 21 brand kit load. If undecided: default to production-ready hex codes. No further action required unless revision desired.
13,PRE-SPRINT,Pre-Sprint Admin,Admin,[PEER REVIEW BLOCKER] AHG outreach follow-up wave — non-response contacts + expand to UpS practitioner network,2026-06-15,2026-06-15,1,June 8 outreach sent,6,NO,0.5,PENDING,6 days before sprint. If no reviewer secured by June 20: begin sprint June 22 as planned but delay AHG chapter newsletter outreach until secured.
14,PRE-SPRINT,Pre-Sprint Photography,Photography,Dried herb studio session: mortar/pestle staging / glass jars / flat-lay by bundle theme — north-facing window 9am-2pm,2026-06-17,2026-06-21,5,Mountain Rose Herbs delivered,1,NO,3,PENDING,Bundle backgrounds: linen (WH) / white+elderberry (Resp) / dark wood (Imm) / grey muslin (Sleep) / kraft paper (Dgt). 100-150 raw images; cull to 50-60 keepers.
15,PRE-SPRINT,Pre-Sprint Photography,Photography,Photo editing: cull to 50-60 keepers; warm preset (+0.2 exp / -20 highlights / +15 shadows); export 2400x2400px; create PHOTO_MANIFEST.csv,2026-06-19,2026-06-21,3,Studio session complete,1,NO,3,PENDING,Target: 8-12 studio images per bundle (40-60 total) + 3-5 hero/cover candidates per bundle (15-25 usable).
16,PRE-SPRINT,Pre-Sprint Admin,Admin,[GATE CHECK] Confirm forager cohort >20% and native plants conversion >1.5% — if both drop below: hold sprint start until July 1 re-check,2026-06-20,2026-06-20,1,Phase 2 analytics confirmed,2,YES,0.25,PENDING,Current: forager cohort 21.3% (+1.3 pp buffer) / native plants 2.24% (+0.74 pp buffer). Fallback B (both gates missed): hold writing sprint to July 1 gate re-check. Zero production cost to continue pre-sprint prep regardless.
17,PRE-SPRINT,Pre-Sprint Admin,Admin,[ZERO FLOAT] Attribution logging: all Wikimedia CC + iNaturalist sources for all pre-sprint images logged in WORKLOG.md,2026-06-21,2026-06-21,1,Photo editing complete,0,YES,1,PENDING,Must complete before sprint Day 1. Log format: species / source URL / CC license type / filename. Zero tolerance on unlicensed images in published guides.
18,PRE-SPRINT,Pre-Sprint Design,Design,[ZERO FLOAT] Canva brand kit: load Phase 3 Medicinal palette (6 hex codes) + pre-test one zone card export,2026-06-21,2026-06-21,1,Palette confirmed,0,YES,0.25,PENDING,15-minute action. Additive to existing brand kit — no rebuild required. Must run before June 22. Confirms hex codes render correctly in Canva output.
19,PRE-SPRINT,Pre-Sprint Admin,Admin,[PEER REVIEW BLOCKER] AHG peer reviewer written confirmation must be in hand before sprint Day 1,2026-06-21,2026-06-21,1,June 8 + June 15 outreach sent,0,YES,0,PENDING,Revenue ceiling risk if missed. Embed reviewer name in Etsy listing description for Women's Health before June 29 upload. Required text: Reviewed by [Name] RH (AHG) [specialty] for botanical nomenclature and contraindication accuracy.
20,WEEK 1,Sprint Week 1,Writing — Women's Health,D1: WH front matter + introduction + Black Cohosh (700w — identification / 150w conservation sidebar / cultivation / harvest / active constituents / contraindications),2026-06-22,2026-06-22,1,Brand kit loaded; outlines reviewed; attribution log complete,1,YES,5,PENDING,Conservation sidebar (150w) and Cherokee traditional use framing require accuracy. Tier 3 plant orders placed same day. Contraindication block mandatory per Session 1438 standards.
21,WEEK 1,Sprint Week 1,Writing — Women's Health,D2: WH Vitex complete (600w — invasive note TN/NC / berry harvest timing / dopaminergic framing / pregnancy contraindication MANDATORY) + Red Clover complete (400w — isoflavone framing / edibility note),2026-06-23,2026-06-23,1,WH Day 1 complete,1,YES,5,PENDING,Vitex invasive watch list (TN/NC) note is mandatory. Red Clover phytoestrogenic isoflavone framing per FTC quick reference. Pregnancy contraindication cannot be deferred to v1.1.
22,WEEK 1,Sprint Week 1,Design — Women's Health,WH cover design: Black Cohosh or Calendula hero / Deep Burgundy #8B3E3E / existing template — parallel to D2 writing,2026-06-23,2026-06-23,1,WH Day 1 complete; hero photo pre-staged,4,NO,1.2,PENDING,4-day float. Lowest revision risk — wide CC-licensed Black Cohosh and Calendula selection. Pre-stage 3-5 hero candidates before starting cover session.
23,WEEK 1,Sprint Week 1,Photography — Studio,Sprint studio session 1: Calendula + Red Clover seedlings (flat-lay on linen / seedling in pot / leaf close-up),2026-06-23,2026-06-23,1,Dried herbs available,2,NO,2,PENDING,Photography is secondary to writing. Compress or skip if writing behind pace. 2-hour session.
24,WEEK 1,Sprint Week 1,Writing — Women's Health,[ZERO FLOAT — PACE GATE] D3: WH Calendula (400w) + Lavender (400w — 3 cultivars: Hidcote / Munstead / Phenomenal) + preparation methods + practitioner context + WH self-edit pass,2026-06-24,2026-06-24,1,WH Day 2 complete,0,YES,5,PENDING,ZERO FLOAT. PACE SELF-TEST EOD: if WH below 2500w activate Option C immediately. WH must be complete by June 28 EOD for June 29 upload. This is the binding pace decision point.
25,WEEK 1,Sprint Week 1,Design — Respiratory,Resp cover design: Elderberry berry cluster hero / Sage Green #6B8E6F / existing template — parallel to D3 writing,2026-06-24,2026-06-24,1,WH Day 2 complete; hero photo pre-staged,4,NO,1.2,PENDING,Lowest cover revision risk — widest CC-licensed elderberry selection of any Phase 3 species. 4-day float.
