Organization,Category,Contact Email / Webform,Contact Role,Wave Assignment,Send Date,Domain 42 Relevance Score (1-9),Tier,Domain 42 Entry Point,Specific Ask,Personalization Notes,Yes/No/Maybe Status,Notes
Drug Policy Alliance,Drug Policy (A),press@drugpolicy.org / info@drugpolicy.org,Communications / Policy staff,Wave 1,Day 0 — Phase 1 Gist launch,9,Tier 1,"Section 2 (DEA regulatory capture) + Section 6.1 (APA procedural reform)","File participation notice for June 29 hearing before May 24 electronic deadline; cite democratic exclusion architecture framing in notice","Add resubmission note: 2024 participation notices were voided when proceedings were withdrawn; DPA must file fresh notice for DEA-1362; include corrected deadline language (May 24 electronic); note DPA's analysis of 43,000 public comments in 2023 rescheduling period shows command of the docket",,[Blank until response received]
NORML,Drug Policy (A),norml@norml.org,Legal committee / Executive Director,Wave 1,Day 0 — Phase 1 Gist launch,9,Tier 1,"Section 2 (regulatory capture) + Section 2.3 (Mason Marks Yale Law Journal cite — Separation of Drug Scheduling Powers)","File new participation notice — 2024 filings are voided; Domain 42 Section 2 framing strengthens NORML's existing regulatory capture argument","Add resubmission note; NORML deputy director has publicly criticized DEA selection bias — frame Domain 42 as analytical support for an argument NORML is already making, reducing activation cost to near zero; if NORML was excluded in 2024 their exclusion is itself evidence for Section 2",,[Blank until response received]
ACLU Criminal Law Reform Project,Civil Rights (B),"nationaloffice@aclu.org (route to Criminal Law Reform Project); check aclu.org/about for current staff",Criminal Law Reform Director,Wave 1,Day 0 — Phase 1 Gist launch,8,Tier 1,"Section 3 (felony disenfranchisement feedback loop) + Weill Cornell data (Meinhofer et al. May 1 2026)","File participation notice focused on democratic participation and disenfranchisement dimensions — this framing is absent from the anticipated participant pool","Use Template D42-B; lead with Section 3 not Section 2; the ACLU filing on disenfranchisement grounds introduces the only argument connecting DEA scheduling to voting rights in the formal record; 1.7M member network for downstream amplification; flag that this dimension is analytically distinct from what pharmaceutical companies and prohibitionist groups will file",,[Blank until response received]
The Sentencing Project,Civil Rights (B),staff@sentencingproject.org,Research Director / Policy staff,Wave 1,Day 0 — Phase 1 Gist launch,7,Tier 1,"Section 3.2 (cites their own data: Locked Out 2022 and Voting Rights in the Era of Mass Incarceration)","File participation notice; separately consider whether research team wants to publish on Domain 42 democratic feedback loop extension before June 29","Use Template D42-B; lowest cold-briefing friction of any contact — Domain 42 cites their own data; lead with this: they are receiving a document that extends their existing research; specific ask is bounded and concrete; offer to connect them with ACLU contact if coordination is useful",,[Blank until response received]
Law Enforcement Action Partnership (LEAP),Drug Policy (A),info@leap.cc,Executive Director / Communications,Wave 1,Day 0 — Phase 1 Gist launch,7,Tier 1B,"Section 2.4 (four scenario framework — all four retain democratic legitimacy failure) + Section 3 (felony disenfranchisement)","File short participation notice before May 24; if cannot file independently can they refer Domain 42 to NORML or DPA federal policy contacts","Use Template D42-A; LEAP's law enforcement voice is unusually credible in DEA proceedings — their participation carries institutional weight the DEA cannot as easily dismiss; smaller org with limited policy staff capacity so frame the filing ask as low-burden (a short participation notice not full testimony); send separate follow-up by May 12 if no response",,[Blank until response received]
NAACP Legal Defense Fund,Civil Rights (B),"naacpldf.org/contact (webform); check naacpldf.org/about-us/staff for current Policy and Advocacy team contact",Policy and Advocacy team,Wave 2,Day 1–2 (May 10 — do not let slip past May 10),7,Tier 2,"Section 3.2 (4.5% of Black voting-eligible adults disenfranchised for felony convictions) + Section 3.3 (NYC 11x felony drug arrest disparity in 2023)","Does LDF have capacity to file a participation notice focused on democratic participation and disenfranchisement dimensions?","Use Template D42-B; frame entirely as a voting rights and democratic participation issue — do not lead with drug policy or scheduling; LDF's internal approval processes for new federal proceedings take 7–10 business days; May 10 send gives 14 calendar days to May 24 — minimum functional window; if ACLU is reviewing by May 10 mention this explicitly as coalition signal",,[Blank until response received]
Marijuana Policy Project (MPP),Drug Policy (A),"mpp@mpp.org; webform: mpp.org/about/contact",Policy team,Wave 2,Day 1–2 (May 10–11),6,Tier 2,"Section 4 (SAFER Banking and 280E analysis) + Section 4.2 (eight-introduction-cycle failure)","Forward to MPP federal policy director; note May 24 electronic deadline explicitly","Use Template D42-A; MPP is primarily a state-level organization; federal hearing participation is possible but not their primary lane; primary value is as referral node to their federal policy contacts and congressional allies working on SAFER Banking; note May 24 deadline in subject line",,[Blank until response received]
Students for Sensible Drug Policy (SSDP),Drug Policy (A),"ssdp@ssdp.org; webform: ssdp.org/contact",Executive Director / National Office,Wave 2,Day 1–2 (May 10–11),5,Tier 2 (amplifier),"Section 3 (felony disenfranchisement — student population most affected by campus-adjacent enforcement)","Share Domain 42 through chapter network; if they have working relationships with DPA or NORML federal policy staff ask for an introduction","Use Template D42-A; primary role is amplifier and referral node not direct filer; 200+ campus chapters; even without filing SSDP sharing Domain 42 generates downstream contacts who may engage DPA or NORML; ask explicitly if they can forward to chapter leaders who are engaged with federal drug policy",,[Blank until response received]
Mason Marks — Florida State University,Academic (C),"mason.marks@fsu.edu — VERIFY current institutional email before sending; he may have moved from Yale Law",Law professor / regulatory law expert,Wave 2,Day 1–2 (May 10),6,Tier 2 (academic),"Section 2.3 (cites his Yale Law Journal Separation of Drug Scheduling Powers and February 2026 Regulatory Review piece Who Is Really in Charge of Drug Scheduling?)","Methodological feedback on whether Domain 42 regulatory capture analysis extends his Yale Law Journal argument correctly; if planning to testify Domain 42 democratic exclusion framing may complement his statutory analysis","Use Template D42-C; methodological peer outreach not advocacy; lead with academic framing; cite his specific work; ask two precise methodological questions (does the regulatory capture argument hold as administrative law? Is there an APA-based procedural challenge available?); verify current institutional email against Yale Law School directory before sending",,[Blank until response received]
Prison Policy Initiative,Civil Rights (B),"info@prisonpolicy.org; webform: prisonpolicy.org/contact",Research team,Wave 2,Day 1–2 (May 10–11),5,Tier 2 (amplifier),"Section 3.2 (cites PPI felony disenfranchisement research) + Section 3.4 (PPI Winnable Criminal Justice Reforms 2026 cited)","Forward to PPI research team; are they planning to publish on DEA-1362 hearing? Would they consider citing Domain 42 Section 3 in any analysis?","Use Template D42-B; Domain 42 already cites their data — frame as: your research is already in this domain analysis; PPI publishing on DEA-1362 using Domain 42 Section 3 framing is a success metric even without direct filing; research amplification value exceeds direct filing value for this contact",,[Blank until response received]
