Component Type,Tier,Vendor,URL / Platform,Price (per unit),MOQ,Lead Time,Tariff Risk,AMS Compatibility,Notes
PLA+ Filament (1.75mm),Primary,eSUN PLA+ Pro,Amazon,~$12–13/kg (10-pack); ~$15–18/kg (single),1 spool (1 kg),1–2 days Prime,High — Chinese-origin; +10–20% since Q4 2025,Confirmed — industry standard,"Most consistent color availability; Subscribe & Save for auto-delivery; recommended launch primary"
PLA+ Filament (1.75mm),Secondary,Overture PLA+,Amazon,"~$11–14/kg single; <$11/kg in 10-pack bundle",1 spool (1 kg),1–2 days Prime,High — Chinese-origin,Confirmed,"Cardboard spool; ±0.02mm tolerance; 4-pack bundles often in stock when individual spools are not; emergency same-day reorder"
PLA+ Filament (1.75mm),Tertiary / Tariff Hedge,Polymaker Panchroma PLA (wholesale),us-wholesale.polymaker.com,$14.99/kg wholesale (up to 45% off MSRP),$1,000 minimum (~67 kg),Next-day from Texas,Low — manufactured in USA,"Print Farm Tested for Bambu, Prusa, Creality","Batch-to-batch color consistency guaranteed; activate at 25+ kg/month (~330 units/month); free shipping over $3,000"
PLA+ Filament (1.75mm),Quality Premium,Hatchbox PLA,Amazon,~$25–28/kg (1 kg spool),1 spool,1–2 days Prime,Medium — origin unclear; Amazon-stocked,Confirmed,"4.7 stars / 40,954 reviews — highest customer trust on Amazon; use for headphone hooks where surface quality is most visible"
PLA+ Filament (1.75mm),Domestic Fallback,Polar Filament,polarfilament.com,~$18.99/kg; free shipping 3+ spools,1 spool,3–5 days standard,None — Michigan domestic; NatureWorks Nebraska PLA pellets,Confirm via test spool,"Fully tariff-immune; best choice if Chinese prices spike 30%+; slightly higher price than wholesale Polymaker"
PLA+ Filament (1.75mm),Domestic Alternative,MatterHackers MH Build Series PLA,matterhackers.com,$19–23/kg (Build Series); $24+/kg (PRO NatureWorks),1 spool; no MOQ,2–4 days; some colors June ETA,None — US-based supplier,Confirmed,"PRO Series uses NatureWorks 4043D Ingeo — best US-made option for dimensional accuracy; check in-stock before ordering"
Nozzle 0.4mm (hardened brass),Primary,Bambu Lab Official Store,us.store.bambulab.com,$3–5/unit; complete hotend assembly also available,1 unit,3–7 days (not Prime),"Low — OEM parts; not commodity import","n/a","Wear interval: 600–800 hr; replace proactively. Stock 6/printer minimum"
Nozzle 0.4mm (hardened brass),Secondary,Amazon (Bambu P1S-compatible),Amazon (search 'Bambu P1S nozzle 0.4mm'),$8–15 for 2-pack or 5-pack compatible,1 pack (2–5 units),1–2 days Prime,Low — Amazon-stocked,Confirm: check listing explicitly says P1S compatible,"Emergency fill only; verify fit with 1-unit test before production run; replace with OEM at next opportunity"
Nozzle 0.4mm (hardened brass),Secondary Alt,3D Universe Bambu Parts,shop3duniverse.com,Comparable to official store,1 unit,2–5 days,Low,"n/a","Reliable third-party; often has stock when official Bambu store is out"
Build Plate PEI (256x256mm textured),Primary,Bambu Lab Official Store (Textured PEI),us.store.bambulab.com,$20–35/plate,1 plate,3–7 days (not Prime),Low — OEM,"n/a","Textured both sides; PEI coating good for PLA, PETG, TPU, ABS. Durability: 9–12 months at production"
