species_common,species_scientific,conservation_status,guide_launch_date,vendor,vendor_url,vendor_phone,vendor_email,product_description,quantity,unit_cost_low,unit_cost_high,shipping_method,shipping_cost_est,order_deadline,expected_arrival,order_placed_date,order_confirmation_num,actual_arrival_date,condition_on_arrival,acclimatization_hours_needed,photo_session_date,prop_usable,notes
American Ginseng,Panax quinquefolius,CITES Appendix II (roots/whole plants; seeds exempt),2026-05-30,Mountain Rose Herbs,mountainroseherbs.com,,orders@mountainroseherbs.com,Dried whole root 1 oz,1 oz,$14,$22,USPS Priority,$8-12,2026-05-12,2026-05-13 to 2026-05-14,,,,,,2026-05-14,,Order ASAP. Fastest path for dried root prop. Year-round stock. Price verify at mountainroseherbs.com before ordering.
Goldenseal,Hydrastis canadensis,CITES Appendix II; state endangered CT/GA/ME/MA/MN/NJ/NC,2026-05-30,Mountain Rose Herbs,mountainroseherbs.com,,orders@mountainroseherbs.com,Dried root 1 oz — photograph cross-section misted within 5 min,1 oz,$15,$25,USPS Priority,$8-12,2026-05-12,2026-05-13 to 2026-05-14,,,,,,2026-05-14,,Photograph cross-section within 5 min of misting — yellow color oxidizes quickly
Goldenseal (seeds),Hydrastis canadensis,CITES Appendix II,2026-05-30,Strictly Medicinal Seeds,strictlymedicinalseeds.com,,info@strictlymedicinalseeds.com,Goldenseal seeds 20-pack — for flat-lay prop,1 packet,$20,$20,USPS Priority,$5-10,2026-05-12,2026-05-19 to 2026-05-22,,,,,,2026-05-20,,Add "ship ASAP — photography deadline May 20" in order notes. Seeds supplementary to dried root — not critical if delayed
Black Cohosh,Actaea racemosa,UpS At-Risk; MA state endangered,2026-05-30,Strictly Medicinal Seeds,strictlymedicinalseeds.com,,info@strictlymedicinalseeds.com,Live potted plant — ships March through July,1 pot,$8,$12,USPS Priority,$5-10,2026-05-12,2026-05-19 to 2026-05-22,,,,,,2026-05-21,48 hours,2026-05-21,,Must arrive by May 19 for 48-hour acclimatization before shooting. If arrives after May 20: use iNaturalist CC-BY fallback for all photos
Ramps / Wild Leek,Allium tricoccum,QC threatened (commercial harvest banned); NY var. burdickii endangered,2026-05-30,Prairie Moon Nursery,prairiemoon.com,866-417-8156,info@prairiemoon.com,Ramps bulblets spring stock — call to confirm availability before ordering,1 packet,$8,$15,USPS Priority,$5-10,2026-05-13,2026-05-20 to 2026-05-24,,,,,,2026-05-19,,CALL FIRST before placing online order — spring stock may be exhausted. Fresh leaves from farmers market are the primary prop regardless
Ramps — fresh leaves,Allium tricoccum,QC threatened,2026-05-30,Local farmers market,N/A,N/A,N/A,Fresh ramp leaves — purchase day before or day of shoot,1 bunch,$3,$8,Same-day purchase,none,2026-05-17 to 2026-05-18,2026-05-17 or 2026-05-18,,,,,,2026-05-19,0 hours,2026-05-19,,Leaves hold 48 hours refrigerated in damp paper towel. Buy no earlier than May 17. Mist just before photographing.
Wild Bergamot,Monarda fistulosa,Regional special concern (shortgrass prairie / NE habitats),2026-05-30,Local garden center (Home Depot / Lowe's / independent),N/A,N/A,N/A,Potted plant 4-6 inch — ask for straight species not cultivar,1 pot,$4,$8,Same-day purchase,none,2026-05-12,2026-05-12 (same day),,,,,,2026-05-12,0 hours,2026-05-12 or 2026-05-19,,Zero lead time. Note cultivar name if straight species unavailable (cultivar acceptable as habit prop). If any buds present: delay flower head closeup 3-5 days until open
Bloodroot,Sanguinaria canadensis,UpS At-Risk; NY Exploitably Vulnerable; RI Special Concern,2026-06-08,Prairie Moon Nursery,prairiemoon.com,866-417-8156,info@prairiemoon.com,Rhizome / bare root — spring stock narrow window,1 rhizome,$0,$15,USPS Priority,$5-10,2026-05-13,2026-05-20 to 2026-05-24,,,,,,TBD,,June follow-on guide. If Prairie Moon spring rhizome stock is exhausted: guide proceeds on iNaturalist CC-BY and BHL illustration only — $0 procurement cost. Low budget priority relative to Core Four.
Trillium (Great White),Trillium grandiflorum,UpS Critical (genus); protected in MN; two congeners federally endangered,2026-06-08,Prairie Moon Nursery,prairiemoon.com,866-417-8156,info@prairiemoon.com,Bare root division — T. grandiflorum or T. erectum (legal cultivated spp.),1 plant/pack,$8,$20,USPS Priority,$5-10,2026-05-13,2026-05-20 to 2026-05-24,,,,,,TBD,,June follow-on guide. DO NOT source T. persistens or T. reliquum (federally endangered). Only grandiflorum / erectum / luteum / sessile are appropriate.
Lady's Slipper Orchid,Cypripedium spp.,UpS Critical; state-protected nearly all states; wild collection illegal,2026-06-15,Hillside Nursery (photo licensing only),hillsidenursery.biz,N/A,hillsidenursery.biz contact form,Photo licensing request — no physical specimen,N/A,$0,$0,N/A,none,2026-05-12 (email sent),N/A (2-4 week response),,,,,,TBD,,No physical specimen order — cost-prohibitive ($35-85 per tissue-culture plant). Entirely institutional photo licensing path. June follow-on guide. If Hillside Nursery does not respond by May 30: use best available iNaturalist CC-BY frames.
