Species,Bundle(s),Tier,Primary Supplier,Backup Supplier,Form,Lead Time (weeks),Photo Volume Cost ($),1 oz Dried Retail ($),1 lb Dried Retail ($),Wholesale 100+ units ($),MOQ,Payment Terms,Organic?,June 21 Delivery?,Order-By Deadline,Status,Date Ordered,Tracking Number,Est. Delivery,Photo Path,Notes
Goldenseal (Hydrastis canadensis),Immunity,1,Prairie Moon Nursery / Strictly Medicinal Seeds,NC Botanical Garden (photo license),Rhizome division (cultivated),5-6,35-50,20-28,180-250,140-200/lb,1 division min,Prepay,YES,No — arrives July 13-20,June 8 — ZERO FLOAT,PENDING,[FILL],[FILL],[FILL],"Path 1 (live order) or Path 2 (Wikimedia CC — free, zero schedule risk)","CRITICAL: June 8 hard deadline. Contact Prairie Moon AND Strictly Medicinal by June 1. If neither confirms July 13 delivery by June 5, activate Path 2 immediately."
Black Cohosh (Actaea racemosa),Women's Health,1,Strictly Medicinal Seeds,Prairie Moon Nursery,2-year nursery transplant,5-6,25-35,8-12,75-110,60-90/lb,1 plant min,Prepay,YES,Feasible if ordered May 25,June 8,PENDING,[FILL],[FILL],[FILL],Live specimen / iNaturalist CC-BY (Appalachian populations abundant),"UpS At-Risk. Order ONLY nursery-propagated stock. Verify cultivated language on product page before ordering."
Elderberry (Sambucus nigra),Respiratory + Immunity,2,Prairie Moon Nursery,Local nursery (potted),Bare-root 2-year shrub,4,30-45,5-8,45-70,36-56/lb,1 plant min,Prepay,YES,Feasible if ordered June 15,June 15,PENDING,[FILL],[FILL],[FILL],Live specimen / Wikimedia CC-BY-SA (excellent coverage),"Bare-root must be potted on arrival. Allow 2-3 day acclimation before photography."
Dried herbs — all 13 species (1 oz each),All 5 bundles,2,Mountain Rose Herbs,Frontier Co-op,Dried cut/sifted (1 oz per species),0.5-1 (ship only),80-120 total retail,See per-species rows,—,—,No minimum (retail),Prepay (retail); Net 30 (wholesale),YES (most),YES — if ordered June 15,June 15,PENDING,[FILL],[FILL],[FILL],N/A — dried props for photography only,"Order by June 13 to confirm June 17-18 delivery. If not shipped by June 13: order Frontier Co-op same day."
Echinacea purpurea,Respiratory + Immunity,3,Strictly Medicinal Seeds / Prairie Moon,Local native plant nursery,Transplant,2-3,12-21 (2 plants),6-9,55-80,44-64/lb,1 plant min,Prepay,YES,YES,June 22,PENDING,[FILL],[FILL],[FILL],iNaturalist CC-BY — most documented native medicinal herb,"No urgency — photo fallback excellent."
Echinacea angustifolia,Respiratory + Immunity,3,Strictly Medicinal Seeds,Prairie Moon Nursery,Seed or plug,2-3,8-15 (2 plants),12-16,110-145,88-116/lb,1 plant min,Prepay,YES,YES,June 22,PENDING,[FILL],[FILL],[FILL],iNaturalist CC-BY — prairie range populations,"UpS At-Risk — confirm cultivated source only."
Ashwagandha (Withania somnifera),Immunity,3,Strictly Medicinal Seeds,Baker Creek Heirloom Seeds,Seed or started plant,2-3,10-16 (2 plants),7-10,60-90,48-72/lb,1 plant min,Prepay,YES,YES,June 22,PENDING,[FILL],[FILL],[FILL],iNaturalist CC-BY (India-range or US cultivation),"Annual in most US zones."
Passionflower (Passiflora incarnata),Sleep,3,Prairie Moon Nursery / Strictly Medicinal,Local native plant nursery,Transplant,3-4,16-24 (2 plants),6-8,55-75,44-60/lb,1 plant min,Prepay,YES,YES,June 22,PENDING,[FILL],[FILL],[FILL],iNaturalist CC-BY — SE US populations abundant,"Passionflower flower is the Sleep bundle cover anchor. Prioritize getting this photo."
Valerian (Valeriana officinalis),Sleep,3,Prairie Moon Nursery / Strictly Medicinal,Local herb nursery,Transplant,2-3,12-18 (2 plants),6-9,55-80,44-64/lb,1 plant min,Prepay,YES,YES,June 22,PENDING,[FILL],[FILL],[FILL],iNaturalist CC-BY — NE US populations,""
Ginger (Zingiber officinale),Digestive,3,Strictly Medicinal Seeds / grocery store,Farmers market,Fresh rhizome,0-3 (grocery: same day),4-12 (2 rhizomes),5-7,45-65,36-52/lb,No minimum,Prepay,YES,YES,June 22,PENDING,[FILL],[FILL],[FILL],Fresh rhizome — no photo fallback needed,"Grocery store rhizome is sufficient for photography. No need for specialty supplier."
Vitex (Vitex agnus-castus),Women's Health,3,Local landscape nursery,Prairie Moon Nursery,Container start,2-3 (local),12-25 (1 plant),—,—,—,1 plant,Prepay,NO (landscape nursery),YES,June 22,PENDING,[FILL],[FILL],[FILL],Wikimedia CC-BY-SA — widely cultivated ornamental,"Regional invasive watch (TN and NC). Note this in guide content."
Red Clover (Trifolium pratense),Women's Health,Photo-only,N/A — Wikimedia Commons,N/A,N/A,N/A,0,5-7 (if dried needed),—,—,No order,N/A,N/A,N/A,No order needed,CLEARED,—,—,—,Wikimedia CC-BY-SA / iNaturalist CC-BY,"Wild populations everywhere. Abundant photo coverage."
Mullein (Verbascum thapsus),Respiratory,Photo-only,N/A — Wikimedia Commons,N/A,N/A,N/A,0,4-6 (if dried needed),—,—,No order,N/A,N/A,N/A,No order needed,CLEARED,—,—,—,Wikimedia CC-BY-SA + iNaturalist CC-BY,"Exceptional 6-ft flower spike images available. No purchase needed."
Thyme (Thymus vulgaris),Respiratory,Photo-only,N/A — Wikimedia Commons,N/A,N/A,N/A,0,5-7 (if dried needed),—,—,No order,N/A,N/A,N/A,No order needed,CLEARED,—,—,—,Wikimedia CC-BY-SA / iNaturalist CC-BY,""
Lemon Balm (Melissa officinalis),Sleep + Digestive,Photo-only,N/A — Wikimedia Commons,N/A,N/A,N/A,0,5-7 (if dried needed),—,—,No order,N/A,N/A,N/A,No order needed,CLEARED,—,—,—,Wikimedia CC-BY-SA — abundant coverage,"Dried herb included in Mountain Rose Herbs order (see Tier 2)."
Lavender (Lavandula angustifolia),Women's Health + Sleep,Photo-only,N/A — Wikimedia Commons,N/A,N/A,N/A,0,5-8 (if dried needed),—,—,No order,N/A,N/A,N/A,No order needed,CLEARED,—,—,—,Wikimedia CC-BY-SA + Unsplash CC0 — best-documented medicinal herb on Wikimedia,"Dried herb included in Mountain Rose Herbs order."
Calendula (Calendula officinalis),Women's Health + Digestive,Photo-only,N/A — Wikimedia Commons,N/A,N/A,N/A,0,8-12 (if dried needed),—,—,No order,N/A,N/A,N/A,No order needed,CLEARED,—,—,—,Wikimedia CC-BY-SA — excellent orange flower coverage,"Dried herb included in Mountain Rose Herbs order."
Dandelion (Taraxacum officinale),Digestive,Photo-only,N/A — Phase 2 wild-edibles archive,N/A,N/A,N/A,0,5-7 (if dried needed),—,—,No order,N/A,N/A,N/A,No order needed,CLEARED,—,—,—,Phase 2 wild-edibles archive (owned original photos),"Wild populations everywhere. Root cross-section: photograph fresh-dug specimen."
