domain_pair,domain_a,domain_b,can_parallelize,dependency_type,parallelization_score,notes
D48/D49_Callais,Domain 48 (Criminal Justice),Domain 49 Callais (VRA Redistricting),yes,none,9,"No data dependency. Both complete. Shared audiences (NAACP LDF, Campaign Legal Center) benefit from receiving both, but neither domain's research requires the other. Distribute 3-5 days apart to allow response window between sends to shared contacts."
D48/D50_Healthcare,Domain 48 (Criminal Justice),Domain 50 (Healthcare/NVRA Medicaid),yes,none,8,"No data dependency. Domain 48's criminal justice civic exclusion framing is analytically distinct from Domain 50's NVRA-Medicaid pathway. Both complete. Shared audience: state AG civil rights divisions. Send 3-5 days apart."
D48/D51,Domain 48 (Criminal Justice),Domain 51 (Campaign Finance),yes,output-feed,7,"Domain 48 cross-references Domain 51 (dark money insulates prosecutor races). Research is complete for both. Preferred sequence: Domain 48 before Domain 51 for shared contacts who should understand the feedback loop, but this is messaging optimization not a hard dependency. Full parallelization is feasible."
D48/D56,Domain 48 (Criminal Justice),Domain 56 (Civil Service),yes,none,9,"No dependency. Different primary audiences (criminal justice reform vs. civil service policy). Both complete and can distribute simultaneously."
D48/D57,Domain 48 (Criminal Justice),Domain 57 (Multilateral Withdrawal),yes,none,8,"No dependency. Different primary audiences entirely. Criminal justice contacts do not overlap with international law/foreign policy contacts."
D48/D58,Domain 48 (Criminal Justice),Domain 58 (Tribal Sovereignty),yes,none,7,"No data dependency. Some audience overlap (NAACP LDF receives both; voting rights cluster July 15 send includes D58+D49+D1). Virginia felony disenfranchisement and tribal voting rights both belong in same August voting rights distribution wave. Can parallelize."
D48/D59,Domain 48 (Criminal Justice),Domain 59 (Economic Precarity),yes,none,9,"No data dependency. Both address civic exclusion from different angles — criminal justice contact vs. economic precarity. Shared audiences: labor unions, voting rights organizations. Both complete. High parallelization value: paired framing is stronger than either alone for GOTV-adjacent organizations."
D48/D49_EJ,Domain 48 (Criminal Justice),Domain 49-EJ (Environmental Justice),no,scheduling,4,"Domain 49-EJ not yet researched (July 1 activation). Domain 48 is complete and distributes August 1-15. By the time Domain 49-EJ is ready (August-September), Domain 48 will be in post-distribution monitoring. No direct dependency, but cannot actually run parallel because Domain 49-EJ research has not started."
D48/D50_LGBTQ,Domain 48 (Criminal Justice),Domain 50 LGBTQ (Anti-trans ballot measures),yes,none,8,"No data dependency. Domain 50 (LGBTQ+) research begins July 1; Domain 48 distributes August 1-15. Research phases do not conflict. Audiences overlap minimally (some state AG civil rights offices). High parallelization score because both are independent research/distribution tracks."
D49_Callais/D50_Healthcare,Domain 49 Callais (VRA),Domain 50 (Healthcare/NVRA Medicaid),yes,output-feed,8,"Domain 49 (Callais) documents the redistricting cascade that Domain 50's NVRA enforcement argument contextualizes. For litigation contacts, sequence Domain 49 before Domain 50 — understanding the redistricting stakes strengthens the NVRA argument. Fully parallelizable for different audience segments."
