Vendor Name,Plant Species,Purpose,Lead Time (days),Price Per Packet,Seeds/Packet,MOQ,Contact Date,Order Date,Expected Delivery,Confirmed?,Notes
Strictly Medicinal Seeds,American Ginseng (Panax quinquefolius),Prop seeds for photography,7-14,~$26 (10g / ~120 seeds),120,1 packet,May 7,May 8,May 9-15,,"CRITICAL: Fresh stratified ginseng seed is a FALL CROP. Spring availability is limited or zero. Check strictlymedicinalseeds.com before ordering. If unavailable, skip and use BHL botanical illustration for seed reference. Fallback: search Raintree Nursery or Pinetree Garden Seeds for spring stratified stock."
Prairie Moon Nursery,American Ginseng (Panax quinquefolius),Prop seeds for photography (fallback),7-14,TBD (check prairiemoon.com),TBD,1 packet,May 7,May 8,May 9-15,,Secondary to Strictly Medicinal. Check prairiemoon.com/hydrastis-canadensis-goldenseal for current availability and pricing. Ships year-round; 1-3 business days processing.
Strictly Medicinal Seeds,Goldenseal (Hydrastis canadensis),Prop seeds for photography,7-14,$20.00,20,1 packet,May 7,May 8,May 9-15,,Certified Organically Grown. 20-seed packet standard. Spring-available (unlike ginseng). Also consider ordering live root for photography purposes — more visually distinctive than seeds for guide imagery.
Prairie Moon Nursery,Goldenseal (Hydrastis canadensis),Prop seeds for photography (secondary),7-14,TBD,TBD,1 packet,May 7,May 8,May 9-15,,Secondary vendor. Check current availability at prairiemoon.com. Ships year-round. Use if Strictly Medicinal is out of stock.
Johnny's Selected Seeds,Goldenseal (Hydrastis canadensis),Live roots for photography,10-14,TBD (organic root),TBD,1 unit,May 7,May 8,May 10-17,,Johnny's sells organic goldenseal root not seeds. Useful for root close-up photography — more instructive for identification guide than seeds. johnnyseeds.com/herbs/goldenseal/
Strictly Medicinal Seeds,Black Cohosh (Actaea racemosa),Prop seeds for photography,7-10,TBD,TBD,1 packet,May 7,May 8,May 9-14,,"Seeds spring-available. Plants ship mid-March through July — can order potted plant for photography if seeds are not available. Check strictlymedicinalseeds.com/product/black-cohosh-cimicifuga-racemosa-seeds-organic/"
Prairie Moon Nursery,Black Cohosh (Actaea racemosa),Prop seeds for photography (secondary),7-14,TBD,TBD,1 packet,May 7,May 8,May 9-15,,Year-round seed availability. Secondary to Strictly Medicinal.
Fedco Seeds,Black Cohosh (Actaea racemosa),Prop seeds for photography (tertiary),10-14,TBD,TBD,1 packet,May 7,May 8,May 10-17,,Tertiary option. fedcoseeds.com. Confirm spring availability before ordering.
Experimental Farm Network,Ramps / Wild Leek (Allium tricoccum),Prop seeds for photography,2-3,~$4.25,~45,1 packet,May 7,May 8,May 9-10,,"SOLD OUT as of early May 2026. Check daily: store.experimentalfarmnetwork.org/products/wild-ramps. If restocked, ships within 2-3 business days. Seeds sold as 'botanical sample — not germination tested' due to complex dormancy. Buy for photography props only."
Prairie Moon Nursery,Ramps / Wild Leek (Allium tricoccum),Bulblets for photography (fallback),7-14,TBD,TBD,1 unit,May 7,May 8,May 9-15,,"If EFN seeds unavailable, check Prairie Moon for ramp bulblets (spring-shipped). Bulb is visually stronger for guide photography than seed."
Etsy (search: 'ramps bulbs'),Ramps / Wild Leek (Allium tricoccum),Prop bulbs for photography (tertiary),3-7,TBD,TBD,1 unit,May 7,May 8,May 10-14,,Small Appalachian native plant sellers often carry spring ramp bulblets. Search Etsy for 'ramps bulbs' or 'wild leek bulbs' as tertiary fallback. Confirm licensed seller (not wild-dug poached material — ask before buying).
Whole Foods / local health food store,American Ginseng (dried root),Photography prop for root scale reference,0 (same day),~$10-15,1 root,1 unit,May 9,May 9,May 9,,"Purchase dried whole ginseng root for photography — far more instructive than seeds for identification guide. Available at Whole Foods, Mountain Rose Herbs (online 2-day ship), or any herb shop. This is the highest-priority physical prop for ginseng photography."
Mountain Rose Herbs (online),American Ginseng (dried root),Photography prop for root scale reference,2-3,$12-20,1 oz,1 unit,May 7,May 8,May 9-10,,Alternative to local purchase if dried root not locally available. mountainroseherbs.com. 2-day standard shipping available.
iNaturalist (CC-BY filter),American Ginseng,Guide photography (primary),0 (immediate),Free,5-8 images per species,N/A,May 7,May 7,May 7-9,,"Filter URL: https://www.inaturalist.org/observations?taxon_id=116333&photo_license=cc-by&quality_grade=research — select Research Grade CC-BY only. CRITICAL: default iNat license is CC-BY-NC (prohibits commercial use). Filter explicitly for cc-by. Attribution: 'Photo: [Observer Name], iNaturalist, CC BY 4.0'"
iNaturalist (CC-BY filter),Goldenseal,Guide photography (primary),0 (immediate),Free,5-8 images per species,N/A,May 7,May 7,May 7-9,,"Filter URL: https://www.inaturalist.org/observations?taxon_name=Hydrastis+canadensis&photo_license=cc-by&quality_grade=research — goldenseal has fewer CC-BY observations than ginseng; if under 3 usable images, contact top CC-BY-NC contributors for individual permission."
iNaturalist (CC-BY filter),Black Cohosh,Guide photography (primary),0 (immediate),Free,5-8 images per species,N/A,May 7,May 7,May 7-9,,"Filter URL: https://www.inaturalist.org/observations?taxon_name=Actaea+racemosa&photo_license=cc-by&quality_grade=research — abundant observations (June-August bloom). Excellent photo pool expected."
iNaturalist (CC-BY filter),Ramps / Wild Leek,Guide photography (primary),0 (immediate),Free,5-8 images per species,N/A,May 7,May 7,May 7-9,,"Filter URL: https://www.inaturalist.org/observations?taxon_name=Allium+tricoccum&photo_license=cc-by&quality_grade=research — use observations from 2020-2025 spring seasons (ramps bloom March-April). Search for habitat views and leaf close-ups specifically."
Biodiversity Heritage Library (BHL),All 4 species,Guide photography — heritage illustrations (guaranteed fallback),0 (immediate),Free,Unlimited public domain,N/A,May 7,May 7,May 7,,"URL: biodiversitylibrary.org + flickr.com/photos/biodivlibrary — search species Latin name. 'Ginseng and goldenseal growers handbook 1912' at biodiversitylibrary.org/item/116021 contains engraved illustrations of both species. All pre-1928 material is public domain — no attribution required but crediting BHL is good practice."
Missouri Botanical Garden,All 4 species (macro photos),Guide photography — institutional partnership (Tier 1),5-10 (response time),Free for eligible macro use,$500+ per image for other commercial use,N/A,May 7,N/A,May 12-17,,"Contact: pr@mobot.org | (314) 577-0254. Policy: macro plant photos (single subject, close-cropped) = free commercial use. Full garden scenes and composite images = $500+/image minimum. Email template in phase-2-production-execution-plan.md Section 2. Response expected 3-7 business days."
North Carolina Botanical Garden,Black Cohosh + Ramps (Appalachian species),Guide photography — institutional partnership (Tier 1),5-10 (response time),TBD,TBD,N/A,May 7,N/A,May 12-17,,Contact via ncbg.unc.edu contact form. Focus request on Appalachian native medicinal species in their collection. Response timeline variable; do not delay production waiting for response.
