Task ID,Task Name,Phase,Start,End,Duration (days),Track,Predecessor IDs,Owner,Float (days),Critical Path,Revenue / Gate,Notes
1,[LAUNCH GATE] Phase 2 launches — Phase 3 gate monitoring begins,PRE-SPRINT,May 30,May 30,0,GATE,—,User,0,YES,Phase 3 unblocked only on Phase 2 live,Both gate thresholds already cleared (Forager 21.3% >20%; Native Plants 2.24% >1.5%)
2,[SCOPE DECISION] Sprint option: A (5 bundles) / B (2 writers) / C (3-bundle priority) — decide by EOD May 30,PRE-SPRINT,May 30,May 30,0,DECISION,1,User,0,YES,All production blocked until scope confirmed,"Option A: 5 hrs/day June 22–July 9. Option B: brief Writer B by June 1. Option C: recommended if daily availability uncertain."
3,[SOURCING DECISION] Goldenseal path: live specimen order OR Wikimedia CC path confirmed,PRE-SPRINT,May 30,May 30,0,DECISION,2,User,0,YES,Immunity bundle photo strategy blocked,Path 2 (Wikimedia CC + botanical garden) recommended — zero cost / zero schedule risk
4,[PALETTE DECISION] Confirm 6 hex codes by June 15 or approve revision,PRE-SPRINT,May 30,Jun 15,16,DESIGN,2,User,16,No,Cover design blocked until palette confirmed,Default hex codes in canva-phase-3-adaptation-guide.md are production-ready; palette must be decided before June 21 brand kit load
5,Supplier outreach — email Strictly Medicinal Seeds (Goldenseal rhizome + Black Cohosh availability),PRE-SPRINT,May 20,May 20,1,SUPPLIER,—,User,2,No,,Send by May 20; evaluate response by May 22
6,Supplier outreach — email Prairie Moon Nursery (Goldenseal fallback + Black Cohosh + Elderberry availability),PRE-SPRINT,May 20,May 20,1,SUPPLIER,—,User,2,No,,Phone: 866-417-8156 or info@prairiemoon.com
7,Evaluate Goldenseal supplier responses — decide live order vs. Wikimedia CC path,PRE-SPRINT,May 22,May 22,1,SUPPLIER,5;6,User,1,No,,If neither confirms July 13 delivery: activate CC path same day
8,Supplier outreach — email Mountain Rose Herbs (dried herbs order inquiry — all 12 species),PRE-SPRINT,May 23,May 23,1,SUPPLIER,7,User,5,No,,$80–120 budget; target delivery June 17; wholesale@mountainroseherbs.com
9,Photography props acquisition (kraft paper / mortar+pestle / glass jars / linen / wooden tray / reflector),PRE-SPRINT,May 26,Jun 2,7,PHOTOGRAPHY,2,User,14,No,,$60–100 budget
10,Studio location scout — confirm north-facing window; test light at 9am / 12pm / 2pm,PRE-SPRINT,May 26,May 27,2,PHOTOGRAPHY,9,User,14,No,,Minimum table 36×24 inches; do not use ring light or warm incandescent
