Date,Cluster,Time,Species,Shot Number,Description,Angle,Style,Image Filename,Keeper Assessment,Quality Notes,Guide Assignment,Alternative Use
May 17,A,6:45-7:15,American Ginseng,1,"Full plant in native habitat, dappled light",Wide,Habitat,2026-05-17-GINSENG-001.jpg,TBD,"Enter: sharp, color, composition score (1-5)",Women's Health,"Backup for single-herb guide"
May 17,A,6:45-7:15,American Ginseng,2,"Leaf cluster close-up, backlighting",Close-up,Macro,2026-05-17-GINSENG-002.jpg,TBD,"Backlighting quality, vein detail",Women's Health,"Social media feature"
May 17,A,6:45-7:15,American Ginseng,3,"Soil/root context, rhizome visible",Ground level,Detail,2026-05-17-GINSENG-003.jpg,TBD,"Root definition, color accuracy",Women's Health,"Marketing email"
May 17,A,7:30-8:30,Goldenseal,1,"Full plant in deep shade",Wide,Habitat,2026-05-17-GOLDENSEAL-001.jpg,TBD,"Shade balance, plant form",Women's Health,"Backup"
May 17,A,7:30-8:30,Goldenseal,2,"Flower bud detail, macro with ring light",Close-up,Macro,2026-05-17-GOLDENSEAL-002.jpg,TBD,"Bud structure, detail clarity",Women's Health,"Header image priority"
May 17,A,7:30-8:30,Goldenseal,3,"Whole plant in shade, leaf complex",Mid-range,Habitat,2026-05-17-GOLDENSEAL-003.jpg,TBD,"Plant structure, leaf arrangement",Women's Health,"Product image"
May 17,A,7:30-8:30,Goldenseal,4,"Root rhizome detail (if available)",Extreme macro,Detail,2026-05-17-GOLDENSEAL-004.jpg,TBD,"Root color, texture detail",Single-herb guide,"Marketing collateral"
May 17,A,8:45-9:45,Black Cohosh,1,"Flower spike in dappled light",Wide,Habitat,2026-05-17-COHOSH-001.jpg,TBD,"White flower definition, detail",Respiratory,"Backup"
May 17,A,8:45-9:45,Black Cohosh,2,"Flower spike close-up, white flowers delicate",Close-up,Macro,2026-05-17-COHOSH-002.jpg,TBD,"Flower anatomy, white clarity",Respiratory,"Header image priority"
May 17,A,8:45-9:45,Black Cohosh,3,"Leaf complex, serrated edges",Close-up,Detail,2026-05-17-COHOSH-003.jpg,TBD,"Leaf detail, serration clarity",Respiratory,"Single-herb guide"
May 17,A,8:45-9:45,Black Cohosh,4,"Whole plant in native context",Wide,Habitat,2026-05-17-COHOSH-004.jpg,TBD,"Plant scale, habitat preference",Respiratory,"Product image"
May 17,A,10:00-11:00,American Ginseng,4,"Safety variant, different angle/lighting",Alternative,Habitat,2026-05-17-GINSENG-ALT.jpg,TBD,"Backup for best keeper",Women's Health,"Fallback"
May 17,A,10:00-11:00,Goldenseal,5,"Safety variant, macro alternative",Alternative,Macro,2026-05-17-GOLDENSEAL-ALT.jpg,TBD,"Backup if 002 unusable",Women's Health,"Fallback"
May 17,A,12:30-1:30,American Ginseng,5,"Detail macro, leaf veins, seedling stage",Extreme macro,Detail,2026-05-17-GINSENG-DETAIL.jpg,TBD,"Seedling identification, vein structure",Single-herb guide,"Educational insert"
May 17,A,12:30-1:30,American Ginseng,6,"Ground context, plant scale with coin/ruler",Wide,Scale reference,2026-05-17-GINSENG-SCALE.jpg,TBD,"Plant size context, maturity stage",Single-herb guide,"Identification guide"
May 17,A,1:45-2:45,Goldenseal,6,"Flower anatomy close-up, stamen detail",Extreme macro,Macro,2026-05-17-GOLDENSEAL-STAMEN.jpg,TBD,"Reproductive structure, detail",Single-herb guide,"Educational content"
May 17,A,1:45-2:45,Goldenseal,7,"Leaf underside, detail macro",Extreme macro,Detail,2026-05-17-GOLDENSEAL-UNDERSIDE.jpg,TBD,"Leaf underside color, texture",Single-herb guide,"Identification feature"
May 17,A,3:00-4:00,Black Cohosh,5,"Seed pod close-up (if in season)",Close-up,Detail,2026-05-17-COHOSH-SEED.jpg,TBD,"Seed structure, maturity stage",Single-herb guide,"Seasonal variation"
May 17,A,3:00-4:00,Black Cohosh,6,"Leaf edge detail, serration macro",Extreme macro,Detail,2026-05-17-COHOSH-LEAF-EDGE.jpg,TBD,"Serration clarity, leaf structure",Single-herb guide,"Identification"
May 17,A,3:00-4:00,Black Cohosh,7,"Height/scale context, plant maturity",Wide,Scale reference,2026-05-17-COHOSH-SCALE.jpg,TBD,"Mature plant height (3-4 feet)",Single-herb guide,"Cultivation expectations"
May 19,B,Early morning,Wild Bergamot,1,"Flower cluster full bloom, pink/purple saturation",Close-up,Macro,2026-05-19-BERGAMOT-001.jpg,TBD,"Color vibrancy priority, flower definition",Immunity,"Header image"
May 19,B,Early morning,Wild Bergamot,2,"Flower cluster macro detail, stamens visible",Extreme macro,Macro,2026-05-19-BERGAMOT-002.jpg,TBD,"Flower anatomy, color saturation",Immunity,"Product image"
May 19,B,Early morning,Wild Bergamot,3,"Leaf arrangement close-up",Close-up,Detail,2026-05-19-BERGAMOT-LEAF.jpg,TBD,"Leaf shape, opposite arrangement",Immunity,"Single-herb guide"
May 19,B,Early morning,Wild Bergamot,4,"Whole plant in garden context, height scale",Wide,Habitat,2026-05-19-BERGAMOT-WHOLE.jpg,TBD,"Plant structure, garden scale",Immunity,"Product image"
May 19,B,Mid-morning,Red Clover,1,"Flower head full bloom, rounded form",Close-up,Macro,2026-05-19-CLOVER-001.jpg,TBD,"Classic clover form, color saturation",Immunity,"Header image"
May 19,B,Mid-morning,Red Clover,2,"Flower head cross-section if possible",Detail,Macro,2026-05-19-CLOVER-SECTION.jpg,TBD,"Internal flower structure if dissectible",Immunity,"Educational"
May 19,B,Mid-morning,Red Clover,3,"Leaf trio detail, distinctive trefoil",Close-up,Detail,2026-05-19-CLOVER-LEAF.jpg,TBD,"Trefoil clarity, white leaf marking",Single-herb guide,"Identification"
May 19,B,Mid-morning,Red Clover,4,"Whole plant in garden, flowering stem height",Wide,Habitat,2026-05-19-CLOVER-WHOLE.jpg,TBD,"Plant scale, flowering height",Immunity,"Product image"
May 19,B,Late morning,Ramps,1,"Leaf cluster from above, distinctive shape",Wide,Habitat,2026-05-19-RAMPS-001.jpg,TBD,"Leaf shape clarity, green saturation",Single-herb guide,"Header or product"
