Task Name,Task Type,Start Date,End Date,Owner,Time Estimate (hours),Dependencies,Done Signal,Notes
Brand Kit verification — confirm colors / fonts / logo active,Setup,May 15,May 15,U,0.5,Canva account live (wanka95@gmail.com),Brand Kit shows 6 colors + 2 fonts + Seedwarden logo in Canva Brand Hub,Do this before any other Canva task. Colors: Deep Forest #2D4A2F; Warm Cream #F5EDD6; Harvest Gold #C4863A; Slate Blue #4A6FA5; Bark Brown #6B4C2A; Parchment White #FAF7F0. Fonts: Playfair Display (headings) / Source Sans Pro (body).
American Ginseng guide — master template build (cover + 6 zones),Guide Content,May 15,May 16,U,5–6,Brand Kit verified; BHL illustrations downloaded; 5 iNaturalist CC-BY ginseng images saved,Ginseng PDF exported from Canva with no placeholder text and CC-BY attribution on all archive images,This is the master template — all other guides duplicate from this one. Zone sequence: 1 Cover; 2 Conservation Status; 3 Habitat Map; 4 Identification Guide; 5 Cultivation How-To; 6 Harvest Ethics; 7 Seed Sourcing; 8 Cultural Heritage.
American Ginseng guide — self-review (phone screen test),Quality Gate,May 16,May 16,U,0.5,Ginseng guide exported as PDF,All checklist items pass: no placeholder text; all Zone 7 URLs live; CC-BY attribution present; FTC disclaimer in Zone 6 (medicinal content),Read guide on phone screen at standard zoom — this is how buyers will read it. Any text too small to read without pinching is too small.
Goldenseal guide — duplicate from Ginseng template; update all species content,Guide Content,May 16,May 17,U,3–4,Ginseng master template complete,Goldenseal PDF exported from Canva; CITES Appendix II language updated for Goldenseal; goldenseal root yellow color featured in cover image or first content image,Goldenseal CITES Appendix II status active since 1997 — confirm language is species-specific not copy-paste from Ginseng section.
Goldenseal guide — self-review,Quality Gate,May 17,May 17,U,0.5,Goldenseal guide exported as PDF,All checklist items pass (same criteria as Ginseng review),Check that state-endangered list is accurate for Goldenseal (CT / GA / ME / MA / MN / NJ / NC) — this differs from Ginseng.
Black Cohosh guide — duplicate from Goldenseal template; update all species content,Guide Content,May 17,May 18,U,3–4,Goldenseal guide complete,Black Cohosh PDF exported from Canva; UpS At-Risk status noted (not CITES); MA Endangered designation noted; black cohosh leaf compound structure featured in identification section,Black Cohosh is NOT CITES-listed — remove any CITES language carried over from Goldenseal template. UpS At-Risk is the applicable conservation framing.
Black Cohosh guide — self-review,Quality Gate,May 18,May 18,U,0.5,Black Cohosh guide exported,All checklist items pass,Verify: is medicinal content FTC-compliant? Black Cohosh has the most active medicinal claims (menopausal support) — Zone 6 disclaimer must be present and prominent.
Ramps guide — duplicate from Black Cohosh template; update all species content,Guide Content,May 19,May 21,U,3–4,Black Cohosh guide complete,Ramps PDF exported from Canva; Quebec commercial harvest ban noted; NY var. burdickii state-listed status noted; cultural/Cherokee section present,Ramps is not CITES-listed and not ESA-listed — conservation framing comes from cultural and state-level context. Zone 8 (Cultural Heritage) is the strongest section for this species — Cherokee wasdi tradition and Quebec harvest ban are the lead content.
Ramps guide — self-review,Quality Gate,May 21,May 21,U,0.5,Ramps guide exported,All checklist items pass,Check: does the Ramps guide have the "cultivated vs. wild-harvested" sourcing section in Zone 7? This is the key practical action for the buyer.
Photo insertion — all 4 guides (replace archive placeholders with shoot finals),Photo Integration,May 24,May 25,U,3–4,Lightroom export complete (all species finals in /finals/ folders); Canva folders populated with renamed JPEGs,All iNaturalist archive placeholder images in guides replaced with own shoot photography where applicable; all final images exported from Canva at 2400x2400 for covers and standard page dimensions for interiors,Flower and bloom images for all 4 species remain as iNaturalist CC-BY — spring bloom window has passed; do not attempt to replace these with own photography.
