Species,Common Name,Purpose,Order Deadline,Primary Vendor,Primary Vendor URL,Primary Price (USD),Primary Lead Time (days),Primary Notes,Secondary Vendor,Secondary Vendor URL,Secondary Price (USD),Secondary Lead Time (days),Secondary Notes,Tertiary Vendor,Tertiary Vendor URL,Tertiary Price (USD),Tertiary Lead Time (days),Tertiary Notes,Quantity Needed (shoot),Quantity Needed (backup),Spring Availability Risk,Order Status,Order Confirmed?,Expected Delivery,Must Arrive By,Received?,Cost Low Est.,Cost High Est.,Backup If Unavailable
Panax quinquefolius,American Ginseng (stratified seeds),Photo shoot prop + guide botany illustration — seeds in-frame identification,May 10,Wisconsin Grown Ginseng LLC,wisconsingrownginseng.com,$18-28 / ~50 stratified seeds,7-10,"Stratified seeds ready to germinate spring 2026; 70-80% germ rate. Ship USPS Priority. Order note: 'ship ASAP'.",Dairyland Ginseng,dairylandginseng.com,$22-35 / 1/4 lb,5-10,"Larger quantity; 1/4 lb min order. Good for close-up seed photography — stratified seeds photograph well.",Strictly Medicinal Seeds,strictlymedicinalseeds.com,$26 / ~120 seeds,8-12,"Note: Strictly Medicinal ginseng seed typically sold out by spring; seed is fall crop. Verify stock May 10 before ordering. If unavailable use dried root prop only.",1 packet (~50 seeds),1 backup packet,"CRITICAL — ginseng is a fall crop; spring stratified inventory is limited. Wisconsin Grown Ginseng and Dairyland are the reliable spring sources (stratified stock available). Verify availability May 10 and order same day.",No,No,May 17-20,May 18,No,$18,$35,"Dried whole ginseng root (purchased locally at Whole Foods or Mountain Rose Herbs 2-day ship ~$15) is the stronger identification prop. Skip seeds and use root if spring stock exhausted."
Panax quinquefolius,American Ginseng (dried whole root),Identification photography — root is primary visual ID for guide interior,May 11,Mountain Rose Herbs,mountainroseherbs.com,$14-22 / 1 oz whole root,2-3,"Certified organic; ships USPS Priority 2-3 days. Dried whole root available year-round — no availability risk.",Whole Foods / herb shop,N/A — local purchase,$12-20,0 (same-day),"Purchase locally May 11 at nearest Whole Foods, co-op, or herb shop. Call ahead to confirm stock.",Starwest Botanicals,starwest-botanicals.com,$12-18 / 1 oz,3-5,"Bulk organic; ships standard shipping. Adequate as tertiary.",1 whole root,1 additional root,"NONE — dried root available year-round at retail and online",No,No,May 13-14 (online) or May 11 (local),May 18,No,$12,$22,"No backup needed — dried root is always available retail. This is the primary identification prop for the guide."
Hydrastis canadensis,Goldenseal (seeds),Photo shoot prop + seed identification panel in guide,May 10,Strictly Medicinal Seeds,strictlymedicinalseeds.com,$20 / 20 certified organic seeds,8-12,"Certified Organically Grown; standard spring availability confirmed. Order note: 'ship ASAP'.",Prairie Moon Nursery,prairiemoon.com,TBD / 1 packet,7-14,"Spring availability typical; bare-root divisions also available. Check for seed vs. plug availability.",Southern Exposure Seed Exchange,southernexposure.com,TBD,7-10,"Appalachian-sourced goldenseal seed when in stock. Check availability May 10.",1 packet (20 seeds),1 additional packet,"LOW — spring-available from cultivated sources. Multiple vendors carry cultivated goldenseal.",No,No,May 18-22,May 18,No,$20,$30,"Dried goldenseal root (bright yellow color; most identifiable feature) is available from Mountain Rose Herbs ($12-18) as same-week fallback. Root photograph is more instructive for ID guides than seeds."
Hydrastis canadensis,Goldenseal (dried root — yellow),Identification photography — yellow root color is key visual ID,May 11,Mountain Rose Herbs,mountainroseherbs.com,$14-20 / 1 oz dried root,2-3,"Bright yellow dried root is the iconic ID feature. Order alongside or instead of seeds.",Starwest Botanicals,starwest-botanicals.com,$12-18 / 1 oz,3-5,"Standard organic goldenseal root; same quality.",Local herb shop,N/A — local,$12-20,0 (same-day),"Co-ops and natural food stores typically carry goldenseal root.",1 oz root,Additional 1 oz,"NONE — dried root available year-round",No,No,May 13-14,May 18,No,$14,$20,"No backup needed. Dried root is the highest-priority goldenseal prop."
Actaea racemosa,Black Cohosh (seeds),Photo shoot prop + seed ID panel,May 10,Strictly Medicinal Seeds,strictlymedicinalseeds.com,$8-12 / 1 packet,8-12,"Spring-available from cultivated sources. Order note: 'ship ASAP'.",Prairie Moon Nursery,prairiemoon.com,TBD / 1 packet,7-14,"Spring availability typical; seeds or 3-packs (ship within 1 week of order in spring).",Fedco Seeds,fedcoseeds.com,$6-9 / 1 packet,10-14,"Order by May 10 to ensure May 18 delivery at standard lead time.",1 packet,1 additional packet,"LOW — spring-available from multiple cultivated sources",No,No,May 18-22,May 18,No,$6,$15,"Potted live plant from Strictly Medicinal (~$8-12; ships mid-March through July) is a photographic upgrade. Order live plant if seeds unavailable OR if budget allows."
Actaea racemosa,Black Cohosh (potted live plant — optional upgrade),Full-plant composition for guide cover and Etsy listing hero,May 10,Strictly Medicinal Seeds,strictlymedicinalseeds.com,$8-12 / 1 small pot,8-12,"Ships live March through July. This is the recommended upgrade — a live plant in-frame is significantly more guide-worthy than seeds alone.",Local garden center,N/A — local,$8-15,0 (same-day),"Native plant nurseries in Appalachian range (NC/WV/TN/VA) may have live black cohosh in May. Call local native plant nurseries.",Prairie Moon Nursery (3-packs),prairiemoon.com,TBD / 3-pack,7-14 + dependent on rooting,"3-packs ship when well-rooted; check lead time at order.",1 small pot,N/A,"LOW — plants available May through July from Strictly Medicinal",No,No,May 18-20,May 18,No,$8,$15,"If no live plant available: use iNaturalist CC-BY archive photo for full-plant shot. No schedule impact."
Sanguinaria canadensis,Bloodroot (rhizome or seed),Photo shoot prop — rhizome ID and seed panel; spring ephemeral timing critical,May 10,Prairie Moon Nursery,prairiemoon.com,TBD / rhizome or bare-root,7-14,"Check for bare-root or potted spring availability. Spring ephemeral — rhizome is the correct prop (orange-red color is the ID feature).",Strictly Medicinal Seeds,strictlymedicinalseeds.com,TBD / seed if available,7-10,"Bloodroot seeds viable only 1 week post-collection; commercial spring seed very narrow window. Check availability May 10.",Vermont Wildflower Farm,vermontwildflowerfarm.com,TBD / seed or rhizome,7-14,"Secondary native plant vendor; check for bloodroot rhizome availability.",1 rhizome or seed packet,1 additional,"HIGH — spring ephemeral with narrow commercial seed window. Rhizome availability from nurseries is more reliable than fresh seed in May.",No,No,May 17-21,May 18,No,$8,$20,"If rhizome unavailable from all vendors: use BHL botanical illustration (Sanguinaria canadensis is in multiple 19th-century herbal plates — public domain, free). No schedule impact for guide photography."
Allium tricoccum,Ramps / Wild Leek (bulblets or seed),Photo shoot prop — bulb/bulblet ID panel and seed close-up,May 10,Prairie Moon Nursery (bulblets),prairiemoon.com,TBD / bulblets,7-14,"Spring bulblet availability variable; call or email May 10 to confirm. Bulblets are the preferred prop (more recognizable than seeds).",Experimental Farm Network,store.experimentalfarmnetwork.org,$4.25 / ~45 seeds,2-3,"EFN sold out as of early May 2026. Check daily for restock. 2-3 day ship if available.",Etsy — native plant sellers,etsy.com,TBD,$5-15,3-7,"Search: 'ramps bulbs Appalachian' or 'wild leek bulbs.' Small-scale Appalachian growers list on Etsy. Verify cultivated (not wild-harvested) before ordering.",1 packet or 6-10 bulblets,Additional 6 bulblets,"CRITICAL — EFN sold out. Prairie Moon bulblet availability needs confirmation May 10. Check daily.",No,No,May 17-20,May 18,No,$4,$15,"Fresh ramp leaves from specialty grocery or farmers market ($3-8) are the highest-value ramps prop — readers recognize leaves immediately. Check farmers market week of May 12. If all props unavailable: iNaturalist CC-BY spring archive photos. No schedule impact."
Allium tricoccum,Ramps / Wild Leek (fresh leaves),Leaf identification photography — highest-value ramps visual,May 12,Local specialty grocery / farmers market,N/A — local purchase,$3-8 / small bunch,0 (same-day),"Fresh ramp leaves available at co-ops, specialty grocers, and farmers markets in May. Call farmers market vendors week of May 12.",N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1 small bunch,1 additional bunch,"MEDIUM — seasonal (peak April-May); likely still available in second week of May in Appalachian markets. Check local co-op week of May 12.",No,No,May 12-15 (local),May 18,No,$3,$8,"If unavailable fresh: use iNaturalist CC-BY spring 2020-2025 ramps observations for leaf imagery. Free; immediate."
Panax quinquefolius + Hydrastis canadensis + Actaea racemosa + Sanguinaria canadensis + Allium tricoccum,All 5 species — iNaturalist CC-BY archive photos,Primary guide interior photography — habitat views / flower / full-plant shots not achievable in studio,May 10 (immediate — digital),iNaturalist (CC-BY filter),inaturalist.org/observations?photo_license=cc-by&quality_grade=research,Free,0 (immediate),"CRITICAL filter: photo_license=cc-by ONLY. Default license is CC-BY-NC (prohibits commercial use). Attribution required: 'Photo: [Observer], iNaturalist, CC BY 4.0'. Log each selected photo: species / observer / URL / guide section.",N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,5-8 Research Grade CC-BY observations per species (25-40 total),N/A,"NONE — digital archive always available",Research in progress,N/A,Immediate,May 14 (complete logging),N/A,$0,$0,"Log all selected observations in WORKLOG.md: species / observer name / iNaturalist URL / intended guide section / license confirmed CC-BY. Target 5 angles per species: full plant / leaf / flower-fruit / root / seed-pod."
