Influencer Name,Primary Platform,Handle,Follower Count,Engagement Rate (est.),Credentials / Context,Homesteader Audience Overlap,Partnership Openness (est.),Priority for Seedwarden,Notes
Katie Krejci (The Homesteading RD),Instagram,@thehomesteadingrd,679000,3-5%,Registered Dietitian; Zone 3/4 northern Minnesota homestead (240 acres),Very High — RD + real homestead + cold-climate content,High — confirmed High Mowing Seeds brand partnership; affiliate program participant,Tier 1 — highest priority,Has existing seed brand deal (High Mowing); likely open to digital product collab. Offer affiliate commission on Track B guide bundle. Best timing: late July before fall planting window.
Tara Lanich-LaBrie (The Medicine Circle),Instagram,@themedicinecircle,130000,4-6%,Culinary herbalist + forager; author Foraged and Grown (2024); 20+ years growing/teaching,High — homesteader-adjacent gardeners and foragers; seasonal cooking audience,Medium-High — independent creator with Etsy-adjacent product sales; receptive to collab,Tier 1 — high priority,Culinary herbalism audience = Seedwarden Track B crossover. Propose content swap: she covers recipes using herbs Seedwarden covers cultivating. Not a direct competitor.
Linda Black Elk,TikTok,@linda.black.elk,73000,7-10%,Ethnobotanist; Food Sovereignty Coordinator United Tribes Technical College ND; Zone 4/5 Northern Plains; author Watoto Unyutapi,High — food sovereignty + indigenous plant knowledge audience strongly overlaps with self-sufficient homesteaders,Medium — academic/NGO role may limit commercial partnerships but strongly values education missions; non-monetized to date,Tier 1 — strategic alignment,Not a commercial partnership — approach as an educational resource exchange. Offer to co-credit indigenous plant names in Track B guide content in exchange for a mention. Aligns with UpS mission Seedwarden already references.
Deanna Talerico (Homestead and Chill),Instagram + Pinterest,@deannacat3,541000,3-4%,MA Environmental Studies (Brown); retired Environmental Health Specialist; California Zone 9-10,High — organic gardening + natural remedies + chickens audience = Seedwarden demographic,High — active brand partnership model (High Mowing Seeds curated collection); runs affiliate-enabled shop,Tier 2 — strong fit; geography mismatch,California Zone 9-10 means her planting calendar doesn't apply to Seedwarden's Zone 5 audience. Best approach: she promotes Seedwarden's Zone 5 guide as the cold-climate companion to her California content.
Carmen Adams (Innergy Med Group),TikTok,@innergymedgroup,220000,6-8%,Registered Herbalist (AHG); Certified Holistic Nutritionist; Community Health Nurse,Medium — BIPOC wellness + community health audience; partial homesteader crossover,Medium — primarily a practitioner/educator; has mentioned commercial concerns about misinformation; safety-conscious partnerships likely welcome,Tier 2 — alignment on safety framing,Her explicit safety-first framing aligns with Seedwarden's contraindication content angle. Approach as a safety-education resource endorsement rather than a product sale pitch. Offer free practitioner copies of Track B bundle.
Aviva Romm MD,Instagram,@dr.avivaromm,284000,4-5%,Yale MD; Board Certified Family Physician; Midwife; Herbalist; NYT Bestselling Author,Medium-High — women's health 30-55 demographic; integrative medicine buyers; high purchase intent,Low-Medium — MD with large platform; likely has formal partnership protocols; prioritizes evidence-based brands,Tier 2 — long-term target,High-trust credentialing. Her Women's Health and Immunity herb audiences are exact matches for Track B bundles. Approach at Phase 3 after 25+ reviews and established track record. Provide ARCs of relevant guides.
Chestnut School (Juliet Blankespoor),Instagram,@chestnutschoolherbs,303000,3-4%,Herbalist; founder Chestnut School of Herbal Medicine (Asheville NC; since 2007); Appalachian bioregional herbalism,Medium — Appalachian/Southeast focus; students and practitioners; some homesteader overlap,Low-Medium — school has existing course ecosystem; direct competitor in education space; potential resource exchange only,Tier 3 — monitor; long-term only,Juliet's course students are exactly who buys practitioner-tier guides. Not a direct content partnership candidate (too close to competing). Best angle: get listed as a recommended resource in AHG network via shared practitioner connections.
Alan Bergo (Forager Chef),Instagram,@foragerchef,N/A (not confirmed from this audit),Unknown,"Wild mushroom/plant forager; James Beard Award 2022; published author; appeared on Hulu's Chefs vs. Wild; Minnesota-based",Medium — culinary foraging audience; some homesteader crossover; primarily food-oriented,Medium — independent creator; has cookbook/brand deal history,Tier 3 — lower priority for Track B,Culinary foraging audience is less medicinal-herbs-focused. Better fit for Phase 1 foraging guides than Track B medicinal content.
Tim Clemens (MN Forager),Instagram + TikTok,@mnforager,47000+ Instagram,Unknown,Urban foraging educator; Ironwood Foraging; has taught 3000+ people workshops; Minnesota-based,High — urban and suburban foragers who want to grow and identify; Zone 4/5; very high geographic alignment,High — independent educator; runs paid workshops; receptive to product partnerships,Tier 2 — Zone 5 geographic fit,Minnesota Zone 4/5 overlap with Seedwarden's target geography. Urban foraging audience = high crossover with Seedwarden's homesteader-in-progress demographic. Small enough that affiliate partnership is likely accessible.
Herbal Academy,Instagram,@herbalacademy,875000,1-2%,100000+ cumulative students; largest online herbalism school in US; course-based business model,Medium — aspiring herbalists and students; course buyers; not primarily homesteaders,Very Low — direct competitor in herbalism education space; they sell courses where Seedwarden sells guides,No partnership — competitor,Do not pursue partnership. Their audience is a high-overlap cold target for paid acquisition and SEO. Monitor their content for category trends.
Mountain Rose Herbs,Instagram + TikTok,@mountainroseherbs,434000 Instagram + 61700 TikTok,2-3% Instagram,Retail herb supplier; bulk herbs + supplies; well-known brand across the practitioner community,Medium — herbalism enthusiasts and practitioners; buyers of dried herbs,Very Low — structural competitor (they sell dried herbs; Seedwarden sells grow-your-own guides),No partnership — structural conflict,Mountain Rose Herbs cannot endorse growing-your-own as it competes with their core product. Their audience is a target cold pool. Content angle "grow your own instead of buying" positions Seedwarden against their model.
Rosemary Gladstar,Instagram,@rosemarygladstar,218000,5-7%,Godmother of American Herbalism; founder CSHS (1978); UpS co-founder; author; elder statesperson of the category,Medium-High — traditional herbalism practitioners; multi-generational following; values-aligned audience,Medium — primarily an author and educator; less commercially active in digital space; mission-aligned partnerships may be viable,Tier 3 — long-term legacy brand connection,The UpS connection (which Seedwarden already references in endangered species content) is the entry point. Not a commercial collab — a resource citation and potential mutual mention through UpS channels. High trust-signal value if achieved.
