Species,Common Name,Sourcing Purpose,Order Deadline,Primary Vendor,Primary Vendor URL,Primary Price,Quantity,Primary Lead Time (days),Secondary Vendor,Secondary Vendor URL,Secondary Price,Secondary Lead Time (days),Tertiary Vendor,Tertiary Vendor URL,Tertiary Lead Time (days),Spring Availability Risk,Order Placed?,Order Confirmed?,Expected Delivery,Received?,Item Cost (low est.),Item Cost (high est.),Notes
Panax quinquefolius,American Ginseng (prop seeds),Photography prop — seed close-up and flat-lay,May 8,Strictly Medicinal Seeds,strictlymedicinalseeds.com,~$26 (10g / ~120 seeds),1 packet,7-14,Prairie Moon Nursery,prairiemoon.com,TBD,7-14,Raintree Nursery,raintreenursery.com,7-14,CRITICAL — fall crop; spring availability near zero. Verify May 7 before ordering. If unavailable skip prop seeds entirely.,No,No,May 9-15,No,$0,$26,"If unavailable from all vendors: skip seed prop and use dried root instead. See row below."
Panax quinquefolius,American Ginseng (dried root),Photography prop — root identification reference,May 9,Whole Foods / local herb shop,N/A — local purchase,$12-20,1 small root,0 (same-day),Mountain Rose Herbs,mountainroseherbs.com,$12-20,2-3,N/A,,N/A,NONE — dried root available year-round at retail,No,No,May 9,No,$12,$20,"Highest-priority ginseng prop. Dried whole root communicates identification value far better than seeds. Purchase locally May 9 if possible. Mountain Rose Herbs 2-day shipping as fallback (order May 7 to ensure May 9 delivery)."
Hydrastis canadensis,Goldenseal (prop seeds),Photography prop — seed and flat-lay,May 8,Strictly Medicinal Seeds,strictlymedicinalseeds.com,$20.00,20 seeds (1 packet),7-14,Prairie Moon Nursery,prairiemoon.com,TBD,7-14,N/A,,N/A,LOW — spring-available from cultivated sources,No,No,May 9-15,No,$20,$20,"Certified Organically Grown. 20-seed standard packet. Spring availability typical."
Hydrastis canadensis,Goldenseal (dried root),Photography prop — root identification reference,May 8,Johnny's Selected Seeds,johnnyseeds.com/herbs/goldenseal,TBD (organic root),1 unit,10-14,Mountain Rose Herbs,mountainroseherbs.com,$15-25,2-3,Starwest Botanicals,starwest-botanicals.com,3-5,NONE — dried root available year-round,No,No,May 10-17,No,$15,$25,"Goldenseal root (bright yellow color) is the most distinctive identification feature. Order in addition to seeds if delivery allows. If Johnny's lead time is too long, Mountain Rose Herbs 2-day ship is the reliable fallback."
Actaea racemosa,Black Cohosh (prop seeds),Photography prop — seed close-up,May 8,Strictly Medicinal Seeds,strictlymedicinalseeds.com,TBD,1 packet,7-10,Prairie Moon Nursery,prairiemoon.com,TBD,7-14,Fedco Seeds,fedcoseeds.com,10-14,LOW — spring-available from cultivated sources,No,No,May 9-14,No,$6,$15,"Seeds spring-available from multiple sources. Potted live plant (~$8-12) from Strictly Medicinal is available mid-March through July — order if seeds are unavailable. Potted plant is a significant photography upgrade."
Actaea racemosa,Black Cohosh (live potted plant — optional upgrade),Photography prop — full plant composition,May 8,Strictly Medicinal Seeds,strictlymedicinalseeds.com,$8-12,1 small pot,7-10,Local garden center,N/A,$8-15,0 (same-day),N/A,,N/A,LOW — plants ship mid-March through July,No,No,May 14-17,No,$8,$15,"Optional — order only if seeds are unavailable OR if budget allows the upgrade. A live plant in habitat creates a stronger guide cover image than seeds alone."
Sanguinaria canadensis,Bloodroot (prop seeds or rhizomes),Photography prop — root/rhizome identification reference,May 8,Prairie Moon Nursery,prairiemoon.com,TBD,1 packet / 1 rhizome,7-14,Strictly Medicinal Seeds,strictlymedicinalseeds.com,TBD,7-10,Vermont Wildflower Farm,vermontwildflowerfarm.com,7-14,HIGH — spring ephemeral with 1-week viable seed window; rhizome availability variable,No,No,May 9-15,No,$8,$20,"Seeds viable only 1 week post-collection. Commercial spring seed is narrow. Rhizome (orange-red, distinctive) is the stronger identification prop. Check Prairie Moon for spring rhizome or bare-root availability first. If unavailable: use BHL botanical illustration (free) — Sanguinaria canadensis appears in multiple 19th-century herbal plates. No schedule impact."
Allium tricoccum,Ramps / Wild Leek (seeds),Photography prop — seed close-up,May 8,Experimental Farm Network,store.experimentalfarmnetwork.org/products/wild-ramps,$4.25 / ~45 seeds,1 packet,2-3,Prairie Moon Nursery (bulblets),prairiemoon.com,TBD,7-14,Etsy search: 'ramps bulbs',etsy.com,TBD,3-7,CRITICAL — EFN sold out as of May 2026. Check daily.,No,No,May 9-10,No,$4,$12,"EFN sold out. Check daily. If restocked: order immediately for 2-3 day delivery. Bulblets (Prairie Moon) and Etsy small-scale sellers are fallbacks. Double-dormancy seeds not germination-tested — prop photography use only."
Allium tricoccum,Ramps / Wild Leek (fresh leaves),Photography prop — leaf identification close-up,May 9,Local grocery / farmers market,N/A — local purchase,$3-8,1 small bunch,0 (same-day),N/A,,N/A,N/A,N/A,,N/A,MEDIUM — seasonal; available April-early May; check farmers market week of May 5,No,No,May 9,No,$3,$8,"Fresh ramp leaves are the highest-value ramps prop — immediately recognizable to buyers. Available at specialty grocery stores and farmers markets in May. Check availability week of May 5. If unavailable: use iNaturalist CC-BY archive photo (spring 2020-2025 observations) for leaf imagery in guide."
Monarda fistulosa,Wild Bergamot (prop seeds),Photography prop — seed head close-up,May 8,Prairie Moon Nursery,prairiemoon.com,TBD,1 packet,7-14,Strictly Medicinal Seeds,strictlymedicinalseeds.com,$3-6,7-10,Johnny's Selected Seeds,johnnyseeds.com,TBD,5-10,NONE — always in stock from multiple vendors,No,No,May 9-15,No,$3,$6,"Widely available year-round. No availability risk."
