Contact_ID,Full_Name,Organization,Domain,Constituency,Tier,Email,Send_Date,Delivery_Status,Open_Date,Click_Date,Reply_Date,Reply_Category,Engagement_Score,Tier2_Candidate,Day_to_Open,Day_to_Click,Day_to_Reply,Notes
C001,Partnership for Public Service,Partnership for Public Service,Domain 56,Civil Rights,Tier 1,,,,,,,No Reply,0,,,,,"Civil service reform org. Domain 56 primary audience. Send: May 26-28."
C002,Government Accountability Project,Government Accountability Project,Domain 56,Civil Rights,Tier 1,,,,,,,No Reply,0,,,,,"Whistleblower protection. Domain 56 primary audience."
C003,AFGE,American Federation of Government Employees,Domain 56,Labor,Tier 1,,,,,,,No Reply,0,,,,,"Federal employee union. Domain 56 direct constituency."
C004,Protect Democracy,Protect Democracy,Domain 56,Civil Rights,Tier 1,,,,,,,No Reply,0,,,,,"Rule-of-law litigation org. Domain 56 + broader framework."
C005,NTEU,National Treasury Employees Union,Domain 56,Labor,Tier 1,,,,,,,No Reply,0,,,,,"Federal employee union. Domain 56 direct constituency."
C006,Volcker Alliance,Volcker Alliance,Domain 56,Academic,Tier 2,,,,,,,No Reply,0,,,,,"Good government / civil service reform. Tier 2 send window May 26-28."
C007,Democracy Forward,Democracy Forward,Domain 56,Civil Rights,Tier 2,,,,,,,No Reply,0,,,,,"Litigation org. Tier 2 send window May 26-28."
C008,CREW,Citizens for Responsibility and Ethics in Washington,Domain 56,Civil Rights,Tier 2,,,,,,,No Reply,0,,,,,"Watchdog org. Tier 2 send window May 26-28."
C009,Government Executive,Government Executive (media),Domain 56,Civil Rights,Tier 2,,,,,,,No Reply,0,,,,,"Federal workforce media. Tier 2 send window May 26-28."
C010,Brookings Governance Studies,Brookings Institution,Domain 56,Academic,Tier 3,,,,,,,No Reply,0,,,,,"Academic. Tier 3 - lower priority."
C011,NAPA,National Academy of Public Administration,Domain 56,Academic,Tier 3,,,,,,,No Reply,0,,,,,"Public administration research. Tier 3."
C012,Georgetown Center for Children and Families,Georgetown University,Domain 39,Academic,Tier 1,childhealth@georgetown.edu,,,,,,,No Reply,0,,,,,"CRITICAL: use childhealth@georgetown.edu NOT ccf@georgetown.edu. Send May 30."
C013,National Health Law Program,National Health Law Program,Domain 39,Civil Rights,Tier 1,info@healthlaw.org,,,,,,,No Reply,0,,,,,"Healthcare access legal advocacy. Send May 30."
C014,Brennan Center for Justice,Brennan Center for Justice,Domain 39,Civil Rights,Tier 1,kennardl@brennan.law.nyu.edu,,,,,,,No Reply,0,,,,,"Democracy + healthcare intersection. Send June 1."
C015,Institute for Responsive Government,Institute for Responsive Government,Domain 39,Civil Rights,Tier 1,info@responsivegov.org,,,,,,,No Reply,0,,,,,"Healthcare + civic engagement policy. Send June 1."
C016,Black Mamas Matter Alliance,Black Mamas Matter Alliance,Domain 39,Civil Rights,Tier 1,info@blackmamasmatter.org,,,,,,,No Reply,0,,,,,"Maternal health advocacy. Send June 2-3."
SAMPLE_ROW — DELETE BEFORE USE,Smith,Example Organization,Domain 56,Law School,Tier 1,sample@example.org,2026-05-28,Delivered,2026-05-29,2026-05-29,2026-05-31,Implementation Signal,4,YES,1,1,3,"Sample row showing filled data. Delete this row before use."
