Phase,Day,Date,Track,Task,Type,Duration (hours),Owner,Dependencies,Float (days),Critical Path,Revenue / Decision Gate,Notes
PRE-SPRINT,PRE,May 30,DECISION,[DECISION 1] Sprint scope: Option A (5 bundles single writer) / Option B (2 writers) / Option C (3-bundle priority),User decision,0,User,Phase 2 launched,0,YES,GATE — all production blocked until scope confirmed,"Option A: 5 hrs/day Jun 22–Jul 9 required. Option B: brief Writer B by May 25. Option C: recommended if June capacity uncertain."
PRE-SPRINT,PRE,May 30,DECISION,[DECISION 2] Goldenseal path: order live specimen OR confirm Wikimedia CC path,User decision,0,User,Sprint scope decision,0,YES,GATE — Immunity bundle photo strategy blocked until resolved,"Path 1: order Prairie Moon by Jun 8 (arrive Jul 13–20 for v1.1). Path 2 (recommended): email NC + Missouri Botanical Gardens now. Zero cost."
PRE-SPRINT,PRE,May 30,DECISION,[DECISION 3] Palette finalization: confirm 6 hex codes or approve alternatives by June 15,User decision,0,User,Sprint scope decision,16,No,GATE — cover design blocked until palette confirmed,"Default hex codes production-ready in critical path doc. Each post-production palette change = 1.2 hrs rework per cover (5 covers = 6 hrs total)."
PRE-SPRINT,PRE,May 26–Jun 2,PHOTOGRAPHY,Props acquisition: kraft paper / mortar+pestle / glass jars / linen / wooden tray / reflector,Photo,2,User,Budget confirmed ($60–100),14,No,,$60–100 budget
PRE-SPRINT,PRE,Jun 3–9,PHOTOGRAPHY,Seedling photography: Calendula + Red Clover + Lemon Balm + Thyme + Lavender starts,Photo,4,User,Props acquired,10,No,,Annual seeds germinate in 2–4 weeks from seed start (May 15)
PRE-SPRINT,PRE,Jun 8,SUPPLIER,[HARD DEADLINE] Goldenseal + Black Cohosh order placed OR CC path confirmed in writing,Supplier,0.5,User,Decision 2 confirmed,0,YES,GATE — Immunity bundle photography path unresolved without this,"Goldenseal: Prairie Moon (rhizome divs $35–50) or Strictly Medicinal. Black Cohosh: Strictly Medicinal ($25–35). Expected arrival Jul 13–20."
PRE-SPRINT,PRE,Jun 10–16,PHOTOGRAPHY,Mature/flowering photography: Black Cohosh + Elderberry (if arrived) + Echinacea mature rosette,Photo,5,User,Tier 1–2 plant orders,5,No,,Shoot within 3 days of plant arrival
PRE-SPRINT,PRE,Jun 15,SUPPLIER,[HARD DEADLINE] Elderberry order placed (Prairie Moon bare-root $30–45; local nursery potted backup by Jun 22),Supplier,0.5,User,Goldenseal order complete,0,YES,GATE — Respiratory bundle photography (elderberry) unresolved without this,Local nursery potted elderberry is valid contingency if Prairie Moon OOS
PRE-SPRINT,PRE,Jun 15,SUPPLIER,Mountain Rose Herbs dried herbs ordered: elderberries + mullein + black cohosh root + calendula petals + passionflower + echinacea + astragalus + valerian + ginger,Supplier,0.5,User,Budget confirmed ($80–120),5,No,,"Frontier Co-op: emergency backup at 3–5 business day ship. Order by Jun 15 to guarantee Jun 17 delivery for dried herb studio session."
PRE-SPRINT,PRE,Jun 15,DESIGN,[PALETTE DECISION DEADLINE] Confirm 6 hex codes for Phase 3 Medicinal palette,Design,0,User,Decision 3,6,CRIT IF UNDECIDED,,"If undecided by Jun 15: default to production-ready hex codes in critical path doc. Palette must be decided before Jun 21 brand kit loading."
PRE-SPRINT,PRE,Jun 17–21,PHOTOGRAPHY,Dried herb studio session: mortar+pestle staging / glass jars / flat-lay by bundle theme,Photo,3,User,Mountain Rose Herbs delivery,1,No,,North-facing window 9am–2pm. No ring light. Background by bundle: linen (WH) / white board+elderberry branch (Resp) / dark wood (Imm) / grey+muslin (Sleep) / kraft paper (Dgt)
PRE-SPRINT,PRE,Jun 19–21,PHOTOGRAPHY,Photo editing: cull 100–150 raw to 50–60 keepers; warm preset (+0.2 exp / -20 highlights / +15 shadows); export 2400×2400px for Canva,Photo,3,User,Studio session complete,1,No,,Target: 8–12 studio images per bundle (40–60 total) + 3–5 hero/cover candidates per bundle (15–25 usable)
PRE-SPRINT,PRE,Jun 21,PHOTO/ADMIN,Attribution logging: Wikimedia CC + iNaturalist sources for all pre-sprint sourced images,Admin,1,User,Photo editing complete,0,CRIT,,"WORKLOG.md protocol: log species / source URL / license / filename before any image is used in a guide. Zero tolerance for unlicensed images in published guides."
PRE-SPRINT,PRE,Jun 21,DESIGN,Canva brand kit: load Phase 3 Medicinal palette (6 hex codes) + pre-test one zone card,Design,0.5,User,Palette decision Jun 15,1,CRIT,,"15-minute action per canva-phase-3-adaptation-guide.md. No Brand Kit rebuild needed — palette is additive. Must complete before Sprint D1."
