Organization Name,Sector,Contact Person / Role,Primary Email / Channel,Domain Priority (Primary),Domain Priority (Secondary),Outreach Template,Phase 2 Wave,Minimum Phase 1 Gate Required,Network Reach,Notes
National Association of Attorneys General (NAAG),State AG Networks,Chris Toth — Executive Director,staff@naag.org,Domain 16 (Immigration/Surveillance),Domain 21 (Data Privacy),P2-AG,Wave 1,1 AG office acknowledgment in any state,52 state and territory AG offices,Association-level pitch; requires framing as civil rights enforcement resource not advocacy material; adoption cascades to all member offices
Democratic Attorneys General Association (DAGA),State AG Networks,Executive Director; State AG liaisons,info@democraticags.com,Domain 16 (Immigration/Surveillance),Domain 21 (Data Privacy),P2-AG,Wave 1,1 AG office acknowledgment from DAGA member state,22+ Democratic AG offices,22 member AGs actively litigating against federal immigration enforcement overreach; strongest institutional fit in AG sector
State AG Multi-Division Task Force (SAFER Banking coalition lead),State AG Networks,Chief Deputy AG or Senior Policy Counsel at lead state office,Identify via most recent joint immigration enforcement letter (2025-2026),Domain 20 (Economic Concentration / Data Broker),Domain 16 (Immigration/Surveillance),P2-AG,Wave 1,1 AG office adoption signal,32 state AGs (SAFER Banking signatories); additional joint-letter coalitions,Informal coalition — approach lead AG on most recent joint immigration enforcement letter; pitch: corpus extends existing coalition work with technical documentation
Association of American Law Schools (AALS) — Clinical Legal Education Section,Law School Associations,Section Chair (rotates annually); Erwin Chemerinsky (President 2026),aals@aals.org,Domain 21 (Data Privacy),Domain 33 (Due Process),P2-LS,Wave 1,1 law school clinic director adoption signal,180+ member law schools; 7000+ full-time faculty,Annual meeting and working group structure creates cascade to all member schools; pitch as curriculum resource not advocacy document; clinical education section is the correct internal routing
Clinical Legal Education Association (CLEA),Law School Associations,Executive Director; Board of Directors,via cleaweb.org/contact,Domain 21 (Data Privacy),Domain 33 (Due Process),P2-LS,Wave 1,1 clinical faculty engagement or citation,2500+ clinical law professors across US law schools,Primary professional development body for clinical faculty; conference program inclusion → resource library → faculty adoption; longer timeline than AALS but higher individual faculty reach
Immigration Law Professors (ImmProf) Network,Law School Associations,Network administrators; prolific immigration law scholars,Via lawprofessors.typepad.com and direct faculty email,Domain 16 (Immigration/Surveillance),Domain 36 (AI Governance),P2-LS,Wave 2,1 immigration law clinic director or faculty engagement,400+ immigration law faculty nationwide,Informally organized; approach via faculty blog posts and direct outreach to high-volume immigration clinics; fastest adoption path in law school sector due to informal network structure
Committee to Protect Journalists (CPJ),Journalist Membership Organizations,Jodie Ginsberg — Executive Director; Digital Safety team,info@cpj.org,Domain 25 (FISA 702),Domain 16 (Immigration/Surveillance),P2-JO,Wave 1,1 journalist or journalism org engagement from Phase 1,60000+ journalist global community,CPJ Digital Safety team produces the guides journalists in hostile environments actually use; US-context-specific framing (55th in 2025 RSF press freedom index) is the strongest entry point; review for inclusion in CPJ resource library
International Federation of Journalists (IFJ),Journalist Membership Organizations,Anthony Bellanger — General Secretary; Safety Coordinator,ifj@ifj.org,Domain 25 (FISA 702),Domain 16 (Immigration/Surveillance),P2-JO,Wave 2,1 journalist org engagement from Phase 1,600000 journalists and media workers; 187 affiliated unions in 140+ countries,Cross-border threat model (US-Latin America corridor) is the distinctive pitch angle; IFJ members covering immigration from Mexico and Central America face the same Palantir commercial data infrastructure
International Center for Journalists (ICFJ),Journalist Membership Organizations,Joyce Barnathan — President; Digital Journalism programs,icfj@icfj.org,Domain 25 (FISA 702),Domain 21 (Data Privacy),P2-JO,Wave 2,1 journalist org engagement from Phase 1,30000+ journalists in 180 countries; Knight International Journalism Fellows,Knight Fellow pre-deployment training is highest-leverage integration point; Palantir's international deployments (Bulgaria Greece Mexico) make corpus relevant to fellows working abroad
Reporters Without Borders — US Office (RSF),Journalist Membership Organizations,US Director; Digital Security desk,rsf@rsf.org,Domain 25 (FISA 702),Domain 16 (Immigration/Surveillance),P2-JO,Wave 2,1 journalist org engagement from Phase 1,Global; tracks press freedom in 180 countries; annual Press Freedom Index cited in congressional testimony,RSF's Press Freedom Index citation pathway is the highest-value institutional outcome; integration into country report on US creates policy-citation at congressional and EU level
AFL-CIO Technology Institute,Union Security Committees,Lauren McFerran — Executive Director (since Feb 2026),aflcio@aflcio.org,Domain 17 (Labor Rights),Domain 16 (Immigration/Surveillance),P2-UN,Wave 1,1 union education director or digital security staff engagement,56 affiliated unions; 12.5 million members,Technology Institute runs primary digital rights program for labor movement; AI Principles for Workers (2025) is the connection point — frame corpus as operational layer for those principles; cascade to affiliate unions is automatic if Institute adopts
Communications Workers of America (CWA) — Security Working Group,Union Security Committees,Director CWA Code; CWA Research and Education Director,capital@cwa-union.org,Domain 17 (Labor Rights),Domain 21 (Data Privacy),P2-UN,Wave 1,1 union tech or organizing staff engagement,700000 members; tech telecom and media workers with high technical fluency,CWA Code tech worker organizing is distinctive angle — members build surveillance infrastructure the corpus documents; worker accountability frame is unique to CWA; tech fluency means full corpus countermeasures suite is implementable
National Domestic Workers Alliance (NDWA) — Digital Security Program,Union Security Committees,Ai-jen Poo — Executive Director; Digital Organizing Director,info@domesticworkers.org,Domain 16 (Immigration/Surveillance),Domain 21 (Data Privacy),P2-UN,Wave 1,1 immigrant rights or domestic worker org engagement from Phase 1,700000+ domestic workers; 75 affiliate organizations; heavy overlap with undocumented immigrant population,Part 0 (no government ID required) and California DROP platform path are most directly relevant; dual-protection argument (organizing security + immigration enforcement protection) is strongest pitch; California geography is highest-priority for DROP platform documentation
