Day,Date,Day of Week,Week,Phase,Task,Writing Hours Target,Photography / Design Hours,Supplier / Admin Hours,Total Hours,Bundle,Dependencies,Float (days),Critical Path?,Contingency Path,Notes
0,2026-06-21,Sunday,Pre-Sprint,Setup,"Pre-sprint readiness audit: confirm brand kit loaded in Canva; confirm MRH dried herbs order shipped (placed June 15); confirm all CC photo downloads logged in PHOTO_ATTRIBUTION_LOG.md; confirm May 30 scope decision logged in WORKLOG.md; go/no-go for Day 1",0,1.0,1.0,2.0,All bundles,"MRH order June 15; Canva brand kit June 5; CC photos downloaded before June 21",0,YES,"If any MUST item is unresolved: complete it before Day 1 writing begins. Writing does not start until readiness audit is logged.","GATE DAY. Not a writing day. Check four items: (1) Scope decision logged (2) Canva brand kit loaded and tested (3) MRH order shipped (4) CC photo log current. Log audit result in WORKLOG.md."
1,2026-06-22,Monday,Week 1,Sprint — Writing,"Women's Health bundle — Black Cohosh species page: identification overview; cultivation method (forest farming, shade requirement, companion planting); harvest timing (3-5 year rhizome establishment); conservation sidebar (UpS At-Risk, 95% wild-harvest statistic); FTC-compliant use framing; sourcing recommendation (NativeWildflowers.net or SM)",3.5,0,0,3.5,Women's Health,"Scope decision logged May 30; Canva brand kit loaded June 21",0,YES,"If Black Cohosh page falls below 1,200 words by EOD: do not extend — write intro framework sections (bundle introduction, FTC disclaimer) to bank hours for pace gate check on Day 3.","CRITICAL PATH DAY 1. No float. Zero supplier/admin work before writing session completes. Write full Black Cohosh species page: identification, cultivation, harvest, traditional use history, conservation story, FTC disclaimer, sourcing note. Target: 1,600-2,000 words."
1,2026-06-22,Monday,Week 1,Sprint — Writing,"Women's Health bundle — Vitex (V. agnus-castus) species page start: traditional use (European herbalism for hormonal comfort); cultivation zones 6-10; FTC note (traditional use framing only — no endocrine claims)",1.5,0,0,1.5,Women's Health,Black Cohosh Day 1 started,1,"No — 1-day float","Defer to Day 2 if Black Cohosh page ran long. 1-day float. Target: 800-1,000 words.","Can be started same day or deferred to Day 2 with 1 day float."
2,2026-06-23,Tuesday,Week 1,Sprint — Writing,"Women's Health bundle — Vitex complete (if deferred from Day 1) + Red Clover (Trifolium pratense) species page: nitrogen-fixing cultivation; women's health traditional use; isoflavone note with FTC qualifier ('traditionally used for menopausal comfort in European herbalism')",3.5,0,0,3.5,Women's Health,Black Cohosh complete (Day 1),1,No,"Compress Vitex to 500 words if running behind — expand in v1.1. Red Clover is the dual-bundle species: write standard cultivation + traditional use section.","Target: 1,600 words combined (Vitex finish + Red Clover full page)."
2,2026-06-23,Tuesday,Week 1,Sprint — Canva,"Women's Health cover design in Canva: load Deep Burgundy #8B3E3E header; Apothecary Gold #D4AF37 accent; Clinical Cream #F9F5F0 background; insert Black Cohosh CC-BY hero image; add bundle title in Playfair Display 44pt",0,1.0,0,1.0,Women's Health,Brand kit loaded June 21,4,No,"Google Docs text-header fallback if cover not resolved in 2 hours: Deep Burgundy as page color, Playfair Display title, no hero image. Launch-viable.","4-day float. Can be done at any point in Days 1-5. Do not let design consume writing time."
3,2026-06-24,Wednesday,Week 1,Sprint — Writing,"Women's Health bundle — Calendula species page: dual-bundle Women's Health + Digestive; salve preparation content (oleic acid maceration — cosmetic category, no FTC complication); menstrual comfort traditional use; topical claims = cosmetic not drug",2.5,0,0,2.5,Women's Health,Days 1-2 complete,0,YES — pace gate,"Pace gate FAIL triggers Option C scope: (1) log in WORKLOG.md immediately (2) remove Immunity and Digestive from sprint scope (3) continue with 3-bundle track","PACE GATE: EOD June 24, Women's Health total word count must be at or above 2,500 words. Count all species pages. If below: activate Option C immediately."
3,2026-06-24,Wednesday,Week 1,Sprint — Writing,"Women's Health bundle — Lavender species page: cultivation zones 5-9; English vs. French varieties; distillation vs. fresh harvest; Women's Health traditional use note; 'used traditionally for relaxation and stress support'",2.0,0,0,2.0,Women's Health,Pace gate cleared,0,YES,"Pace gate fail = stop and activate Option C before writing this page.","Target: 1,400 words. Lavender writes quickly — highest-recognition herb."
4,2026-06-25,Thursday,Week 1,Sprint — Writing,"Women's Health bundle — bundle introduction (400 words); FTC disclaimer page (paste from PHASE_3_MEDICINAL_HERBS_CRITICAL_PATH.md Appendix A verbatim — do not paraphrase); sourcing ethics sidebar; resource page; cross-reference page linking to Respiratory and Sleep bundles",2.5,0,0,2.5,Women's Health,All Women's Health species pages drafted,2,No,"Float 2 days — can defer to June 26.","Bundle framework sections. FTC disclaimer is paste-verbatim from Appendix A — not paraphrased."
4,2026-06-25,Thursday,Week 1,Sprint — Writing,"Respiratory bundle — Elderberry species page start: cultivation (shrub establishment, coppicing, harvest timing); elderflower culinary use; Sambucol RCT framing ('studied in randomized controlled trials for cold and flu duration'); S. canadensis native distinction",2.0,0,0,2.0,Respiratory,Women's Health Day 1-3 pace established,1,No,"Defer to Day 5 if Women's Health framework sections run long. 1-day float.","Begin Respiratory track while Women's Health edits are pending. Target: 1,600-2,000 words for Elderberry."
5,2026-06-26,Friday,Week 1,Sprint — Writing,"Women's Health self-edit pass: full bundle read-through; FTC language review against FTC Quick Reference table (open in browser tab); word count verification (target 5,200-6,000 words for 5 species); fix gaps in cultivation or conservation content",2.5,0,0,2.5,Women's Health,All Women's Health species pages complete,2,No,"Float 2 days — can defer to June 27. Do not skip FTC review — it is non-negotiable before PDF export.","Edit pass. FTC Quick Reference must be open during review. Flag every sentence with 'may help,' 'treats,' or 'cures' and replace with traditional-use language."
5,2026-06-26,Friday,Week 1,Sprint — Writing,"Respiratory bundle — Echinacea species page: two-species story (E. purpurea common garden vs. E. angustifolia UpS At-Risk prairie species); conservation framing; immune support FTC note ('studied for immune function support in several clinical trials')",2.5,0,0,2.5,Respiratory,Elderberry Day 4 start,1,No,"Float 1 day.","Target: 1,800-2,000 words. The two-species angle is the content differentiation — no PLR guide covers both species."
6,2026-06-27,Saturday,Week 1,Sprint — Writing,"Respiratory bundle — Mullein species page: biennial lifecycle (first-year rosette vs. second-year flower spike); roadside harvest legality by state (note where invasive = legal to harvest); ear oil preparation (oleic acid maceration = cosmetic/culinary category); respiratory folk use framing ('used in American folk herbalism for respiratory comfort')",2.5,0,0,2.5,Respiratory,Echinacea Day 5,1,No,"Float 1 day. Target: 1,400-1,600 words.","Roadside harvest framing is the content hook for the forager cohort."
6,2026-06-27,Saturday,Week 1,Sprint — Writing,"Respiratory bundle — Thyme species page: culinary herb bridge; respiratory folk use; easy cultivation annual; connects to forager cohort kitchen herb angle",1.5,0,0,1.5,Respiratory,Mullein Day 6 start,2,No,"Float 2 days. Thyme is the simplest species page in the sprint. Target: 800-1,000 words.","Recovery day in sprint structure. Do not add extra writing tasks regardless of pace status."
7,2026-06-28,Sunday,Week 1,Sprint — Canva + Assembly,"Women's Health PDF assembly: Canva layout of all pages; image insertion with CC attribution captions; page numbering; cover finalization; export settings check (PDF print quality, file size under 5MB target)",0,2.0,0,2.0,Women's Health,Women's Health self-edit pass complete (Day 5),1,No,"Float 1 day — can combine with Day 8 morning if needed.","PDF assembly. If cover design was deferred (Day 2-5 float), complete it today. Export test: open in PDF reader and verify all images render, fonts load, layout correct."
