Throughput Level,Annual Unit Production,Material Cost/Unit ($),Labor Cost/Unit ($),Packaging Cost/Unit ($),Platform Fees/Unit ($),Equipment Depreciation/Unit ($),Other Costs/Unit ($),Total COGS/Unit ($),Revenue/Unit ($),Gross Profit/Unit ($),Gross Margin %,Break-Even Month,Notes
1/week,52,0.75,0.50,0.25,1.87,0.67,4.50,8.54,24.99,16.45,65.8%,Month 1,"Material: blended clip (0.04) + rail (1.02) avg at 70/30 mix = ~0.35 raw; +wastage/scrap buffer. Labor: packaging + inspect at 3 min @ $15/hr. Packaging: poly mailer + tape + optional box. Platform fees: Etsy 6.5% txn + 3% payment = $2.42 total on $24.99 avg; but 1-unit avg order is ~$12. Equipment: $699 P1S at $0.14/hr; amortized per unit at low utilization = high per-unit depreciation. Other: $4.50 blended shipping USPS First Class. Margin depressed by high per-unit overhead at 1/week volume. Break-even on startup capital ~Month 1 at this price point but very thin cash generation."
5/week,260,0.55,0.42,0.22,1.62,0.19,4.25,7.25,24.99,17.74,71.0%,Month 1,"Material cost improves slightly with 3-spool purchases. Labor per unit improves with light batching discipline (packaging 3–4 orders at once). Platform fees as % revenue stable. Equipment depreciation per unit drops dramatically — printer running 4–5 hr/week at 5/week (vs. 0.5 hr at 1/week). Shipping cost: bundled orders average slightly lower per-unit as AOV rises with bundles. Startup capital recovered in Month 1 at $24.99 avg on ~$650 gross/month."
20/week,1040,0.42,0.38,0.20,1.62,0.05,4.10,6.77,24.99,18.22,72.9%,Month 1,"Target operational throughput — solo, 2–3 hr/day. Material: 10kg bundle rate ($12/kg) reduces cost. Labor: ~90 sec packaging per order, batched shipping. Equipment depreciation negligible per unit — printer running 14+ hr/week. Monthly gross ~$2,500; net profit ~$1,200–$1,400/month after all costs. This is the steady-state sweet spot for solo operation before 2nd printer."
50/week,2600,0.38,0.36,0.18,1.62,0.05,4.00,6.59,24.99,18.40,73.6%,Month 1,"Near-full single printer utilization (35+ hr print/week). Material at 10kg bulk rate. Labor stable — post-processing 1.5 hr/week still manageable solo. Monthly gross ~$6,500; net ~$3,500–$4,000. Begin planning 2nd printer at this level. No contractor needed yet. Packaging moves to case quantities for slight savings."
100/week,5200,0.35,0.55,0.17,1.62,0.08,4.00,6.77,24.99,18.22,72.9%,Month 1,"2nd printer acquired (adds ~$0.05/unit depreciation). Contractor post-processing labor introduced at 10 hrs/week ($15/hr = $600/month → ~$0.12/unit). Labor/unit increases vs. 50/week as contractor rate absorbed. Monthly gross ~$13,000; net ~$7,000–$8,500. 2nd printer payback in 3–5 weeks. Consider FBA onboarding to handle volume without proportional order management time."
,,,,,,,,,,,,
ASSUMPTIONS,,,,,,,,,,,,
"Material basis: PLA+ at $12/kg for 10kg+ bulk orders (eSUN or Overture). Blended unit weight: clips 3–4g; rails 85–100g. Mix assumption: 70% clip orders (3-unit bundles) / 30% rail orders by unit count. Blended material cost per shipped unit accounts for this mix.",,,,,,,,,,,,
"Labor basis: $15/hour opportunity cost. Includes harvest + inspect + packaging + shipping label. Does NOT include print monitoring (passive). At 20/week: ~90 sec per order. At 100/week: contractor introduced for 10 hrs/week.",,,,,,,,,,,,
"Packaging: poly mailer ($0.08) + zip bags ($0.03) + thank-you card ($0.05) + optional box for rails ($0.25–0.40). Average across mix.",,,,,,,,,,,,
"Platform fees: Etsy 6.5% transaction fee + ~3% payment processing on $24.99 average order = $2.37 total fees. Revenue/Unit in this model is the NET after fees column J already subtracts fees — Platform Fees/Unit column shows the fee component of COGS for clarity.",,,,,,,,,,,,
"Equipment: Bambu P1S at $699, 5,000-hour depreciation life = $0.14/hr. At 20/week: ~14 hr/week × $0.14 = $1.96/week ÷ 20 units = $0.10/unit. At 100/week with 2nd printer: blended depreciation rises slightly.",,,,,,,,,,,,
"Other costs: Blended USPS First Class shipping. Clips (120g bundle): $4.00–$4.50. Rails (200g boxed): $5.00–$5.50. Average ~$4.00–$4.25 across mix. Shipping is partially passed to buyer on Etsy (if charging for shipping). Model assumes $4.00–4.50 absorbed into price or added on top — treat as COGS when pricing for free shipping Etsy listings.",,,,,,,,,,,,
"Scrap allowance: 5% for mature production (included in material cost). 8–12% for first 2 weeks of production — add $0.10–$0.20/unit to material cost during initial calibration period.",,,,,,,,,,,,
"Revenue basis: $24.99 per order (blended — rail orders at $34.99 and 3-clip bundles at $24.99 average to ~$24.99–$29.99 AOV). Model uses $24.99 as conservative baseline. Actual AOV may be higher with bundle discipline.",,,,,,,,,,,,
"Break-even analysis: Startup capital ~$950 (printer + filament + packaging supplies). At 20/week generating ~$1,200–$1,400 net/month, startup capital recovered in Month 1. Business is cash-flow positive from the first order month at any production level above 5/week.",,,,,,,,,,,,
,,,,,,,,,,,,
SENSITIVITY SCENARIOS,,,,,,,,,,,,
Scenario,AOV,Gross Margin,Monthly Net (20/wk),Monthly Net (50/wk),Monthly Net (100/wk),Notes,,,,,,,
Conservative (single units / no bundles),$14.99,58–62%,$600–700,$1,800–2,100,$4,200–5,000,"Single-unit orders at $12–$15 have shipping eating 30–37% of revenue. Bundle discipline is critical.",,,,,,
Realistic (mixed bundles + rails),$24.99,67–73%,$1,200–1,400,$3,500–4,000,$7,000–8,500,"Model basis. Assumes active bundle pricing and rail SKU mix.",,,,,,
Optimistic (PETG premium + homelab SKU),$34.99,68–72%,$2,000–2,400,$5,000–6,000,$10,000–12,000,"PETG premium clips at $5+ premium, homelab kit bundles. Requires validated demand.",,,,,,
,,,,,,,,,,,,
SCALING DECISION THRESHOLDS,,,,,,,,,,,,
Decision,Trigger,Capital Required,Payback Period,Notes,,,,,,,,
Add 2nd Bambu P1S,30–40 units/week sustained for 2 weeks,$699–$799,3–5 weeks at full utilization,"Primary constraint: order demand must consistently exceed single-printer capacity",,,,,,,,
Hire post-processing contractor,100+ units/week AND post-processing exceeds 3 hr/day,"$600–$800/month (10–15 hrs @ $15–18/hr)",Net-positive immediately if it enables handling 100+ vs. 70 units/week,"Use 1099 contractor; no payroll overhead",,,,,,,,
Bulk filament upgrade (50kg order),Monthly filament spend exceeds $150 (25+ kg/month),"$524 upfront (Anycubic 50kg deal at $10.49/kg)",3–5 months in savings vs. Amazon bundles,"Only worthwhile at 330+ units/month; storage overhead below this",,,,,,,,
Amazon FBA onboarding,50+ units/week AND Etsy at capacity,"$300–500 FBA prep + inventory",Incremental — FBA revenue net of higher fees,"FBA fees ~28–32% of revenue vs. Etsy ~9.5%; justified by volume and time savings",,,,,,,,
3rd printer,80+ units/week from 2-printer fleet consistently,"$699–$799","3–5 weeks","Typically triggered around Month 8–12 at strong growth trajectory",,,,,,,,
