Date,Task,Owner,Dependencies,Status,Notes
2026-05-07,Place Prairie Moon Nursery order (ginseng 20 seeds / goldenseal 3-4 rhizomes / black cohosh 25 seeds / ramps 10 bulbs / bloodroot 3-5 rhizomes / wild bergamot 1 pkt),Anya,None,TODO,Order URL: prairiemoon.com. Note educational publication purpose in order special instructions. Est. cost $61-89. Confirmation email is the done signal.
2026-05-07,Send iNaturalist CC-BY sourcing sprint — begin with Black Cohosh and Ramps (archive photos most abundant for these two species),Anya,None,TODO,Search URLs in ENDANGERED_SPECIES_PHOTO_PIPELINE.md. Filter: license=CC-BY + quality_grade=research + photos=true. Log each download in WORKLOG.md immediately.
2026-05-08,Email NC Botanical Garden — request goldenseal photography partnership,Anya,None,TODO,Contact: ncbg@unc.edu. Use outreach template in ENDANGERED_SPECIES_PHOTO_PIPELINE.md Section 2. This is a 2-4 week response window — sending today gives a response by May 29 if needed.
2026-05-08,Email Missouri Botanical Garden — request ginseng photography partnership,Anya,None,TODO,Contact: media@mobot.org. Template in ENDANGERED_SPECIES_PHOTO_PIPELINE.md Section 1. Supplementary source only — not on critical path.
2026-05-08,Email United Plant Savers Sanctuary — request field photography access for ginseng/goldenseal habitat,Anya,None,TODO,Contact: upsanctuary@unitedplantsavers.org. Explain educational guide purpose. If confirmed: schedule May 15-17 visit. If declined by May 12: proceed studio-only.
2026-05-09,Place Strictly Medicinal Seeds order — goldenseal transplants (3-4 units) as concurrent backup,Anya,Prairie Moon order confirmed,TODO,Contact: strictlymedicinalseeds.com or info@strictlymedicinalseeds.com to confirm current rhizome/transplant stock. Only order goldenseal transplants here — other species covered by Prairie Moon. Est. cost $18-24.
2026-05-09,Complete iNaturalist CC-BY sprint for Ginseng and Goldenseal,Anya,None,TODO,Ginseng taxon_id=116333 / Goldenseal taxon_id=75842. Both species have fewer CC-BY options than Black Cohosh — expect 3-8 results; select best 2-3 per species. Log all in WORKLOG.md.
2026-05-09,Complete iNaturalist CC-BY sprint for Bloodroot and Wild Bergamot,Anya,None,TODO,Bloodroot and Wild Bergamot both have good CC-BY availability. Bloodroot: spring bloom shots from March-May archive are ideal. Log all downloads in WORKLOG.md.
2026-05-09,Field access decision confirmed: field shoot or studio-only,Anya,UpS Sanctuary response or decision to proceed studio-only,TODO,If no field access confirmed by end of May 12: proceed studio-only. Document decision in WORKLOG.md.
2026-05-10,Prairie Moon order confirmed shipped — verify shipping notification email received,Anya,May 7 Prairie Moon order,TODO,If no shipping confirmation by May 10: call 507-454-5539. If order is delayed or species are out of stock: escalate Strictly Medicinal order to include all out-of-stock species immediately.
2026-05-10,Begin Canva master template construction — cover page and interior page shells,Anya,None,TODO,Reference CANVA_ENDANGERED_SPECIES_STYLE_GUIDE.md for palette (#1C2B1A header / #F0E6C8 body background / #8B2000 conservation status callout). Build one complete cover + two interior pages before duplicating to species guides.
2026-05-11,Canva master template complete — Quick Reference card half-page insert built and tested,Anya,May 10 template shell,TODO,Species Gold (#C49A2A) header on Quick Reference card. Confirm zone sidebar layout is consistent with CANVA_ZONE_CARD_DESIGN_GUIDE.md aesthetic before duplicating.
2026-05-12,Props acquisition run — dark linen/canvas / weathered wood plank or birch bark / shallow substrate tray / terracotta pots / kraft envelopes / white foam board,Anya,None,TODO,Single hardware store + craft store + garden center run. Est. cost $30-55. Specific list in Section 2.3 of phase-2-photography-sourcing-logistics.md. 45-60 min run.
2026-05-12,iNaturalist CC-BY sourcing sprint complete — verify minimum 2 photos per species logged in WORKLOG.md,Anya,May 7-9 sourcing sprint work,TODO,If any species has fewer than 2 confirmed CC-BY photos: flag and run expanded search (add CC-BY-SA). Note any species with gaps — these need studio shoot photos or individual contributor permission requests.
2026-05-12,Begin Canva guide build — Black Cohosh (simplest; CC-BY archive photos confirmed first),Anya,Master template complete / iNaturalist sprint complete,TODO,Pull species content from endangered-species-candidate-list.md Section Tier 1 (#3). Target: draft complete by May 18. Use cover photo placeholder until final hero image selected post-shoot.
2026-05-13,Begin Canva guide build — Ramps,Anya,Black Cohosh guide build started,TODO,Ramps has strongest cultural content (Cherokee wasdi / Quebec ban / restaurant overharvest). Pull directly from endangered-species-candidate-list.md. Target draft complete: May 19.
2026-05-13,Send follow-up to Strictly Medicinal Seeds if no order confirmation received,Anya,May 9 Strictly Medicinal order,TODO,If order not confirmed by May 13: call or email to confirm inventory and ship status. Lead time from Strictly Medicinal is 7-10 days; must ship by May 13 to arrive before May 23.
2026-05-14,Begin Canva guide build — Wild Bergamot,Anya,None,TODO,Simplest guide; widest-available photos. All iNaturalist CC-BY sources. Target draft complete: May 20.
2026-05-14,Confirm Prairie Moon delivery ETA — expected delivery window May 14-16,Anya,May 7 Prairie Moon order,TODO,Check Prairie Moon shipment tracking. If delayed beyond May 16: escalate Strictly Medicinal to ship remaining species immediately. Log tracking number in WORKLOG.md.
2026-05-15,Prairie Moon plant order received — photograph immediately on receipt,Anya,Plant delivery,TODO,Photograph all species on arrival day: roots in hand with quarter for scale / seed packets with labels / rhizome cross-sections. Rhizomes are at peak color and moisture on day of receipt. Save raw photos to assets/endangered-species-photos/raw/[species-slug]/
2026-05-15,Canva master template confirmed complete with all zone sidebar variants,Anya,May 10-11 template work,TODO,Final check: cover template / interior page / Quick Reference card / zone sidebar all built and saved. Template duplicated 6 times (one shell per species guide) and ready for content fill.
