Date,Platform,Time (local EST),Content_Type,Caption,Hashtags,Link,Image_File,Notes
2026-05-30,Instagram,10:00 AM,Launch - Reel,"Phase 2 is live. Every listing now has 5 images — real lifestyle photos instead of mockups. We photographed these in an actual kitchen, on a real wood table, with seeds we actually grew. Tap the link in bio to see the full shop.","#etsydigitaldownload #seedwarden #growyourown #seedsaving #foodsovereignty #homesteading #urbanfarming #heirloomseeds #plantersofinstagram #growfood",Kit landing page URL,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Launch post - confirm Buffer published at 10:00am EST
2026-05-30,TikTok,10:00 AM,Launch - Video,"Phase 2 just dropped. I redesigned every Etsy listing with real photos — here's why the original mockups were holding it back. #seedwarden #etsy #growyourown","#seedwarden #etsyshop #digitaldownload #growyourown #heirloomseeds #seedsaving #foodsovereignty #smallbusiness",Kit landing page URL,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Upload natively to TikTok — do not cross-post link
2026-05-30,Pinterest,11:00 AM,Product Pin,"Zone Quick-Start Cards — know exactly what to plant in your zone right now. Free one-page reference card. Link to get yours.","#zonegardening #gardening #growyourown #heirloomseeds #plantingcalendar #gardeningtips #seedwarden",Kit landing page URL,assets/zone-cards/zone-5-preview.png,Schedule via Buffer or Pinterest native scheduler
2026-05-30,Instagram,02:00 PM,Announcement - Carousel,"5 guides for people who are serious about growing their own food. Seed saving. Heirloom varieties. Companion planting. Container gardens. Harvest preservation. Full shop at the link in bio. Save this post if any of these are on your list.","#heirloomseeds #seedsaving #companionplanting #containergardening #foodpreservation #growyourown #urbanfarming #homesteading #seedwarden #etsy",Kit landing page URL,marketing/lifestyle-photos/etsy-ready/carousel-5products.jpg,5-slide carousel: one product per slide with lifestyle image
2026-05-30,Pinterest,03:30 PM,Educational Pin,"Seed saving 101 — which seeds can you actually save? (Not all of them.) A quick breakdown of open-pollinated vs. hybrid varieties.","#seedsaving #heirloomseeds #gardening #growyourown #openpollinated #sustainablegardening #seedwarden",Seed Saving Field Manual Etsy listing,assets/zone-cards/zone-5-preview.png,Schedule 3 pins 90 min apart to avoid dumping
2026-05-31,Instagram,09:00 AM,Behind the Scenes - Story,"How we shot the lifestyle photos for Phase 2 — here's the setup. #seedwarden","#bts #etsyseller #smallbusiness #growyourown #seedwarden",Kit landing page URL,marketing/lifestyle-photos/etsy-ready/cluster-a-bts.jpg,Story format — informal phone shot of shoot setup
2026-05-31,TikTok,11:00 AM,Educational Video,"The one thing the seed industry doesn't want you to know about the seeds at your local nursery. #seeds #growyourown","#heirloomseeds #seedsaving #openpollinated #growyourown #foodsovereignty #seedwarden #gardeningtok",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,45-second educational explainer — hybrid vs open-pollinated
2026-05-31,Pinterest,08:00 PM,Product Pin,"Companion Planting Chart — the 5 combinations that actually suppress pests and boost yield. Printable one-page chart.","#companionplanting #growyourown #gardening #organicgardening #gardeningtips #vegetablegarden #seedwarden",Companion Planting Chart Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-slot4.jpg,Evergreen educational pin — schedule for peak Pinterest time 8-11pm
2026-06-01,Instagram,10:00 AM,Educational - Single Image,"This is what the guide looks like in a real kitchen. Harvest Preservation Handbook — 47 recipes for fermenting, canning, and drying your harvest. $12 in the shop. Link in bio.","#foodpreservation #harvest #fermentation #canning #growyourown #homesteading #urbanfarming #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Single image post — test engagement vs carousel
2026-06-01,TikTok,06:00 PM,Educational Video,"Companion planting combinations that actually work — and 2 that don't. #gardening #growyourown","#companionplanting #gardeningtips #vegetablegarden #organicgardening #growyourown #seedwarden #gardeningtok",Companion Planting Chart Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-slot4.jpg,Cross-post from Instagram Reel if filmed — upload natively
2026-06-01,Pinterest,08:00 PM,Educational Carousel Pin,"Heirloom vs. hybrid vs. GMO seeds — explained in 3 slides. Which one should you actually grow?","#heirloomseeds #gardening #growyourown #seedsaving #organicgardening #sustainablegardening",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,3-image carousel pin — adapts IG carousel slides
2026-06-02,Instagram,10:00 AM,Social Proof - Reel,"I've had people ask what the difference is between buying my guides vs. just Googling this stuff. Here's my honest answer.","#smallbusiness #etsyseller #digitaldownload #growyourown #seedwarden #heirloomseeds",Kit landing page URL,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Talking head or voiceover B-roll — explain depth and specificity of guide content
