Row,Sprint Day,Week,Track,Task,Start Date,End Date,Duration Days,Predecessor,Float Days,Critical Path,Resource Hours,Milestone,Notes
1,PRE,Pre-Sprint,Decision,[USER GATE 1] Sprint scope decision: Option A (5 bundles / single writer) / Option B (2 writers) / Option C (3-bundle priority — recommended),2026-05-21,2026-05-30,10,Phase 2 metrics confirmed,0,YES,1,No,Must be resolved by May 30. Blocks all downstream resource allocation. Option C recommended for single writer.
2,PRE,Pre-Sprint,Decision,[USER GATE 2] Goldenseal path: Path 1 (live order by June 8) or Path 2 (Wikimedia CC — recommended under Option C),2026-05-21,2026-05-30,10,Scope decision,0,YES,0.5,No,Path 2: zero cost / zero schedule risk. Path 1: order by June 8 hard deadline. Under Option C Immunity launches July 20 — Path 2 is launch quality.
3,PRE,Pre-Sprint,Decision,[USER GATE 3] Canva palette: confirm 6 Phase 3 hex codes by June 15 or default auto-lock applies,2026-05-21,2026-06-15,26,Scope decision,16,NO,0.5,No,Default hex codes: Burgundy #8B3E3E / Sage #6B8E6F / Gold #D4AF37 / Cream #F9F5F0 / Lavender #9B8BA0 / Charcoal #2C2C2C. Auto-lock June 15 if no decision.
4,PRE,Pre-Sprint,Supplier,Black Cohosh order: Strictly Medicinal Seeds 2-year seedling — optimal order date May 25 for June 21-28 arrival,2026-05-25,2026-05-25,1,Scope confirmed,27,NO,0.5,No,Ordered May 25: arrives June 21-28. Ordered June 8: arrives July 13-20. iNaturalist CC-BY Appalachian range is automatic fallback.
5,PRE,Pre-Sprint,Photography,Props acquisition: kraft paper / mortar-pestle / glass jars / linen / wooden tray / white reflector 18x24in,2026-06-03,2026-06-09,7,Budget confirmed ($60-100),12,NO,2,No,12-day float. Budget $60-100. Can compress to 1 order day without sprint impact.
6,PRE,Pre-Sprint,Photography,Seedling photography: Calendula / Red Clover / Lemon Balm / Thyme / Lavender starts (seeds sown by May 26),2026-06-03,2026-06-09,7,Props acquired; seeds started,10,NO,4,No,Annual seeds germinate 2-4 weeks. 10-day float. Target 30-40 images; cull to 20-30 keepers.
7,PRE,Pre-Sprint,Admin,[ZERO-FLOAT REVENUE GATE] AHG peer reviewer outreach: 5-8 RH practitioners (Women's Health specialty) for Black Cohosh + Vitex accuracy review,2026-06-08,2026-06-08,1,Scope confirmed,0,NO,1,No,2-3 week response cycle — June 8 is required start. Revenue ceiling risk if missed; not launch blocker. Reviewer name embedded in WH listing for June 29 upload if secured by June 21.
8,PRE,Pre-Sprint,Supplier,[HARD DEADLINE] Goldenseal order OR Wikimedia CC path confirmed in WORKLOG.md,2026-06-08,2026-06-08,1,Goldenseal decision (User Gate 2),0,YES,0.5,No,Zero-float deadline. Path 1: Prairie Moon rhizome $15-22 / Strictly Medicinal $12-18. Path 2: email media@ncbg.unc.edu + media@mobot.org + log 3 CC-BY-SA filenames.
9,PRE,Pre-Sprint,Photography,Mature/flowering specimen photography: Black Cohosh + Tier 1 plants (shoot within 3 days of arrival),2026-06-10,2026-06-16,7,Tier 1 plants arrived,5,NO,5,No,5-day float. Most Tier 1 specimens arrive July 13-20 — CC fallback auto-activates. iNaturalist CC-BY is primary fallback.
10,PRE,Pre-Sprint,Supplier,[HARD DEADLINE] Elderberry order: Prairie Moon bare-root $15-25 or local nursery potted backup,2026-06-15,2026-06-15,1,Goldenseal order complete,0,YES,0.5,No,Zero-float. Local nursery 2-gal potted (order June 22 if Prairie Moon OOS). Expected arrival July 13-20. Wikimedia CC-BY-SA elderberry coverage is excellent fallback.
11,PRE,Pre-Sprint,Supplier,Mountain Rose Herbs dried herbs ordered: 13 species 1 oz each ($93-141); request Goldenseal cultivated Certificate of Analysis,2026-06-15,2026-06-15,1,Budget confirmed,5,NO,0.5,No,Frontier Co-op emergency backup (3-5 business day). Must arrive by June 17 for studio session. Enables 5-bundle flat-lay photography June 17-21.
12,PRE,Pre-Sprint,Design,[PALETTE DEADLINE] Confirm or approve 6 hex codes — auto-lock if no decision,2026-06-15,2026-06-15,1,Palette decision (User Gate 3),6,NO,0.25,No,6-day float before June 21 brand kit load. Auto-lock: Burgundy #8B3E3E / Sage #6B8E6F / Gold #D4AF37 / Cream #F9F5F0 / Lavender #9B8BA0 / Charcoal #2C2C2C.
13,PRE,Pre-Sprint,Admin,AHG peer reviewer follow-up wave: non-respondents + expand to UpS practitioner network + AANP state chapters,2026-06-15,2026-06-15,1,June 8 outreach sent,6,NO,0.5,No,6-day float before sprint. If no reviewer by June 20: begin sprint June 22 as planned; revenue ceiling risk noted.
14,PRE,Pre-Sprint,Photography,Dried herb studio session: 5 bundle-themed flat-lays — north-facing window 9am-2pm — Mountain Rose Herbs material,2026-06-17,2026-06-21,5,Mountain Rose Herbs delivered,1,NO,3,No,Bundle backgrounds: linen (WH) / white+elderberry (Resp) / dark wood (Imm) / grey muslin (Sleep) / kraft paper (Dgt). 100-150 raw; cull to 50-60 keepers.
15,PRE,Pre-Sprint,Photography,Photo editing: cull to 50-60 keepers; warm preset (+0.2 exp / -20 highlights / +15 shadows); export 2400x2400px; create PHOTO_MANIFEST.csv,2026-06-19,2026-06-21,3,Studio session complete,1,NO,3,No,Target: 8-12 studio images per bundle (40-60 total) + 3-5 hero candidates per bundle (15-25 usable).
16,PRE,Pre-Sprint,Admin,[GO/NO-GO GATE] Confirm forager cohort >20% and native plants conversion >1.5%,2026-06-20,2026-06-20,1,Phase 2 analytics confirmed,2,YES,0.25,No,Current: forager cohort 21.3% (+1.3 pp buffer) / native plants 2.24% (+0.74 pp buffer). If both below threshold: defer sprint to July 1 re-check. Pre-sprint activities continue regardless.
17,PRE,Pre-Sprint,Admin,[ZERO FLOAT] Attribution logging: all Wikimedia CC + iNaturalist sources for all pre-sprint images logged in WORKLOG.md,2026-06-21,2026-06-21,1,Photo editing complete,0,YES,1,No,Must complete before sprint Day 1. Log format: species / source URL / CC license type / filename. Zero tolerance on unlicensed images.
18,PRE,Pre-Sprint,Design,[ZERO FLOAT] Canva brand kit: load Phase 3 Medicinal palette (6 hex codes) + pre-test one zone card export,2026-06-21,2026-06-21,1,Palette confirmed,0,YES,0.25,No,15-minute action. Additive to existing brand kit. Must run before June 22. Confirms hex codes render correctly in PDF output.
19,PRE,Pre-Sprint,Admin,AHG peer reviewer written confirmation — revenue ceiling risk if not secured; not launch blocker,2026-06-21,2026-06-21,0,June 8 + June 15 outreach sent,0,NO,0,No,Not a sprint blocker. Begin sprint June 22 regardless. If secured: embed name in WH listing June 29. If not: go live without quote; add retroactively.
20,D1,Week 1,Writing — Women's Health,D1: WH front matter + intro + Black Cohosh (700w — identification / 150w conservation sidebar / cultivation / harvest / active constituents / contraindications),2026-06-22,2026-06-22,1,Brand kit loaded; attribution log complete; outlines reviewed,1,YES,5,No,Conservation sidebar mandatory (UpS At-Risk; 95% wild-harvested). Cherokee traditional use framing. Contraindication block (pregnancy warning) mandatory. Tier 3 plant orders placed same day.
21,D2,Week 1,Writing — Women's Health,D2: WH Vitex complete (600w — invasive note TN/NC / berry harvest / dopaminergic framing / pregnancy contraindication MANDATORY) + Red Clover complete (400w — isoflavone framing / forager edibility crossover),2026-06-23,2026-06-23,1,WH Day 1 complete,1,YES,5,No,Vitex invasive watch list (TN/NC) note mandatory. Red Clover phytoestrogenic isoflavone framing per FTC quick reference. Pregnancy contraindication non-deferrable.
22,D2,Week 1,Design — Women's Health,WH cover design: Black Cohosh or Calendula hero / Deep Burgundy #8B3E3E / existing Phase 2 template — parallel to D2 writing,2026-06-23,2026-06-23,1,WH Day 1 complete; hero photo pre-staged,4,NO,1.2,No,4-day float. Pre-stage 3-5 hero candidates. Lowest revision risk — wide CC-licensed selection for both hero species.
23,D2,Week 1,Photography — Studio,Sprint studio session 1: Calendula + Red Clover seedlings (flat-lay on linen / seedling in pot / leaf close-up),2026-06-23,2026-06-23,1,Pre-sprint photos available,2,NO,2,No,Photography secondary to writing. Compress or skip if writing behind pace. 2-hour session.
24,D3,Week 1,Writing — Women's Health,[ZERO FLOAT — PACE GATE] D3: WH Calendula (400w) + Lavender (400w — 3 cultivars: Hidcote / Munstead / Phenomenal) + prep methods + practitioner context + WH self-edit,2026-06-24,2026-06-24,1,WH Day 2 complete,0,YES,5,No,PACE SELF-TEST EOD: if WH below 2500w activate Option C immediately. WH must be complete by June 28 EOD for June 29 upload. Binding pace decision point.
25,D3,Week 1,Design — Respiratory,Resp cover design: Elderberry berry cluster hero / Sage Green #6B8E6F / existing template — parallel to D3 writing,2026-06-24,2026-06-24,1,WH Day 2 complete; hero photo pre-staged,4,NO,1.2,No,Lowest cover revision risk — widest CC-licensed elderberry selection of any Phase 3 species. 4-day float.
26,D3,Week 1,Photography — Studio,Sprint studio session 2: Lavender + Lemon Balm + Thyme local nursery starts (full plant habit / stem close-up / dried bundle staged),2026-06-24,2026-06-24,1,Local nursery starts available,3,NO,3,No,3-day float. Secondary to writing. Compressible to 1.5 hours if writing behind pace.
27,D4,Week 1,Writing — Respiratory,D4: Resp front matter + intro + Elderberry (800w — raw berry toxicity / sambunigrin note / elderflower forager crossover / cultivar guide),2026-06-25,2026-06-25,1,WH writing in progress,1,YES,5,No,Elderberry is the most complex Respiratory species. Raw berry toxicity and sambunigrin framing require accuracy. Elderflower culinary section is forager cohort crossover hook.
28,D4,Week 1,Photography — Studio,Sprint studio session 3: Dried herb Immunity bundle props (mortar-and-pestle / glass jars / Immunity flat-lay),2026-06-25,2026-06-25,1,Dried herbs delivered,1,NO,3,No,Parallel to Resp Day 1 writing. Photography secondary — writing has priority on any constrained day.
29,D5,Week 1,Writing — Respiratory,D5: Resp Mullein (600w — biennial lifecycle / first-year rosette vs second-year spike / ear oil) + Echinacea two-species (600w — E. purpurea vs E. angustifolia / UpS At-Risk sidebar MANDATORY),2026-06-26,2026-06-26,1,Resp Day 1 complete,1,YES,5,No,E. angustifolia conservation sidebar mandatory. Two-species comparison is primary content differentiation vs. PLR competitors.
30,D5,Week 1,Photography — Studio,Sprint studio session 4: edit + cull Days 1-3 photos; rate keepers; export 2400x2400px for Canva,2026-06-26,2026-06-26,1,Studio sessions 1-3 complete,2,NO,2,No,Cull to 8-12 keepers per bundle. Secondary to writing. Compressible to 1 hour of culling only.
31,D6,Week 1,Writing — Respiratory,D6: Resp Thyme (500w — thymol framing / pregnancy caution at high doses) + shared sections + WH final self-edit pass,2026-06-27,2026-06-27,1,Resp Day 2 complete,2,NO,4,No,Lighter day. WH self-edit is final quality gate before PDF export. Resp can slip 1 day without affecting July 6-7 upload.
32,D7,Week 1,Writing + Admin,D7: Resp self-edit pass + WH PDF export QA (5MB limit / no placeholder text / attribution confirm / thumbnail crop test at 170x135px),2026-06-28,2026-06-28,1,Resp writing complete; WH self-edit done,2,NO,2,No,WH PDF must be export-ready by EOD Day 7. Verify all contraindication blocks present before export.
33,D7,Week 1,Checkpoint,[CHECKPOINT 1] Green: WH writing complete (3800w) + export-ready / Resp writing complete (3600w) / June 29 upload ready / 2 of 5 covers done,2026-06-28,2026-06-28,0,Day 7 complete,0,YES,0,Yes — Week 1,If WH not export-ready June 28 EOD: upload shifts to June 30 (2-day slip; zero cascade). If Resp not complete: Resp shifts to July 8 / Sleep shifts to July 15.
34,D8,Week 2,Upload — Women's Health,[MILESTONE 1] Women's Health uploaded to Etsy (9-10am ET) — REVENUE BEGINS — 72-hr Etsy discovery window opens,2026-06-29,2026-06-29,1,WH PDF complete; all 5 image slots filled; 13 tags verified; peer review quote embedded if secured,0,YES,2,Yes — Upload 1,Upload checklist: title <140 chars / 13 tags / 5 image slots / test buyer download / practitioner 10-pack simultaneous upload if secured.
35,D8,Week 2,Writing — Immunity,D8: WH upload AM (2 hrs) + Imm intro + Echinacea condensed (600w — immunity framing / 60% of Resp length),2026-06-29,2026-06-29,1,WH upload complete,1,YES,3,No,Post-upload pivot to Immunity. Echinacea second occurrence: reframe from respiratory support to immune modulation.
