Vendor,Category,Product/Service,Price Per Unit (best rate),MOQ,Lead Time,Reliability Score (1-10),Payment Terms,Notes,Priority Rank
eSUN (Amazon),PLA Filament,PLA+ 1.75mm 10kg case,$11-13/kg,10 spools (10kg),2-5 days (Prime),9,Credit card / Amazon,Best AMS compatibility; no wholesale acct needed; Prime stock availability; bundle ASINs B0G2KSS613 (Basic) + B0G2KWC5XL (PLA+),1 - Primary filament
Anycubic (direct),PLA Filament,PLA Basic 50kg pallet,$10.49/kg (sale),No MOQ,3-7 days,7,Credit card,Only brand with public 50kg listing; 25+ colors; some AMS winding issues reported; validate with test order first,2 - Secondary / pallet top-up
Polymaker (wholesale),PLA Filament,PolyLite PLA + PLA Pro,$14.99/kg (case),~$1000 per order,3-7 days,9.5,Net 30 (qualified accounts),Best moisture packaging; vacuum-sealed; tightest tolerances; 45% off MSRP claimed; free ship over $3000; activate Month 3-4,3 - Phase 3 quality tier
Overture (Amazon+direct),PLA + PETG Filament,PLA + PETG 1.75mm,$11-14/kg PLA; $17-19/kg PETG,None (Amazon),2-5 days (Prime),8,Credit card / Amazon,35% off wholesale program; best-in-class PETG for Bambu per ADP Industries 2026 farm test; strong PLA backup option,4 - PETG primary + PLA backup
SUNLU (direct store),PLA Filament,PLA mix-and-match,$12-14/kg (6kg bundle),6 spools minimum,3-7 days,7.5,Credit card,Mix-and-match by color; reseller tier at 50+ boxes ($10-12/kg est.); some AMS diameter inconsistencies on 8hr+ jobs; best for color sampling,5 - Color sampling + flex backup
Pirate Ship,Shipping Labels,USPS Ground Advantage + Priority Mail Cubic,$3.50-6.00/label (under 1lb),None,Instant,10,Free (no fees),No monthly fee; no markup; commercial rates below USPS retail; 8% temporary increase Apr 26 - Jan 17 2027 already in rates; Priority Mail Cubic unlocked,1 - Primary shipping platform
Shop4Mailers,Packaging,Poly Mailers 9x12" 2.5mil,$0.05/unit (1000-pack),100 units,3-5 days,9,Credit card,Budget mailer baseline; works for single and 3-pack ModRun orders; upgrade to custom-printed after Month 3,1 - Primary packaging (launch)
Packlane,Packaging,Custom Printed Mailer Box (small),$0.76-1.10/unit (500 units),1 unit,10-14 days,8,Credit card,Online designer; HDPrint Satin option; no setup fee; activate for 6-pack premium bundle SKU at 500 units/month,2 - Phase 2 gift bundles
EcoEnclose,Packaging,Custom Recycled Shipping Box,$1.50-3.00/unit (100 units),100 units,10-15 days,8.5,Credit card,100% recycled + soy ink; $95-800 one-time plate fee; better Etsy brand story for eco-conscious buyers; activate Month 4-6,3 - Eco brand tier
Simpl Fulfillment,3PL / Fulfillment,Pick + Pack + Ship,$5-8/order fulfilled,None,—,8,Monthly invoice,Purpose-built for 1-500 orders/month; flat-rate model; no ShipBob complexity; evaluate at 7000+ units/month,1 - Phase 3 3PL
ShipMonk,3PL / Fulfillment,Pick + Pack + Ship,$4-7/order fulfilled,50 orders/month,—,8,Monthly invoice,Good for 50-500 orders/month; competitive pricing; dedicated account manager above thresholds; alternative to Simpl at scale,2 - Phase 3 3PL alternative
Amazon FBA,Fulfillment (Amazon only),FBA for top SKUs,$2.50-5.00/unit + 15% referral,Per-ASIN,—,9,Amazon seller account,Only for top 2-3 Amazon SKUs shipping 50+/month; Prime badge is major conversion lift; do not activate before demand is proven,3 - Phase 3 Amazon channel
