Task ID,Phase,Task Name,Start Date,End Date,Duration (days),Dependencies,Resource,Critical Path (Y/N),Float Days,Status,Notes
PRE-01,Pre-Sprint,Scope decision: Option A (5-bundle) / B (parallel) / C (3-bundle),2026-05-28,2026-05-30,3,,User decision,Y,0,Pending,Must be confirmed before Phase 2 launch May 30; gates sprint planning
PRE-02,Pre-Sprint,Goldenseal path decision: live specimen order OR Wikimedia CC path,2026-05-28,2026-06-08,11,,User decision,Y,0,Pending,Hard deadline June 8; no recovery path after this date
PRE-03,Pre-Sprint,Second writer decision (Option B only),2026-05-28,2026-06-01,4,PRE-01,User decision,N,7,Pending,Only required if Option B selected; writer briefing must begin by June 1
PRE-04,Pre-Sprint,Email Strictly Medicinal Seeds — Goldenseal + Black Cohosh availability,2026-05-20,2026-05-20,1,,User / Seedwarden,N,5,Pending,Contact: info@strictlymedicinalseeds.com
PRE-05,Pre-Sprint,Email Prairie Moon Nursery — Goldenseal + Black Cohosh + Elderberry,2026-05-20,2026-05-20,1,,User / Seedwarden,N,5,Pending,Contact: info@prairiemoon.com | 866-417-8156
PRE-06,Pre-Sprint,Email Southern Exposure + Fedco Seeds — availability confirmation,2026-05-20,2026-05-20,1,,User / Seedwarden,N,10,Pending,Confirm June order capability; treat as guide-citation fallback if unavailable
PRE-07,Pre-Sprint,Place Tier 1 orders: Goldenseal + Black Cohosh (if live specimen path),2026-05-25,2026-06-08,14,PRE-04 PRE-05 PRE-02,User / Seedwarden,Y,0,Pending,Order by June 8 hard deadline; 5–6 week Prairie Moon lead time
PRE-08,Pre-Sprint,Email Mountain Rose Herbs — dried herb inquiry (all 12 species 1 oz each),2026-05-23,2026-05-23,1,,User / Seedwarden,N,21,Pending,Contact: wholesale@mountainroseherbs.com; budget $80–120
PRE-09,Pre-Sprint,Props acquisition: kraft paper / linen / mortar + pestle / glass jars / wooden tray,2026-05-26,2026-06-02,7,,User / Seedwarden,N,14,Pending,Budget $60–100; non-blocking; can order same day as other items
PRE-10,Pre-Sprint,Place Tier 2 order: Elderberry bare-root (Prairie Moon),2026-06-08,2026-06-15,7,PRE-05,User / Seedwarden,N,7,Pending,Order by June 15; 4-week lead time; local nursery potted start as fallback
PRE-11,Pre-Sprint,Place Mountain Rose Herbs dried herb order — all 12 species (1 oz each),2026-06-08,2026-06-13,5,PRE-08,User / Seedwarden,N,5,Pending,Order by June 13 for East Coast 7–10 day delivery before June 21 studio session
PRE-12,Pre-Sprint,Seedling / juvenile state photography — Calendula + Red Clover + Lemon Balm + Thyme + Lavender,2026-06-03,2026-06-09,7,PRE-09,User / Seedwarden,N,12,Pending,Local nursery starts; window light; 4 hours estimated
PRE-13,Pre-Sprint,Mature + flowering state photography — Black Cohosh + Elderberry + Echinacea,2026-06-10,2026-06-16,7,PRE-07 PRE-10,User / Seedwarden,N,5,Pending,5 hours; triggered by Tier 1–2 plant arrivals; Wikimedia CC fallback pre-staged
PRE-14,Pre-Sprint,Dried herb studio session — Mountain Rose Herbs stock (all bundles),2026-06-17,2026-06-21,5,PRE-11,User / Seedwarden,Y,1,Pending,3 hours session; background setups: Women's Health linen / Respiratory white + elderberry / Immunity dark wood / Sleep grey + lavender / Digestive kraft paper
PRE-15,Pre-Sprint,Photo editing pass: cull 100–150 raw to 50–60 keepers; warm preset; export 2400×2400px,2026-06-19,2026-06-21,3,PRE-12 PRE-13 PRE-14,User / Seedwarden,Y,1,Pending,3 hours; export at 2400×2400px for Canva cover use
PRE-16,Pre-Sprint,Attribution logging — Wikimedia CC + iNaturalist sources; WORKLOG.md entry,2026-06-21,2026-06-21,1,PRE-15,User / Seedwarden,Y,0,Pending,1 hour; zero-float — must complete before sprint Day 1
PRE-17,Pre-Sprint,Canva brand kit pre-test — load Phase 3 medicinal palette (6 hex codes); zone card test,2026-06-21,2026-06-21,1,,User / Seedwarden,N,1,Pending,0.5 hours; palette: Burgundy #8B3E3E / Sage #6B8E6F / Gold #D4AF37 / Cream #F9F5F0 / Lavender #9B8BA0 / Charcoal #2C2C2C
W1-01,Week 1 Writing,Women's Health: Intro + Black Cohosh section (conservation sidebar + Forest Grown Verified framing),2026-06-22,2026-06-22,1,PRE-16 PRE-17,Writer,Y,0,Not Started,5 hours; Black Cohosh is longest and most conservation-complex section; zero float
W1-02,Week 1 Writing,Women's Health: Vitex + Red Clover sections (invasive-watch note for Vitex; isoflavone framing for Red Clover),2026-06-23,2026-06-23,1,W1-01,Writer,Y,0,Not Started,5 hours; Vitex SE invasive note required; Red Clover forager-cohort crossover angle
W1-03,Week 1 Writing,Women's Health: Calendula + Lavender + shared sections + self-edit pass,2026-06-24,2026-06-24,1,W1-02,Writer,Y,0,Not Started,5 hours; 3,800-word Women's Health complete at end of Day 3; zero float — upload June 29 depends on this
W1-04,Week 1 Writing,Respiratory: Intro + Elderberry section (S. nigra + S. canadensis; cultivar notes; elderflower culinary crossover),2026-06-25,2026-06-25,1,W1-03,Writer,N,1,Not Started,5 hours; Elderberry is highest-searched keyword in Respiratory bundle
W1-05,Week 1 Writing,Respiratory: Mullein + Echinacea purpurea + E. angustifolia (two-species angle; UpS At-Risk section),2026-06-26,2026-06-26,1,W1-04,Writer,Y,0,Not Started,5 hours; Echinacea angustifolia conservation sidebar required; zero float for July 6–7 upload
W1-06,Week 1 Writing,Respiratory: Thyme + shared sections + Women's Health self-edit review pass,2026-06-27,2026-06-27,1,W1-05,Writer,N,2,Not Started,4 hours; 3,600-word Respiratory complete at Day 6 end; 2-day float before upload
W1-07,Week 1 Writing,Respiratory self-edit + Women's Health PDF export test + Week 2 prep,2026-06-28,2026-06-28,1,W1-06,Writer,N,2,Not Started,2 hours; confirm PDF under 5MB; check thumbnail at 170×135px Etsy preview size
W1-08,Week 1 Design,Women's Health Canva cover — Black Cohosh or Calendula hero; Deep Burgundy palette,2026-06-23,2026-06-23,1,PRE-17,Designer,N,4,Not Started,1.2 hours; hero photo must be selected from pre-sprint photo inventory
W1-09,Week 1 Design,Respiratory Canva cover — Elderberry berry cluster hero; Sage Green palette,2026-06-24,2026-06-24,1,W1-08,Designer,N,4,Not Started,1.2 hours; berry cluster visual is listing thumbnail anchor for cold/flu season buyers
W1-CHKPT,Week 1 Checkpoint,Week 1 sprint checkpoint: Women's Health word count 3800+ / Respiratory at 2000+ / Design covers started,2026-06-28,2026-06-28,1,W1-07,User review,Y,0,Not Started,If Women's Health word count below 2500 on Day 3 (June 24): activate Option C (3-bundle scope)
W2-01,Week 2 Writing,Women's Health Etsy upload (AM) + Immunity: Intro + Echinacea condensed (second occurrence; 300–400 words),2026-06-29,2026-06-29,1,W1-CHKPT,Writer,Y,0,Not Started,2 hours upload + 3 hours writing; Women's Health live June 29 — this is the first revenue milestone
W2-02,Week 2 Writing,Immunity: Ashwagandha complete (900 words; Rasayana framing; withanolide/pregnancy warning; RCT description),2026-06-30,2026-06-30,1,W2-01,Writer,N,1,Not Started,5 hours; Ashwagandha is highest practitioner search volume adaptogen; pregnancy/thyroid warning mandatory
W2-03,Week 2 Writing,Immunity: Elderberry condensed (second occurrence) + Goldenseal intro + CITES Appendix II sidebar,2026-07-01,2026-07-01,1,W2-02,Writer,Y,0,Not Started,5 hours; CITES mandatory sidebar: "Wild material requires export permit; cultivated unrestricted"; zero float
W2-04,Week 2 Writing,Immunity: Goldenseal cultivation + FGV sourcing + berberine framing + shared sections + self-edit,2026-07-02,2026-07-02,1,W2-03,Writer,Y,0,Not Started,5 hours; FGV program URL: unitedplantsavers.org/forest-grown-verified/; 3800-word Immunity complete
