rank,domain_number,title,production_wave,adoption_likelihood,movement_infra_integration_depth,gap_filling_impact,effort_estimate_hours,composite_score,advocacy_window,justification
1,D44,Reproductive Freedom as Democratic Architecture,Wave 1 (July 2026),9,10,8,12-15,9.0,Active — 2026 ballot measures in MO/NV/VA/ID/NE; WHPA before Congress; mifepristone SCOTUS trajectory,"Largest organized constituency of any Phase 2 candidate (Reproductive Freedom for All/NARAL/PPAF). Democratic-exclusion framing is genuinely new — existing advocacy covers rights claim but not how restrictions function as civic exclusion mechanisms. 7-of-7 post-Dobbs ballot measures protected abortion access; movement has demonstrated direct-democracy organizing capacity. Phase 1 integration: Domain 33 (ballot initiative suppression), Domain 1 (NVRA nexus), Domain 31 (Medicaid-reproductive care). Adoption path: national-to-local distribution through PPAF 51 affiliates."
2,D45,Labor Rights NLRB and Worker Power as Democratic Infrastructure,Wave 1 (July 2026),9,10,8,10-14,8.8,Active — NLRB constitutional challenge (SpaceX/Amazon/Trader Joe's/Starbucks) likely at SCOTUS in 12-18 months; PRO Act positioning for 2027 Congress,"AFL-CIO (12.5M members) and SEIU (2M members) have research departments and member education infrastructure that would integrate domain materials into existing campaigns. The NLRB constitutional attack framing — a democracy crisis not a labor dispute — is the analytical hook that makes this adoption likely beyond existing labor advocacy. Phase 1 integration: Domain 6 (Humphrey's Executor collapse), Domain 38 (parallel corporate capture pattern), Domain 29 (DOJ weaponization against organizers). Adoption path: AFL-CIO research department → member education curriculum."
3,D46,Housing Instability Eviction and Democratic Exclusion,Wave 2 (Aug-Sep 2026),7,7,9,10-14,7.7,Medium — OBBBA Medicaid-housing nexus creates Aug-Sep 2026 window as work requirement comment period opens; tenant organizing surge in NY/CA,"Eviction Lab (Slee and Desmond 2023) provides robust empirical foundation: eviction reduces voter turnout as causal mechanism not mere correlation. Housing organizing constituency (tenant unions/homeless coalitions/housing court advocates) is genuinely grassroots — not currently reached by any Phase 1 target. Gap-filling impact is very high: no existing domain addresses housing through democratic-exclusion lens. Phase 1 integration: Domain 31 (Medicaid-housing nexus), Domain 1 (eviction-turnout evidence), Domain 22 (racial disparity in eviction rates). Adoption path: NLIHC → Housing Justice for All → tenant union networks."
4,D47,Campaign Finance Dark Money and Corporate Capture of Democratic Institutions,Wave 2 (Aug-Sep 2026),8,8,7,8-12,7.7,Active — DISCLOSE Act (47 Senate Ds/139 House Ds) live legislation; 4 state dark money ballot measures in 2026; Arizona Prop 211 challenge,"Meta-domain that ties together corporate capture vectors documented throughout Phase 1: crypto-PAC capture (D38) pharma-lobbying (D42) anti-union corporate campaigns (D45) dark money attacking ballot initiatives (D33). Reform organizations (Common Cause/Campaign Legal Center/Issue One) have existing distribution infrastructure that would amplify to their networks. Phase 1 integration: Domain 38 (financial sector analog) Domain 33 (dark money funding ballot initiative suppression) Domain 42 (pharmaceutical lobbying) Domain 35 (SCOTUS campaign finance OT2026). Adoption path: Common Cause state chapters → cross-partisan coalition."
5,D48,Environmental Justice and Community Democratic Participation in Environmental Decision-Making,Wave 3 (Oct 2026),7,7,8,10-14,7.3,Ongoing — NEPA repeal (Jan 8 2026) closure of all 10 EPA EJ offices; coalition of 18 state AGs litigation active,"NEPA repeal eliminated the primary mechanism through which low-income communities and communities of color could contest decisions imposing pollution burdens. EPA EJ office closure ($400M grants cancelled) directly attacks institutional infrastructure. EJ organizations (Earthjustice/NRDC/Indigenous Environmental Network) are legally sophisticated actors with litigation and advocacy capacity. Phase 1 integration: Domain 15 (climate policy) Domain 6 (litigation challenges to regulatory rollbacks) Domain 26 (government accountability). Adoption path: Earthjustice → NRDC EJ program → state-level EJ coalitions."
6,D49,Indigenous Sovereignty Treaty Rights and Tribal Democratic Participation,Wave 3 (Oct 2026),6,6,9,14-18,7.0,Ongoing — FY2027 appropriations battle over tribal cuts; BIA reorganization administrative proceedings; UNDRIP implementation advocacy,"Revocation of EO 14112 on Tribal Sovereignty (March 2025) elimination of $1.5B in clean energy grants to tribal communities BIA office closures and IHS cuts represent most direct attacks on tribal self-determination since termination era. Framework gap is severe — 574 federally recognized sovereign governments receive no standalone domain analysis. NCAI and NARF are institutionally sophisticated distribution nodes. Phase 1 integration: Domain 22 (reparations/racial justice) Domain 15 (environment — treaty rights) Domain 9 (federalism — nation-to-nation) Domain 40 (constitutional architecture). Adoption path: NCAI member tribes → tribal colleges → indigenous organizing networks."
7,D50,Disability Rights Civic Access and Democratic Participation of Disabled Americans,Wave 3 (Oct 2026),7,6,6,10-14,6.3,Ongoing — Section 504 regulatory rollback litigation; ACL cuts reducing independent living center funding; ADA enforcement rollback,"Domain 41b covers disability through benefits-access lens; civic access dimension (57% of disabled people experience barriers to civic engagement; 11% report difficulty voting) requires distinct treatment. ACL cuts reducing independent living center funding directly remove the organizations that interface between disabled individuals and civic institutions. Phase 1 integration: Domain 41b (benefits access — companion document) Domain 1 (voting access barriers) Domain 26 (government accountability — ADA enforcement). Adoption path: 400 independent living centers nationwide → state protection and advocacy organizations → NCIL."
8,D51,Felony Disenfranchisement and Re-Enfranchisement as Democratic Repair,Post-Wave 3 (Post-Oct 2026),8,7,7,8-12,7.3,Active — state campaigns in MA/WA/NH; Prison Policy Initiative 2026 winnable reforms tracker; active legislative sessions in 8-10 states,"4 million Americans disenfranchised; 1 in 22 Black adults. Domain 1 mentions but does not analyze as standalone democratic design failure. Domain 42 covers drug-enforcement nexus but not the broader re-enfranchisement reform architecture. State-by-state campaign map (which legislatures have votes for reform; which have ballot initiative pathways) is the distinctive contribution. Phase 1 integration: Domain 1 (electoral reform foundation) Domain 42 (drug policy — disenfranchisement nexus) Domain 22 (racial justice). Adoption path: Sentencing Project → Prison Policy Initiative → state-level re-enfranchisement coalitions."
9,D52,Civil Society Suppression and the Nonprofit Independence Crisis,Post-Wave 3 (Post-Oct 2026),8,8,8,8-12,8.0,Active — Section 112209 OBBBA enacted law; Florida HB 1471 (July 1 2026 effective); IRS/FBI task force operational; SPLC indictment creates live case study,"Section 112209 grants Treasury Secretary unilateral authority to designate any nonprofit as 'terrorist supporting organization' — enacted law as of 2026. Florida HB 1471 effective July 1 2026 extends to state level. $163B proposed cut to non-defense programs including complete elimination of CDBG and CSBG. 33% of nonprofits report funding disruption. This is the structural demobilization of civil society — the mechanism that consolidated autocracies use to prevent opposition organizing. Phase 1 integration: Domain 29 (prosecutorial weaponization — IRS parallel) Domain 3 (democratic participation delivery mechanism) Domain 7 (First Amendment chilling effects) Domain 8 (nonprofit investigative journalism). Adoption path: National Council of Nonprofits → ICNL → Leadership Conference."
10,D53,Mutual Aid Networks Tax Law and the Legal Infrastructure of Democratic Solidarity,Post-Wave 3 (Post-Oct 2026),8,9,7,6-10,8.0,Ongoing — IRS guidance gap creates tax liability for mutual aid participants; Time (March 2026) documented legal gray zone; narrow statutory fix achievable in current Congress,"Mutual aid networks are the most decentralized and resilient form of democratic organization — demonstrated during COVID-19 and during 2025-2026 funding freeze. The legal gray zone (monetary transfers fall outside clear IRS guidance) is a structural barrier to democratic self-organization. The policy ask is narrow and technically achievable: IRS guidance or statutory exclusion for communal mutual aid transfers. Phase 1 integration: Domain 7 (freedom of association) Domain 26 (IRS as administrative tool) Domain 5 (tax law democratic effects). Adoption path: mutual aid network coordinators (Signal groups/Slack communities) → movement-specific digital channels → direct-to-organizer distribution."
