Product,Keyword,Search_Volume_Est,Competition_Level,Saturation_Pct,Top_Competitor_Name,Competitor_Price_USD,Competitor_Rating,Competitor_Reviews,Recommended_Price_USD,Recommended_Tags,Seasonal_Peak,CPC_Proxy,Notes
cable_management_clips,cable management clips,1500-3000,Medium,50-80%,Robbosales,$10.99,4.8,500+,$12.99-16.99,"desk cable organizer, wire management clips, 3D printed cable clips",Jan/Aug/Nov,Med-High,Primary keyword — must be in every clip listing title; first 40 chars
cable_management_clips,3D printed cable clips,300-600,Low,30-50%,ViliusPrintShop,unknown,N/A,early-stage,$12.99,"3D printed cable clips, modular cable management",Jan/Aug,Low,Best ROI keyword for new shop — low competition + high purchase intent; own this from Day 1
cable_management_clips,desk cable organizer,3000-6000,Medium,25-55%,Infinaprint3d,$14.98,4.9,200+,$21.99 bundle,"desk cable organizer, cable organizer system",Jan/Aug,Med-High,Volume keyword needed in title chars 41-70 but cannot win alone; pair with 3D printed differentiator
cable_management_clips,modular cable management,300-500,Low,16-50%,SimRig Cable Mgmt,$14.00-99.99,4.6,80+,$38.99 system bundle,"modular cable management, modular desk cable rail",Jan/Mar,Low,Near-zero competition — ModRun should own this term immediately; use in title of rail listing
cable_management_clips,under desk cable management,1000-2000,Medium,30-60%,Generic wooden cable boxes,$20-60,4.6-4.8,1000-5000,$12.99-16.99,"under desk cable management, under desk cord organizer",Jan/Mar/Aug,Medium,High-intent placement-specific; different product type (boxes vs clips) — ModRun owns clips niche
cable_management_clips,standing desk cable organizer,300-500,Low-Med,25-65%,Flexispot-compatible sellers,Variable,Variable,Variable,$12.99-16.99,"standing desk accessories, standing desk cable organizer",Jan/Mar/Aug,Low-Med,Growing query as sit-stand desks proliferate; consider brand-specific variant (Flexispot/Uplift)
cable_management_clips,gaming desk cable organizer,400-800,Medium,45-75%,PETG Premium unnamed,$18.50-22.50,4.7,150+,$16.99-19.99,"gaming desk cable organizer, gaming room organization",Jan/Aug,Med-High,High-spend buyer segment; include gaming desk photo in listing hero shot
cable_management_clips,magnetic cable clips,200-400,Low,10-35%,ViliusPrintShop,unknown,N/A,70 favs,$12.99-16.99,"magnetic cable clips",Jan/Aug,Low,Include only if ModRun uses magnetic mechanism; powerful differentiator with near-zero competition
cable_management_clips,cable management gift,150-300,Low,27-100%,Generic seasonal sellers,Various,Various,Various,$21.99 bundle,"cable management gift, work from home desk gift",Nov/Dec,Low,Seasonal tag only — add October 1; remove January 1; use in bundle listing not primary
cable_management_clips,3D printed cable management,400-800,Low-Med,25-100%,CineLabAUS camera rigs,$12-18,4.7,931,$12.99-16.99,"3D printed cable management, 3D printed desk accessories",Jan/Aug,Low,Self-selects informed buyers; excellent conversion rate despite low volume; good tag candidate
cable_management_clips,clean desk accessories,300-500,Low,24-67%,Generic aesthetic sellers,Various,Various,Various,$12.99-16.99,"clean desk accessories, minimalist cable management",Jan,Low,Aesthetic buyer with premium price tolerance; Pinterest/r/battlestations crossover
cable_management_clips,home office cable organizer,800-1500,Medium,25-55%,Generic WFH sellers,$8-18,Various,Various,$14.99-19.99,"home office cable organizer, cable management for home office",Jan/Sep,Medium,Evergreen WFH demand; combines use-case with gift intent for Q4
headphone_hooks,headphone hook,2000-4000,High,40-125%,Top clamp seller (anonymous),$14.99,5.0,1254,$16.99,"under desk headphone hook, desk headphone hanger, headphone holder under desk",Jan/Aug/Nov,Med-High,Must be in first 15 chars of title; dominant listing ($14.99 / 1254 reviews) has no cable-wrap post
headphone_hooks,under desk headphone hook,800-1500,Medium,27-88%,Second-ranked desk clamp,$12-16,4.9,264,$16.99,"under desk headphone hook, headphone holder under desk",Jan/Aug,Medium,Highest-intent headphone hook query; both top competitors lack cable-wrap post — ModRun's primary USP
headphone_hooks,3D printed headphone hook,300-600,Low-Med,20-67%,3DWiseSolutions,$14-18,N/A,12 favs Apr2026,$16.99,"3D printed headphone hook, headset stand 3D printed",Jan/Aug,Low,Original design differentiator; 3DWiseSolutions is early-stage — ModRun can outcompete with faster launch
headphone_hooks,gaming headset hook,800-1500,Medium,40-125%,ThinkableCreations,$18-28,N/A,2356 favs,$16.99-19.99,"gaming headset hook, gaming room accessories, gaming gift for him",Jan/Nov/Dec,Med-High,High-spend gaming buyer; ThinkableCreations is novelty-themed vs. ModRun's functional utility positioning
headphone_hooks,desk headphone hanger,600-1200,Medium,42-133%,BadgeScout,$15-25,N/A,76 favs,$16.99,"desk headphone hanger, headphone holder under desk",Jan/Aug,Medium,Synonym for headphone hook; good tag to widen query surface; different install method (shelf vs clamp)
headphone_hooks,monitor headphone hook,300-500,Low,12-40%,Generic sellers,Various,Various,Various,Future variant,"monitor headphone hook",Jan,Low,Near-zero competition; very high intent; consider dedicated monitor-clip variant listing (VESA compatible)
headphone_hooks,headset stand 3D printed,300-600,Low-Med,17-60%,Generic 3D printed stands,Various,Various,Various,$16.99,"headset stand 3D printed, 3D printed headphone hook",Jan/Aug,Low,Original design signal; stand vs. clamp distinction matters — ModRun clamp has no desk footprint
headphone_hooks,cable wrap headphone hook,100-200,Very Low,3-20%,None (unoccupied),N/A,N/A,N/A,$16.99,"cable management desk hook, cable wrap headphone hook",Year-round,Very Low,ModRun is the only seller with cable-wrap post — owns this query from Day 1; must be in both tags and description
headphone_hooks,gaming room accessories,1000-2000,High,100-350%,Multiple high-volume sellers,$10-50,Various,Various,$16.99 (tag only),"gaming room accessories",Jan/Nov/Dec,High,Too broad for primary keyword; supplement tag only; broadness hurts ranking more than it helps
headphone_hooks,desk accessories for gamers,400-800,Medium,63-225%,Multiple sellers,$10-30,Various,Various,$16.99-19.99,"desk accessories for gamers, gaming gift for him",Nov/Dec,Med,Gift season tag only (Oct 1); too competitive as evergreen primary keyword
magnetic_bin_labels,magnetic toolbox labels,800-1500,Medium,20-75%,BendPrinting (Bend3DP),$14.99-19.99,4.9,1500+ (10500 sales),$12.99 10-pack,"custom magnetic toolbox labels, magnetic drawer labels, toolbox organizer labels",Jan/Jul/Aug,Medium,Dominant player at $14.99; Bend3DP confirmed using 8x3mm neodymium (not N52); customer reviews cite magnet strength weakness — ModRun N52 spec is concrete differentiator; verified June 2026
magnetic_bin_labels,custom magnetic labels,600-1200,Medium,33-117%,S3C Printing,$27.99 (raised from $19.99 June 2026),Star Seller,Growing,$12.99-19.99,"custom magnetic toolbox labels, personalized tool labels, custom tool labels",Jan/Jul,Medium,S3C now at $27.99 — $15 above ModRun's $12.99 launch; largest price gap in category; S3C magnet spec unstated; ModRun N52 + lower price = clear winner on both dimensions
magnetic_bin_labels,3D printed toolbox labels,200-400,Low,15-60%,Various small sellers,$12-18,Various,Various,$12.99,"3D printed toolbox labels, magnetic bin organizer",Jan/Jul,Low,Self-selects quality-aware buyer; low competition = immediate ranking opportunity on Day 1
magnetic_bin_labels,workshop bin labels,150-300,Low,13-67%,DailyUse3D,$12-18,N/A,166 favs,$12.99,"workshop bin labels, workshop tool organizer",Jun/Jul,Low,Niche-specific term for workshop/garage buyers; low competition; include in title or as P1 tag
magnetic_bin_labels,garage organization labels,400-800,Medium,38-150%,Multiple sellers,$8-20,Various,Various,$12.99-19.99,"garage organization labels, garage organization gift",Jan/Mar/Jul,Medium,Spring garage season (March-May) and summer workshop (July-Aug); mostly vinyl/paper competition not 3D printed
magnetic_bin_labels,neodymium magnet labels,100-200,Very Low,5-30%,Essentially none,N/A,N/A,N/A,$12.99-19.99,"neodymium magnet labels",Year-round,Very Low,No seller explicitly markets N52 spec — ModRun can own this query entirely; technical buyer = highest quality intent
magnetic_bin_labels,personalized garage labels,200-400,Low,25-100%,Various vinyl/paper sellers,$6-14,Various,Various,$12.99-19.99,"personalized garage labels, personalized tool labels",Mar/May/Nov,Low,Personalization triggers custom order workflow — direct buyer communication increases NPS and review rate
magnetic_bin_labels,magnetic bin organizer,300-600,Low,17-67%,Generic sellers,$8-16,Various,Various,$12.99,"magnetic bin organizer, toolbox organizer labels",Jan/Jul,Low,Broader buyer intent (organizer vs label); use to widen query surface; not primary keyword
magnetic_bin_labels,workshop gift for him,300-600,Low-Med,25-100%,Seasonal gift sellers,$12-30,Various,Various,$12.99-19.99,"workshop gift for him, garage organization gift, workshop tool organizer",Oct/Nov/Dec,Low-Med,Seasonal tag only — add October 1 for Q4 gift season; remove January 1
