MODRUN COST MODEL — 100-Unit Operations Blueprint (May 2026),,,,,
"Rows = cost items per unit. Columns = weekly production volume. All costs in USD. Revenue uses blended ASP of $27.50 (70% clip 3-packs at $24.99 / 30% desk_clamp rails at $34.99).",,,,,
"Material weights: clip 2.0g PLA+ / rail 80g PLA+. Blended avg ~22g/unit at 70/30 clip-rail mix. PLA+ bulk pricing by tier.",,,,,
"Labor rate: $15.00/hr (owner opportunity cost at 20–50/wk; contractor rate at 100+/wk). Machine: Bambu P1S $699 / 5000-hr life = $0.14/hr. Scrap: 10% first 2 weeks → 5% mature.",,,,,
,,,,,,
COST CATEGORY,20 units/week,50 units/week,100 units/week,150 units/week,200 units/week
,,,,,,
--- MATERIAL COSTS ---,,,,,
Filament (PLA+ per unit),$ 0.42,$ 0.38,$ 0.35,$ 0.33,$ 0.31
"  Basis: blended 22g avg × bulk price tier ($19/kg→$14/kg→$12/kg→$11/kg→$10/kg; note: $12/kg = confirmed Amazon bulk 10kg eSUN/SUNLU May 2026)",,,,,
Filament scrap allowance (% of material cost; 5% mature),$ 0.02,$ 0.02,$ 0.02,$ 0.02,$ 0.02
Packaging materials per unit (poly mailer/box + void fill),$ 0.22,$ 0.20,$ 0.18,$ 0.17,$ 0.16
"  Basis: 70% poly mailers $0.10ea bulk + 30% small corrugated $0.45ea + void fill. Blended: ~$0.18–0.22/unit",,,,,
Total material cost per unit,$ 0.66,$ 0.60,$ 0.55,$ 0.52,$ 0.49
,,,,,,
--- MACHINE COSTS ---,,,,,
Machine depreciation per unit (Bambu P1S),$ 0.10,$ 0.04,$ 0.06,$ 0.04,$ 0.04
"  Basis: $699 / 5000 hr life = $0.14/hr. Clip 50min plate÷12 = 4.2 min/unit × $0.14 = $0.0098. Rail 180min × $0.14 = $0.42/unit. Blended at 70/30 mix ≈ $0.13/unit. Amortized at utilization.",,,,,
Electricity per unit (P1S at ~90W avg),$ 0.01,$ 0.01,$ 0.01,$ 0.01,$ 0.01
"  Basis: 90W × print hr × $0.12/kWh. Clip: 0.083hr × 90W × $0.12 = $0.0009. Rail: 3hr × 90W × $0.12 = $0.032. Blended 70/30 ≈ $0.01/unit. Negligible.",,,,,
Total machine cost per unit,$ 0.11,$ 0.05,$ 0.07,$ 0.05,$ 0.05
,,,,,,
--- LABOR COSTS ---,,,,,
Print harvest + plate restart (owner; 45 sec/cycle amortized per unit),$ 0.03,$ 0.03,$ 0.03,$ 0.03,$ 0.03
Visual QC at harvest (owner; 8 sec clip / 45 sec rail; blended ~17 sec/unit),$ 0.07,$ 0.07,$ 0.07,$ 0.07,$ 0.07
Packaging + labeling per unit (owner or contractor; ~110 sec/unit),$ 0.46,$ 0.46,$ 0.46,$ 0.46,$ 0.46
Shipping batch upload (owner; 10 min/day ÷ daily units),$ 0.10,$ 0.05,$ 0.02,$ 0.02,$ 0.01
Contractor overhead (packaging delegation at 100+/wk; $600/mo ÷ weekly units),$ 0.00,$ 0.00,$ 1.38,$ 0.92,$ 0.69
"  Basis: $600/mo contractor (10 hr/wk × $15/hr) onboarded at 100/wk; scales as contractor hrs grow with volume",,,,,
Owner time recaptured by contractor (benefit; not a cost line — noted for clarity),—,—,4–5 hrs/wk,5–6 hrs/wk,6–8 hrs/wk
Total labor cost per unit (direct),$ 0.66,$ 0.61,$ 1.96,$ 1.50,$ 1.26
,,,,,,
