Supplier,Category,Material / Service,Unit Cost (1 kg or 1 unit),Bulk 5-unit/5kg Rate,Bulk 10-unit/10kg Rate,Bulk 25-unit/25kg Rate,Bulk 50-unit/50kg Rate,Lead Time (Standard),Lead Time (Rush / Emergency),Reliability Score (1-10),MOQ,Negotiation Potential,Tariff Risk,Domestic?,Priority Tier,Notes
eSUN (Amazon),PLA Filament,PLA+ 1.75mm,$15-20/kg,$13-17/kg,$11-13/kg,~$9-12/kg (eBay wholesale),Quote via esun3dstore.com,2-5 days (Amazon Prime),Same-day add-to-cart (Prime),9,None (Amazon),LOW — Amazon price is fixed; direct wholesale contact unlocks 10-15% off at 20kg+/month,HIGH — Chinese-made,No,1 – Primary,"Best AMS compatibility on Bambu P1S; Prime shipping is the real safety net; 10kg bundle ASIN B0G2KWC5XL (PLA+). Contact esun3dstore.com at 20kg+/month for $10-10.50/kg direct rate."
Anycubic (direct store),PLA Filament,PLA Basic 1.75mm,$12-16/kg,$11-14/kg,~$10.50/kg,~$10.50/kg,$10.49/kg (50kg listed),3-7 days (direct ship),No rush option; avoid during 618/11.11 sale events (delays to 2-3 weeks),7,None (bundle deal),NONE — price listed; no negotiation path without direct sales contact,HIGH — Chinese-made,No,2 – Secondary / Pallet Top-Up,"Only brand with publicly listed 50kg pallet at no MOQ. AMS winding issues reported on some lots — pre-qualify with 5-10kg test before committing to 50kg. Refill (cardboard spool) format has fewer winding complaints."
Polymaker (wholesale),PLA Filament,PolyLite PLA 1.75mm,$24/kg retail,~$16-18/kg (sample),~$14.99/kg (case),$14.99/kg,$14.99/kg,3-7 days,None,9.5,$1,000 minimum order,HIGH — volume commitment unlocks Net-30 terms and potential 5-10% additional discount at $3k+/month,HIGH — Chinese-made (US-warehoused),No,3 – Phase 3 Quality Tier,"Best moisture packaging (vacuum-sealed foil + desiccant); tightest tolerance (±0.02mm); best AMS reliability per Bambu community. Activate Month 3-4 at $1k min order. Net-30 available after 2nd-3rd order — cash flow benefit at this volume."
Overture (Amazon + direct),PLA + PETG Filament,PLA and PETG 1.75mm,$13-18/kg (PLA); $17-19/kg (PETG),$11-15/kg (PLA); $15-17/kg (PETG),~$11-14/kg (PLA); ~$15-17/kg (PETG),Quote (direct wholesale),Quote (direct wholesale),2-5 days (Amazon Prime),Same-day add-to-cart (Prime),8,None (Amazon),MEDIUM — 35% wholesale program via overture3d.com; contact required; PETG specifically high-value to negotiate,HIGH — Chinese-made,No,4 – PETG Primary + PLA Backup,"Best-in-class PETG for Bambu per ADP Industries 2026 farm test. Use Overture as exclusive PETG supplier once PETG SKU is confirmed. PLA is solid backup for eSUN. Tighter tolerance (±0.02mm) than eSUN."
SUNLU (direct store),PLA Filament,PLA mix-and-match,$14-16/kg,$12-14/kg (6kg min),$12-14/kg,~$11-13/kg (reseller),~$10-12/kg (reseller 50+ boxes),3-7 days,None,7.5,6 spools minimum for bundle pricing; reseller program requires 50-box initial order,MEDIUM — reseller program available at 50-box minimum; contact support@3dsunlu.com,HIGH — Chinese-made,No,5 – Color Sampling + Flex Backup,"Mix-and-match by color is the key advantage — useful for testing new color velocity before committing to 10kg eSUN. Some AMS diameter inconsistencies on 8hr+ jobs; limit to single-spool-per-printer use. Email reseller contact for 50+ box tier."
Push Plastic (direct),PLA Filament,PLA 1.75mm,$22-28/kg,~$19-24/kg (est.),~$17-22/kg (est.),~$15-20/kg (est.),Custom quote (bulk application form required),5-10 business days,None documented,8,Custom bulk application required; 25kg spools available,HIGH — bulk pricing matrix is custom-tailored; submit inquiry now to get pricing on file; no commitment required,NONE — US-made (Arkansas),Yes,6 – Tariff Hedge (Tier D),"Activate only if Chinese tariffs escalate 20+ percentage points. Currently ~$10-15/kg more expensive than eSUN. Submit Bulk Pricing Application Form now to have a pre-qualified domestic option. 25kg spool format is print-farm-friendly."
IC3D (direct),PLA + PETG Filament,PLA and PETG 1.75mm,$24-30/kg,~$20-26/kg (est.),~$19-25/kg (est.),~$18-24/kg (est.),Up to 20% savings claimed; quote required,5-10 business days,None documented,7.5,Quote required for bulk program,MEDIUM — up to 20% claimed; quote must be obtained to verify; less negotiation data available than Push Plastic,NONE — US-made (Ohio),Yes,6 – Tariff Hedge (Tier D),"Sister brand to domestic tariff hedge strategy. Less documented AMS performance data than Push Plastic. Contact for quote to have on file. Engineering-grade materials (PETG, specialty) are stronger offering than commodity PLA."
3D-Fuel (direct),rPLA / Eco Filament,rPLA and Eco-PLA 1.75mm,$35-40/kg,$32-37/kg,~$29-35/kg,Wholesale program available,Wholesale program available,5-10 business days,None documented,8,Wholesale account required,MEDIUM — wholesale program; pricing requires inquiry; eco-premium is the story here not cost reduction,NONE — US-made (Fargo ND),Yes,7 – Eco-Brand Tier,"Use only if eco-sustainability is a stated product differentiator for premium SKU. Recycled content certificates published. Not price-competitive with eSUN/Anycubic; the premium is justified only by customer willingness-to-pay for certified recycled content."
Pirate Ship,Shipping Platform,USPS Ground Advantage + Priority Mail,$3.50-6.00/label (under 1 lb),N/A,N/A,N/A,N/A,Instant (label generation),Instant,10,None,NONE — commercial rates pre-negotiated; no markup; best available USPS pricing,NONE,Yes,1 – Primary Shipping Platform,"Zero fees; zero markup; commercial rates below USPS counter pricing; Etsy integration auto-imports orders. 8% USPS temp surcharge (Apr 26 2026 – Jan 17 2027) already in rate calculator. Priority Mail Cubic access unlocks lower rates for dense small packages."
Shop4Mailers,Packaging,Poly Mailers 9x12 2.5mil,$0.10-0.15/unit (100 qty),$0.08/unit (500 qty),$0.05/unit (1000 qty),$0.04-0.05/unit (2500 qty),$0.03-0.04/unit (5000 qty),3-5 business days,None,9,100 units minimum,LOW — already at market floor for commodity poly mailers; custom printing adds cost,N/A,Yes,1 – Primary Packaging (Launch),"Stock 9x12 for single and 3-pack; 12x15.5 for 6-pack bundles. No branding needed at launch. Upgrade to custom-printed (Vistaprint or RUSPEPA) at Month 3 when brand is established."
