Week,Start Date,End Date,Domain,Task,Hours,Status,Path Relevance,Dependencies,Deadline,Priority,Notes
1,2026-05-18,2026-05-24,Domain 56,Pre-distribution source verification: CRS LSB11412 (Schedule Policy/Career); AFGE v. OPM court status (N.D. Cal. preliminary injunction ruling pending); H.R. 492 committee status; MSPB backlog data; cross-domain integration checks with Domains 6/26/29/33/37,8,Queued,All paths,None — standalone,2026-06-30 [RED],CRITICAL,Start immediately post-Wave-1 launch. See DOMAIN_56_EXECUTION_CHECKLIST.md. Path B note: competing with D38-40 production bandwidth; still do in Week 1 — verification is low-intensity.
1,2026-05-18,2026-05-24,Domain 37,Gist creation before May 21 (per CHECKIN.md urgent flag); Phase B Tier 1 sends May 21-25 to Brennan Center + Democracy Docket,3,Queued,Path A (catch-up); A+37 Phase B continuation; B Phase B continuation,None,2026-05-21 [RED],CRITICAL,Under Path A this is the election-protection distribution catch-up that substitutes for Domain 37 not being in Phase 1. Under A+37/B this is Phase B targeted outreach per existing plan.
1,2026-05-18,2026-05-24,Domain 58,Pre-execution setup: open base draft (domain-38-tribal-sovereignty-indigenous-democratic-design.md); open outline + source staging; check Trump v. Barbara SCOTUS status (argued April 1 expected June-July); check Turtle Mountain v. Howe cert petition status,2,Queued,All paths,None — standalone,2026-06-15 [AMBER],HIGH,Base draft reduces total production from 12-16 hrs to 8-12 hrs. Path B note: do in Week 1 before D38-40 production begins.
1,2026-05-18,2026-05-24,Phase 1 Monitoring,Domain 42 Wave 1 + general framework adoption signals: track Gist views (6 canonical Gists); email open/response rates; bounce detection; secondary distribution evidence; vocabulary adoption baseline check,4,Active,All paths,Phase 1 Wave 1 sends (May 15-17),2026-05-28 [Week 2 gate],HIGH,Passive monitoring only in Week 1. Gate 1/2/3 assessment happens Week 2. Under Path B this monitoring begins July 10 post-launch instead.
2,2026-05-25,2026-05-31,Domain 56,Distribution launch to Tier 1: Partnership for Public Service / Volcker Alliance / NAPA / AFGE / NTEU. Use DOMAIN_56_DISTRIBUTION_BRIDGE.md contact list and templates. Track responses.,4,Queued,All paths,Domain 56 verification complete,2026-06-30 [RED],CRITICAL,H.R. 492 legislative window closes June 30. Distribution by May 28 gives 33 days of congressional staff lead time.
2,2026-05-25,2026-05-31,Domain 37 (Path A only),Under Path A only: distribution to election protection organizations (Common Cause / Brennan Center election protection / Democracy Docket / Voting Rights Alliance / Lawyers Committee). This is the catch-up action for election-specific audiences Path A did not directly target.,3,Queued,Path A ONLY,Domain 37 Gist created in Week 1,2026-06-30 [emergency EO window],HIGH,CRITICAL for Path A: these organizations need Domain 37 analysis before June 30 emergency EO routing window. Under A+37 this has already been sent in Phase 1 Phase B outreach. Under B: already in Phase 1 package.
2,2026-05-25,2026-05-31,Domain 58,Phase 1 production: legal and policy landscape (SCOTUS cases — Callais cascade impact on tribal voting; Trump v. Barbara birthright citizenship threat; Trump v. United States immunity as tribal governance precedent); BIA/IHS defunding scope (25+ office closures; 1000+ IHS employees lost). 3 hours.,3,Queued,All paths,Pre-execution setup complete,2026-06-15 [AMBER],HIGH,
2,2026-05-25,2026-05-31,Phase 1 Monitoring,Week 2 adoption signal assessment: compile Gist view rate (target ≥40% for Gate 1); organizational response rate (target ≥2 of 5 Wave 1 contacts for Gate 1); secondary distribution evidence; Gate 1/2/3 determination. Record decision in CHECKIN.md.,5,Queued,All paths (Path B: deferred to July 24-31),10 days of Phase 1 distribution data,2026-05-28 [GATE],CRITICAL,Gate 1 = full Phase 2 proceeds June 16. Gate 2 = reduced scope — D57/D59 deferred to July 1. Gate 3 = pause Phase 2; double down Phase 1. Path A: also assess whether election protection orgs engaged via secondary discovery (if not: Domain 37 distribution in Week 2 is the remediation action).
3,2026-06-01,2026-06-07,Domain 56,Tier 2 distribution: Brennan Center / Protect Democracy / States United Democracy Action / Senate Homeland Security Committee staff / House Oversight Committee staff. Track Tier 1 responses. Democratic-design reframe opens organizations not reached by civil service reform community.,3,Queued,All paths,Tier 1 distribution launched,2026-06-30 [RED],HIGH,
3,2026-06-01,2026-06-07,Domain 58,Phase 2 production: tribal governance architecture and economic sovereignty pathways (BIA office closures + economic development infrastructure destruction; IHS defunding + Oregon RCT voter turnout connection; ISDEAA compact funding as non-discretionary appropriations). Write Sections 1-3.,4,Queued,All paths,Domain 58 Phase 1 complete,2026-06-15 [AMBER],HIGH,See DOMAIN_58_EXECUTION_CHECKLIST.md Phase 2 task list.
3,2026-06-01,2026-06-07,Phase 1 Monitoring,Early-adopter feedback monitoring. Quality assessment: categorize replies (Implementation Question / Methodology Critique / Integration Request / Thanks-No-Action). Track Tier 2 candidate identification (composite score ≥7). Log in adoption scorecard.,4,Queued,All paths (Path B: deferred),Week 2 gate assessment,None,HIGH,Weeks 3-4 are highest-value Phase 1 monitoring window. Quality matters more than quantity here.
3,2026-06-01,2026-06-07,Domain 38-40 Production (Path B only),Path B: Begin Domain 38 (AI Regulatory Capture) research and writing. Target: 6000+ words / 30+ sources. Run in parallel with Domain 56 distribution (verification already done). 10-12 hours this week.,12,Queued,Path B ONLY,Path B selected; Phase 1 delay accepted,2026-07-10 [Path B launch date],HIGH,Path B only. Domains 38-40 are the Phase 1 completion work that delays distribution to July 10.
4,2026-06-08,2026-06-14,Domain 58,Complete domain document: Sections 4-7 (voting rights post-Callais: tribal districts in North Dakota/South Dakota/Montana; birthright citizenship threat (Sauer April 1 argument); reform pathways: Trust Responsibility Restoration Act; Treaty Funding Integrity Act; Native Vote Act). Citation verification. Target: 7000-8000 words / 40-50 citations.,4,Queued,All paths,Sections 1-3 complete,2026-06-15 [AMBER],HIGH,
4,2026-06-08,2026-06-14,Domain 58,Distribution launch: NARF / NCAI / law school Indian law clinics (Harvard / Arizona / University of Washington) / Senate Indian Affairs Committee staff / tribal news networks / Native Vote Alliance. Use DOMAIN_58_SOURCE_STAGING.md expert contacts.,2,Queued,All paths,Domain 58 complete,2026-06-15 [AMBER],HIGH,Distribution must precede Trump v. Barbara ruling. If ruling issues before distribution complete: finish within 72 hours and distribute with ruling-specific cover note.
